date,JHH_optimistic,SH_optimistic,BMC_optimistic,HCGH_optimistic,SMH_optimistic,JHH_moderate,SH_moderate,BMC_moderate,HCGH_moderate,SMH_moderate,JHH_pessimistic,SH_pessimistic,BMC_pessimistic,HCGH_pessimistic,SMH_pessimistic,JHH_catastrophic,SH_catastrophic,BMC_catastrophic,HCGH_catastrophic,SMH_catastrophic,JHH_optimistic_std,SH_optimistic_std,BMC_optimistic_std,HCGH_optimistic_std,SMH_optimistic_std,JHH_moderate_std,SH_moderate_std,BMC_moderate_std,HCGH_moderate_std,SMH_moderate_std,JHH_pessimistic_std,SH_pessimistic_std,BMC_pessimistic_std,HCGH_pessimistic_std,SMH_pessimistic_std,JHH_catastrophic_std,SH_catastrophic_std,BMC_catastrophic_std,HCGH_catastrophic_std,SMH_catastrophic_std
2021-02-11,2.7329670329670326,3.8967032967032997,1.5923076923076926,5.21208791208792,1.0450549450549438,4.157142857142871,5.60259740259741,2.532467532467532,7.71818181818181,1.5701298701298692,6.918292682926831,8.36341463414634,4.01890243902438,12.525,2.678048780487804,8.819708029197091,9.932846715328468,5.4532846715328605,15.80656934306568,2.9401459854014607,1.119365493841617,1.5632770981478368,0.7699337447206138,1.699181132117466,0.607148575379565,1.500166966588647,2.232695303536695,1.026207436871958,2.326623286007877,0.8606951185116899,2.6610390437544296,3.33108098601573,1.5104340404274057,4.320108611439539,1.381367684777406,3.7805850436694697,4.46926420713144,2.3826027323655925,6.41297958898164,1.5984234867274167
2021-02-12,2.6802197802197787,3.6659340659340596,1.5,4.97472527472528,1.0780219780219769,4.157142857142871,5.470129870129859,2.4428571428571417,7.803896103896099,1.7415584415584429,6.947560975609769,8.301219512195129,4.03902439024389,12.4408536585366,2.431097560975611,8.61021897810219,9.807299270072999,5.335766423357669,15.68686131386862,2.9686131386861305,1.0828553808669361,1.422366066250854,0.6788807854690829,1.6048411243534768,0.6336363219765389,1.528723138484301,2.0039613324849332,1.047870886691796,2.4283200092095916,0.8388846412885259,2.8679356734016497,3.26019952638093,1.818016615446423,4.54905262214805,1.291886978838168,3.8802754938603297,4.46994235721904,2.354828467919727,6.58818692334777,1.6701655071103712
2021-02-13,2.657142857142858,3.99560439560439,1.5692307692307692,4.94505494505495,1.058241758241759,4.31688311688312,5.43506493506493,2.4194805194805213,7.784415584415569,1.5779220779220777,6.52682926829268,7.85853658536585,3.9859756097561094,11.954268292682938,2.447560975609755,8.361313868613149,9.39197080291971,5.203649635036499,15.175182481751817,2.9131386861313855,1.049242830832488,1.4279711333857108,0.746963421687414,1.9731863970290788,0.5889207738029699,1.783794481595934,2.3136953202062878,1.081489948802469,2.6980062352543617,0.7161628227807869,2.682079134374265,3.2719223565356996,1.6394112266715841,4.65189904324104,1.2212773810252648,3.7648440642998398,4.55495332199694,2.397486785061321,6.4709319833485806,1.621336635130347
2021-02-14,2.4956043956043956,3.78791208791208,1.5824175824175808,5.0307692307692395,0.979120879120878,4.1649350649350705,5.392207792207801,2.396103896103897,7.881818181818189,1.4766233766233758,6.468292682926831,7.57682926829268,3.8414634146341498,11.72743902439023,2.4237804878048794,7.972992700729919,9.45182481751824,5.0547445255474495,15.161313868613131,2.706569343065694,1.012114757849919,1.369112583755163,0.7678417600535069,1.7701239981209191,0.581305178596374,1.4728509533718508,2.0598049481334053,1.0707979253798579,2.654216311207962,0.7702076130795779,2.746988508449976,3.26062236990783,1.7657963876981548,4.74339497411172,1.361529932352735,3.73366033684047,4.73923062205452,2.434633646593872,6.682008179450668,1.647878723992503
2021-02-15,2.647252747252746,3.6098901098901,1.486813186813188,4.84615384615386,0.9890109890109899,3.9779220779220896,5.170129870129859,2.532467532467532,7.893506493506489,1.566233766233766,6.164634146341469,7.36280487804879,3.81951219512196,11.41829268292683,2.2957317073170715,7.90072992700731,8.82043795620438,4.99708029197079,14.34160583941605,2.6708029197080276,1.178874547971534,1.3897628025187678,0.697437821279706,1.609675941198111,0.6868386808455209,1.523122508449773,2.085140061013371,1.159874775869838,3.03804181901988,0.8870804864887921,2.570962235695152,3.1692531144405,1.695146516754795,4.60579243066128,1.2242643689547628,3.7654692391910696,4.52653391650227,2.602523806122903,6.570745186947269,1.594477723059981
2021-02-16,2.6538461538461546,3.5076923076923094,1.516483516483515,4.720879120879109,1.025274725274726,3.8571428571428705,5.21688311688312,2.5675324675324678,7.414285714285709,1.511688311688312,6.2670731707317,7.33902439024389,3.5725609756097705,11.11463414634147,2.134756097560977,7.62773722627737,8.690510948905109,4.906569343065691,14.05766423357664,2.5912408759124097,1.1001805738208068,1.3920678562176692,0.7771833811720709,1.8593698852040217,0.606665069823216,1.635834793950273,2.2320221218823306,1.194624492264111,2.8233127031319154,0.7980453435631739,2.6674896794117133,3.2674766910009296,1.6477747825740179,4.24520165142636,1.182679600767924,3.8284133651492698,4.55334774109554,2.510683868205522,6.518001156009601,1.6736024544542942
2021-02-17,2.5846153846153834,3.5703296703296696,1.5065934065934057,4.70109890109891,0.9263736263736269,3.8571428571428705,5.33766233766234,2.692207792207791,7.27792207792209,1.5428571428571418,5.7219512195121895,6.985975609756109,3.42987804878049,10.882317073170718,2.21158536585366,7.43649635036496,8.3890510948905,4.62481751824818,13.66569343065693,2.488321167883212,0.9629308599697051,1.293644184439005,0.7321205385955589,1.6671021449350798,0.579282459682356,1.637976941263617,2.393337015090504,1.2755203912563329,3.22943537249115,0.8495114824489529,2.507477811114231,3.18021488756853,1.583688958361211,4.5213306909070194,1.268540518702782,3.8047775559139794,4.516355982687029,2.431628003565165,6.71677753327908,1.633904717778303
2021-02-18,2.3736263736263727,3.3956043956043898,1.358241758241759,4.48021978021977,0.9494505494505481,4.07532467532468,4.73376623376624,2.392207792207791,7.087012987012981,1.585714285714287,5.55,6.81219512195121,3.59451219512196,10.44146341463415,2.048780487804879,7.1116788321168,8.17153284671532,4.49270072992701,13.23941605839417,2.377372262773722,0.9791042289626579,1.425891823333317,0.7459879405774709,1.617569726419398,0.5248492460422589,1.7367798119983888,2.187841870256955,1.080015179518893,2.805946868884044,0.866057537711604,2.462635411653888,3.12138142666158,1.733045150523702,4.26995890822497,1.2508771461423482,3.6938312295400797,4.48551519398724,2.484892602549222,6.676184469820349,1.6632126462590129
2021-02-19,2.360439560439561,3.4021978021977906,1.305494505494505,4.5,0.923076923076924,3.7792207792207795,4.881818181818191,2.5246753246753255,6.9740259740259605,1.425974025974025,5.4951219512195095,6.56890243902438,3.3091463414633995,10.0829268292683,1.871341463414634,6.899270072992709,7.66131386861313,4.31824817518248,12.80218978102191,2.278102189781022,0.9299508578389559,1.2937701973347722,0.720403220023593,1.619523739516386,0.660016137511158,1.586905643913684,2.4694353564993694,1.1747512413279328,2.9195001616938723,0.87049808065053,2.53169674324593,3.0955430218683593,1.603419137282478,4.3093150629443695,1.067808631565901,3.7985109712350904,4.447754262746369,2.4105673372287657,6.62080846225824,1.5599791935945029
2021-02-20,2.179120879120878,3.25054945054944,1.345054945054944,4.37472527472528,0.9263736263736269,3.77142857142858,4.706493506493509,2.3649350649350636,6.596103896103901,1.457142857142858,5.275609756097549,6.400609756097549,3.1189024390243802,9.46097560975611,1.882317073170732,6.625547445255481,7.321167883211669,4.25109489051096,12.21751824817518,2.236496350364964,1.089259904354508,1.3455154350716971,0.728578887137994,1.5849978962507907,0.563707344544527,1.6096992655205637,2.083661715841065,1.1542992740036069,2.924835062879574,0.8328372054373352,2.430199277968071,3.0614339249733904,1.6296255039624241,4.00584195642975,1.036759490396889,3.6926644426085096,4.367137241619929,2.457525810196935,6.521395419729569,1.5709440145027471
2021-02-21,2.0505494505494486,3.27362637362637,1.252747252747254,4.33516483516485,0.9725274725274721,3.63896103896103,4.72597402597404,2.0571428571428583,6.45584415584415,1.309090909090908,4.97926829268294,5.9725609756097695,3.23231707317072,9.28902439024389,1.8585365853658529,6.468613138686119,7.124817518248169,4.093430656934309,11.72773722627738,2.116058394160584,0.8830981459989209,1.415986835230536,0.755542256233224,1.6937099941424278,0.654160973244039,1.6945409556661921,2.1897282401154508,1.2679289352273029,2.9368457992274397,0.90699758990814,2.458446753585312,3.08225302097448,1.5834100271561848,4.34272607700426,1.192604366707911,3.8222504897694294,4.32243816404919,2.4327211155850623,6.55359409864404,1.5733748921775297
2021-02-22,2.221978021978023,3.0956043956043904,1.206593406593406,3.91978021978023,0.9098901098901089,3.3389610389610302,4.44935064935064,1.9792207792207799,6.171428571428581,1.425974025974025,5.012195121951209,5.826219512195131,2.9597560975609736,9.32195121951219,1.776219512195121,6.1905109489051195,6.81605839416057,3.8912408759123998,11.213138686131389,1.952554744525548,1.051508826736029,1.278126383535045,0.7441791994107662,1.4471814045345928,0.53822152085046,1.6979862667637822,1.9972463755974719,0.9805031391086879,2.7249619152757254,0.912453891011187,2.465859086626434,2.9004806751530605,1.5012888573470882,4.28620943430132,1.141878149327658,3.6411653547169496,4.26366816433551,2.376695689782939,6.432216104676719,1.4365957475551527
