hospital,date,active,admissions
BMC,2020-09-13,13,3
BMC,2020-09-14,12,0
BMC,2020-09-15,10,0
BMC,2020-09-16,8,0
BMC,2020-09-17,7,0
BMC,2020-09-18,8,2
BMC,2020-09-19,8,1
BMC,2020-09-20,7,0
BMC,2020-09-21,7,0
BMC,2020-09-22,9,3
BMC,2020-09-23,7,2
BMC,2020-09-24,9,1
BMC,2020-09-25,9,1
BMC,2020-09-26,7,1
BMC,2020-09-27,6,0
BMC,2020-09-28,6,1
BMC,2020-09-29,5,0
BMC,2020-09-30,5,0
BMC,2020-10-01,5,1
BMC,2020-10-02,6,0
BMC,2020-10-03,6,3
BMC,2020-10-04,9,0
BMC,2020-10-05,10,0
BMC,2020-10-06,11,1
BMC,2020-10-07,10,1
BMC,2020-10-08,10,1
BMC,2020-10-09,12,3
BMC,2020-10-10,13,1
BMC,2020-10-11,11,0
BMC,2020-10-12,11,2
BMC,2020-10-13,10,0
BMC,2020-10-14,9,0
BMC,2020-10-15,9,1
BMC,2020-10-16,11,5
BMC,2020-10-17,9,3
BMC,2020-10-18,10,1
BMC,2020-10-19,12,1
BMC,2020-10-20,12,2
BMC,2020-10-21,11,2
BMC,2020-10-22,9,1
BMC,2020-10-23,7,2
BMC,2020-10-24,6,2
BMC,2020-10-25,9,3
BMC,2020-10-26,12,2
BMC,2020-10-27,10,1
BMC,2020-10-28,11,0
BMC,2020-10-29,11,1
BMC,2020-10-30,9,1
BMC,2020-10-31,10,1
BMC,2020-11-01,10,1
BMC,2020-11-02,12,3
BMC,2020-11-03,12,1
BMC,2020-11-04,11,1
BMC,2020-11-05,10,0
BMC,2020-11-06,11,1
BMC,2020-11-07,12,2
BMC,2020-11-08,13,4
BMC,2020-11-09,17,4
BMC,2020-11-10,22,4
BMC,2020-11-11,23,3
BMC,2020-11-12,24,3
BMC,2020-11-13,24,9
BMC,2020-11-14,29,6
BMC,2020-11-15,33,3
BMC,2020-11-16,32,9
BMC,2020-11-17,34,6
BMC,2020-11-18,37,4
BMC,2020-11-19,42,9
BMC,2020-11-20,46,4
BMC,2020-11-21,44,9
BMC,2020-11-22,44,5
BMC,2020-11-23,46,7
BMC,2020-11-24,50,8
BMC,2020-11-25,50,9
BMC,2020-11-26,56,8
BMC,2020-11-27,51,8
BMC,2020-11-28,53,3
BMC,2020-11-29,51,3
BMC,2020-11-30,49,4
BMC,2020-12-01,51,4
BMC,2020-12-02,47,4
BMC,2020-12-03,48,2
BMC,2020-12-04,50,3
BMC,2020-12-05,48,8
BMC,2020-12-06,48,5
BMC,2020-12-07,47,11
BMC,2020-12-08,50,5
BMC,2020-12-09,47,6
BMC,2020-12-10,44,4
BMC,2020-12-11,41,5
BMC,2020-12-12,42,4
BMC,2020-12-13,40,3
BMC,2020-12-14,40,3
BMC,2020-12-15,44,3
BMC,2020-12-16,46,6
BMC,2020-12-17,46,4
BMC,2020-12-18,43,5
BMC,2020-12-19,45,1
BMC,2020-12-20,49,8
BMC,2020-12-21,55,5
BMC,2020-12-22,54,9
BMC,2020-12-23,49,4
BMC,2020-12-24,44,1
BMC,2020-12-25,42,9
BMC,2020-12-26,54,7
BMC,2020-12-27,57,5
BMC,2020-12-28,54,0
BMC,2020-12-29,55,6
BMC,2020-12-30,59,5
BMC,2020-12-31,51,5
BMC,2021-01-01,48,2
BMC,2021-01-02,50,5
BMC,2021-01-03,55,3
BMC,2021-01-04,61,4
BMC,2021-01-05,59,2
BMC,2021-01-06,61,7
BMC,2021-01-07,62,4
BMC,2021-01-08,61,6
BMC,2021-01-09,53,4
BMC,2021-01-10,60,6
BMC,2021-01-11,59,3
BMC,2021-01-12,53,4
BMC,2021-01-13,55,5
BMC,2021-01-14,50,2
BMC,2021-01-15,44,6
BMC,2021-01-16,43,5
BMC,2021-01-17,43,2
BMC,2021-01-18,43,3
BMC,2021-01-19,48,7
BMC,2021-01-20,49,6
BMC,2021-01-21,55,8
BMC,2021-01-22,48,3
BMC,2021-01-23,47,6
BMC,2021-01-24,48,4
BMC,2021-01-25,50,8
BMC,2021-01-26,49,5
BMC,2021-01-27,46,4
BMC,2021-01-28,48,6
BMC,2021-01-29,38,2
BMC,2021-01-30,34,3
BMC,2021-01-31,36,3
HCGH,2020-03-13,0,0
HCGH,2020-03-14,1,0
HCGH,2020-03-15,1,0
HCGH,2020-03-16,0,0
HCGH,2020-03-17,1,1
HCGH,2020-03-18,3,2
HCGH,2020-03-19,1,0
HCGH,2020-03-20,4,1
HCGH,2020-03-21,5,2
HCGH,2020-03-22,6,1
HCGH,2020-03-23,5,1
HCGH,2020-03-24,6,6
HCGH,2020-03-25,11,3
HCGH,2020-03-26,9,2
HCGH,2020-03-27,12,6
HCGH,2020-03-28,12,2
HCGH,2020-03-29,14,4
HCGH,2020-03-30,9,3
HCGH,2020-03-31,4,2
HCGH,2020-04-01,7,8
HCGH,2020-04-02,12,4
HCGH,2020-04-03,11,5
HCGH,2020-04-04,16,5
HCGH,2020-04-05,11,1
HCGH,2020-04-06,7,3
HCGH,2020-04-07,11,4
HCGH,2020-04-08,17,7
HCGH,2020-04-09,19,7
HCGH,2020-04-10,24,4
HCGH,2020-04-11,28,7
HCGH,2020-04-12,32,4
HCGH,2020-04-13,35,5
HCGH,2020-04-14,30,0
HCGH,2020-04-15,24,5
HCGH,2020-04-16,27,6
HCGH,2020-04-17,24,2
HCGH,2020-04-18,32,7
HCGH,2020-04-19,36,6
HCGH,2020-04-20,40,10
HCGH,2020-04-21,39,3
HCGH,2020-04-22,36,4
HCGH,2020-04-23,36,5
HCGH,2020-04-24,34,2
HCGH,2020-04-25,35,3
HCGH,2020-04-26,35,3
HCGH,2020-04-27,34,5
HCGH,2020-04-28,41,10
HCGH,2020-04-29,43,8
HCGH,2020-04-30,47,3
HCGH,2020-05-01,47,4
HCGH,2020-05-02,48,3
HCGH,2020-05-03,47,2
HCGH,2020-05-04,46,8
HCGH,2020-05-05,50,8
HCGH,2020-05-06,54,7
HCGH,2020-05-07,52,4
HCGH,2020-05-08,49,7
HCGH,2020-05-09,45,1
HCGH,2020-05-10,43,3
HCGH,2020-05-11,48,6
HCGH,2020-05-12,48,4
HCGH,2020-05-13,46,4
HCGH,2020-05-14,47,1
HCGH,2020-05-15,48,5
HCGH,2020-05-16,38,6
HCGH,2020-05-17,35,0
HCGH,2020-05-18,36,2
HCGH,2020-05-19,31,4
HCGH,2020-05-20,36,6
HCGH,2020-05-21,31,5
HCGH,2020-05-22,39,10
HCGH,2020-05-23,43,4
HCGH,2020-05-24,41,3
HCGH,2020-05-25,42,3
HCGH,2020-05-26,42,7
HCGH,2020-05-27,40,5
HCGH,2020-05-28,41,2
HCGH,2020-05-29,34,3
HCGH,2020-05-30,31,1
HCGH,2020-05-31,28,2
HCGH,2020-06-01,30,3
HCGH,2020-06-02,31,2
HCGH,2020-06-03,26,5
HCGH,2020-06-04,27,3
HCGH,2020-06-05,23,2
HCGH,2020-06-06,32,5
HCGH,2020-06-07,33,2
HCGH,2020-06-08,39,6
HCGH,2020-06-09,35,3
HCGH,2020-06-10,38,5
HCGH,2020-06-11,33,0
HCGH,2020-06-12,30,1
HCGH,2020-06-13,27,1
HCGH,2020-06-14,30,5
HCGH,2020-06-15,32,3
HCGH,2020-06-16,29,2
HCGH,2020-06-17,30,7
HCGH,2020-06-18,32,3
HCGH,2020-06-19,31,3
HCGH,2020-06-20,28,3
HCGH,2020-06-21,33,7
HCGH,2020-06-22,31,0
HCGH,2020-06-23,31,1
HCGH,2020-06-24,29,1
HCGH,2020-06-25,23,0
HCGH,2020-06-26,22,6
HCGH,2020-06-27,20,2
HCGH,2020-06-28,22,3
HCGH,2020-06-29,20,2
HCGH,2020-06-30,21,2
HCGH,2020-07-01,22,2
HCGH,2020-07-02,20,2
HCGH,2020-07-03,16,0
HCGH,2020-07-04,14,1
HCGH,2020-07-05,16,1
HCGH,2020-07-06,15,1
HCGH,2020-07-07,14,0
HCGH,2020-07-08,14,0
HCGH,2020-07-09,18,2
HCGH,2020-07-10,18,3
HCGH,2020-07-11,21,3
HCGH,2020-07-12,18,3
HCGH,2020-07-13,23,3
HCGH,2020-07-14,25,1
HCGH,2020-07-15,22,4
HCGH,2020-07-16,20,2
HCGH,2020-07-17,28,4
HCGH,2020-07-18,28,1
HCGH,2020-07-19,27,2
HCGH,2020-07-20,26,3
HCGH,2020-07-21,23,2
HCGH,2020-07-22,23,4
HCGH,2020-07-23,23,2
HCGH,2020-07-24,19,0
HCGH,2020-07-25,21,3
HCGH,2020-07-26,21,2
HCGH,2020-07-27,22,2
HCGH,2020-07-28,21,1
HCGH,2020-07-29,20,3
HCGH,2020-07-30,20,0
HCGH,2020-07-31,16,0
HCGH,2020-08-01,15,1
HCGH,2020-08-02,16,1
HCGH,2020-08-03,15,3
HCGH,2020-08-04,19,3
HCGH,2020-08-05,16,0
HCGH,2020-08-06,16,2
HCGH,2020-08-07,17,3
HCGH,2020-08-08,17,1
HCGH,2020-08-09,19,2
HCGH,2020-08-10,19,3
HCGH,2020-08-11,18,0
HCGH,2020-08-12,17,1
HCGH,2020-08-13,14,2
HCGH,2020-08-14,15,0
HCGH,2020-08-15,14,1
HCGH,2020-08-16,14,2
HCGH,2020-08-17,17,1
HCGH,2020-08-18,18,1
HCGH,2020-08-19,18,2
HCGH,2020-08-20,20,4
HCGH,2020-08-21,22,2
HCGH,2020-08-22,23,0
HCGH,2020-08-23,22,1
HCGH,2020-08-24,21,0
HCGH,2020-08-25,20,2
HCGH,2020-08-26,18,0
HCGH,2020-08-27,15,1
HCGH,2020-08-28,15,1
HCGH,2020-08-29,12,0
HCGH,2020-08-30,11,1
HCGH,2020-08-31,13,3
HCGH,2020-09-01,14,1
HCGH,2020-09-02,15,3
HCGH,2020-09-03,19,1
HCGH,2020-09-04,17,0
HCGH,2020-09-05,17,0
HCGH,2020-09-06,14,1
HCGH,2020-09-07,15,0
HCGH,2020-09-08,17,0
HCGH,2020-09-09,15,2
HCGH,2020-09-10,15,1
HCGH,2020-09-11,16,4
HCGH,2020-09-12,16,1
HCGH,2020-09-13,20,2
HCGH,2020-09-14,21,0
HCGH,2020-09-15,22,2
HCGH,2020-09-16,22,2
HCGH,2020-09-17,18,0
HCGH,2020-09-18,18,1
HCGH,2020-09-19,18,1
HCGH,2020-09-20,19,2
HCGH,2020-09-21,20,3
HCGH,2020-09-22,22,0
HCGH,2020-09-23,19,3
HCGH,2020-09-24,20,2
HCGH,2020-09-25,18,2
HCGH,2020-09-26,17,1
HCGH,2020-09-27,17,1
HCGH,2020-09-28,19,2
HCGH,2020-09-29,13,1
HCGH,2020-09-30,13,1
HCGH,2020-10-01,12,1
HCGH,2020-10-02,12,1
HCGH,2020-10-03,12,1
HCGH,2020-10-04,11,2
HCGH,2020-10-05,15,1
HCGH,2020-10-06,16,2
HCGH,2020-10-07,17,4
HCGH,2020-10-08,19,3
HCGH,2020-10-09,19,4
HCGH,2020-10-10,22,2
HCGH,2020-10-11,19,1
HCGH,2020-10-12,19,0
HCGH,2020-10-13,15,1
HCGH,2020-10-14,12,1
HCGH,2020-10-15,14,3
HCGH,2020-10-16,16,1
HCGH,2020-10-17,17,1
HCGH,2020-10-18,16,1
HCGH,2020-10-19,17,1
HCGH,2020-10-20,17,2
HCGH,2020-10-21,22,4
HCGH,2020-10-22,24,1
HCGH,2020-10-23,22,3
HCGH,2020-10-24,22,1
HCGH,2020-10-25,22,2
HCGH,2020-10-26,23,1
HCGH,2020-10-27,23,3
HCGH,2020-10-28,27,3
HCGH,2020-10-29,24,2
HCGH,2020-10-30,23,2
HCGH,2020-10-31,23,4
HCGH,2020-11-01,23,0
HCGH,2020-11-02,24,1
HCGH,2020-11-03,18,1
HCGH,2020-11-04,15,0
HCGH,2020-11-05,13,2
HCGH,2020-11-06,15,3
HCGH,2020-11-07,18,4
HCGH,2020-11-08,23,2
HCGH,2020-11-09,24,2
HCGH,2020-11-10,26,5
HCGH,2020-11-11,31,8
HCGH,2020-11-12,36,7
HCGH,2020-11-13,39,2
HCGH,2020-11-14,38,4
HCGH,2020-11-15,39,6
HCGH,2020-11-16,44,5
HCGH,2020-11-17,51,6
HCGH,2020-11-18,46,2
HCGH,2020-11-19,43,6
HCGH,2020-11-20,44,3
HCGH,2020-11-21,45,7
HCGH,2020-11-22,51,6
HCGH,2020-11-23,53,11
HCGH,2020-11-24,62,6
HCGH,2020-11-25,57,2
HCGH,2020-11-26,59,7
HCGH,2020-11-27,57,6
HCGH,2020-11-28,53,5
HCGH,2020-11-29,58,7
HCGH,2020-11-30,56,3
HCGH,2020-12-01,52,3
HCGH,2020-12-02,41,3
HCGH,2020-12-03,36,1
