date,SMH_baseline,JHH_baseline,SH_baseline,BMC_baseline,HCGH_baseline,SMH_optimistic,JHH_optimistic,SH_optimistic,BMC_optimistic,HCGH_optimistic,SMH_moderate,JHH_moderate,SH_moderate,BMC_moderate,HCGH_moderate,SMH_pessimistic,JHH_pessimistic,SH_pessimistic,BMC_pessimistic,HCGH_pessimistic,SMH_baseline_std,JHH_baseline_std,SH_baseline_std,BMC_baseline_std,HCGH_baseline_std,SMH_optimistic_std,JHH_optimistic_std,SH_optimistic_std,BMC_optimistic_std,HCGH_optimistic_std,SMH_moderate_std,JHH_moderate_std,SH_moderate_std,BMC_moderate_std,HCGH_moderate_std,SMH_pessimistic_std,JHH_pessimistic_std,SH_pessimistic_std,BMC_pessimistic_std,HCGH_pessimistic_std
2020-09-16,0.326086956521739,1.47826086956522,2.04347826086957,0.391304347826087,2.58695652173913,0.319148936170213,1.46808510638298,2.12765957446809,0.404255319148936,2.57446808510638,0.326086956521739,1.45652173913043,2.15217391304348,0.369565217391304,2.52173913043478,0.319148936170213,1.46808510638298,2.12765957446809,0.404255319148936,2.57446808510638,0.69327037909139,1.15606398263551,1.36662901265232,0.607140871468215,1.48288917403071,0.687467847719298,1.14577974619883,1.46762249880685,0.607035856071792,1.46947205530485,0.69327037909139,1.15545063181898,1.47393869414643,0.565635297011204,1.44069926311138,0.687467847719298,1.14577974619883,1.46762249880685,0.607035856071792,1.46947205530485
2020-09-17,0.152173913043478,1.41304347826087,2.3695652173913,0.804347826086957,2.5,0.170212765957447,1.40425531914894,2.36170212765957,0.851063829787234,2.48936170212766,0.173913043478261,1.41304347826087,2.3695652173913,0.826086956521739,2.45652173913043,0.170212765957447,1.40425531914894,2.36170212765957,0.851063829787234,2.48936170212766,0.415325503794409,1.03369508069293,1.53734236593367,0.899747916807604,1.36333988871958,0.428711525098083,1.02437473337964,1.52183444614874,0.944834183454235,1.35068682962586,0.432603233524617,1.03369508069293,1.53734236593367,0.9395731645641,1.34659831877814,0.428711525098083,1.02437473337964,1.52183444614874,0.944834183454235,1.35068682962586
2020-09-18,0.217391304347826,1.58695652173913,2.30434782608696,0.652173913043478,2.3695652173913,0.212765957446809,1.57446808510638,2.31914893617021,0.638297872340426,2.40425531914894,0.217391304347826,1.60869565217391,2.32608695652174,0.652173913043478,2.39130434782609,0.212765957446809,1.57446808510638,2.31914893617021,0.638297872340426,2.40425531914894,0.412470999152397,1.54041336852668,1.39672855688774,0.889977803932988,1.63333076141407,0.409263490673859,1.52628990931583,1.38543154009359,0.885474555178077,1.63290075356169,0.412470999152397,1.52484155797828,1.39960161763651,0.889977803932988,1.64816447139347,0.409263490673859,1.52628990931583,1.38543154009359,0.885474555178077,1.63290075356169
2020-09-19,0.173913043478261,0.847826086956522,2.32608695652174,0.804347826086957,2.45652173913043,0.191489361702128,0.872340425531915,2.29787234042553,0.787234042553192,2.51063829787234,0.195652173913043,0.891304347826087,2.19565217391304,0.760869565217391,2.56521739130435,0.191489361702128,0.872340425531915,2.29787234042553,0.787234042553192,2.51063829787234,0.432603233524617,0.883850058706788,1.84219089585916,0.797266122647489,1.75333870012428,0.4442683620813,0.890063858014974,1.83250663830932,0.797233787029583,1.77299290689359,0.448163654958441,0.89024327084536,1.71463730754009,0.785321385573411,1.75266472789099,0.4442683620813,0.890063858014974,1.83250663830932,0.797233787029583,1.77299290689359
2020-09-20,0.347826086956522,1.47826086956522,1.84782608695652,0.652173913043478,2.6304347826087,0.340425531914894,1.46808510638298,1.85106382978723,0.659574468085106,2.63829787234043,0.347826086956522,1.5,1.82608695652174,0.565217391304348,2.65217391304348,0.340425531914894,1.48936170212766,1.80851063829787,0.638297872340426,2.65957446808511,0.519924380134843,1.44069926311138,1.2505197407191,0.914078088766463,1.90375710512447,0.516806714957069,1.42696022443466,1.33653606591825,0.928888508635875,1.91772839816915,0.519924380134843,1.42569586365823,1.2735494361632,0.770436745507363,1.89067955697034,0.516806714957069,1.44210750662388,1.26555509429473,0.909185558264745,1.9160752855182
2020-09-21,0.369565217391304,1.43478260869565,1.82608695652174,0.652173913043478,2.8695652173913,0.361702127659574,1.40425531914894,1.76595744680851,0.617021276595745,2.85106382978723,0.369565217391304,1.43478260869565,1.78260869565217,0.58695652173913,2.91304347826087,0.382978723404255,1.40425531914894,1.80851063829787,0.638297872340426,2.82978723404255,0.671102132192745,0.970257113235713,1.23893972598044,0.728828461488705,2.24197792771369,0.666062801808448,0.914646181285305,1.24135762943105,0.701159874607833,2.11357037245747,0.671102132192745,0.970257113235713,1.26685237255074,0.709442124873075,2.09373897875383,0.670128329703133,0.937619767511945,1.26555509429473,0.783487346362637,2.13700077097697
2020-09-22,0.260869565217391,1.47826086956522,2.28260869565217,0.847826086956522,2.21739130434783,0.276595744680851,1.42553191489362,2.21276595744681,0.872340425531915,2.29787234042553,0.282608695652174,1.47826086956522,2.32608695652174,0.934782608695652,2.30434782608696,0.297872340425532,1.46808510638298,2.17021276595745,0.936170212765957,2.21276595744681,0.528935872199845,1.17471792053098,1.86107780224561,0.908112981487192,1.705656108342,0.572494640301009,1.215934643594,1.70026493821337,0.913655768237612,1.61000718403341,0.538235582745215,1.17471792053098,1.7327327979121,1.03003110786801,1.67940938398504,0.542448884424764,1.20019615116344,1.6671947254604,0.931808018742902,1.70026493821337
2020-09-23,0.347826086956522,1.08695652173913,1.78260869565217,0.630434782608696,3.02173913043478,0.382978723404255,1.23404255319149,1.93617021276596,0.659574468085106,2.87234042553191,0.369565217391304,1.02173913043478,1.84782608695652,0.673913043478261,2.82608695652174,0.382978723404255,1.06382978723404,1.85106382978723,0.680851063829787,2.95744680851064,0.519924380134843,1.13876529162685,1.36593722368739,0.762110788824265,1.88228735082545,0.486113176970037,1.17079289295299,1.35903995086564,0.722778202189916,1.59276317210323,0.482687028503794,1.13231449070482,1.45911514735216,0.753379280485368,1.71063613677443,0.486113176970037,1.13745245996797,1.30430911693567,0.801763560911352,1.73766102034855
2020-09-24,0.260869565217391,1.28260869565217,2.26086956521739,0.608695652173913,2.6304347826087,0.191489361702128,1.31914893617021,2.17021276595745,0.680851063829787,2.59574468085106,0.260869565217391,1.58695652173913,2.02173913043478,0.739130434782609,2.60869565217391,0.212765957446809,1.27659574468085,2.14893617021277,0.787234042553192,2.63829787234043,0.568552036114001,1.13564851187904,1.49542465407999,0.793403808299768,1.82207115372176,0.4442683620813,1.20471384399081,1.30985055077629,0.827875593972073,1.8526527785289,0.528935872199845,1.39215327361612,1.13231449070482,0.919233674428955,1.83538007993091,0.50259624727735,1.26662775030955,1.39876424799094,0.897660557860808,1.74338301494651
2020-09-25,0.369565217391304,1.39130434782609,2.23913043478261,0.91304347826087,2.80434782608696,0.297872340425532,1.31914893617021,2.19148936170213,0.851063829787234,2.68085106382979,0.347826086956522,1.08695652173913,2.28260869565217,0.847826086956522,2.71739130434783,0.297872340425532,1.42553191489362,2.38297872340426,1.0,2.74468085106383,0.602844548863567,1.31013210202777,1.43231012261123,0.996212107599096,1.66315003921175,0.457323090642653,1.23953290754294,1.29874403932186,0.967090908711788,1.58592724711355,0.63305303385048,1.17632602247554,1.24521769492345,0.908112981487192,1.87272230906798,0.501694728619217,1.14380255793324,1.29734903995116,1.01058230527982,1.80387390589163
