date,JHH_optimistic,SH_optimistic,BMC_optimistic,HCGH_optimistic,SMH_optimistic,JHH_moderate,SH_moderate,BMC_moderate,HCGH_moderate,SMH_moderate,JHH_pessimistic,SH_pessimistic,BMC_pessimistic,HCGH_pessimistic,SMH_pessimistic,JHH_catastrophic,SH_catastrophic,BMC_catastrophic,HCGH_catastrophic,SMH_catastrophic,JHH_optimistic_std,SH_optimistic_std,BMC_optimistic_std,HCGH_optimistic_std,SMH_optimistic_std,JHH_moderate_std,SH_moderate_std,BMC_moderate_std,HCGH_moderate_std,SMH_moderate_std,JHH_pessimistic_std,SH_pessimistic_std,BMC_pessimistic_std,HCGH_pessimistic_std,SMH_pessimistic_std,JHH_catastrophic_std,SH_catastrophic_std,BMC_catastrophic_std,HCGH_catastrophic_std,SMH_catastrophic_std
2020-12-16,78.2353357594191,73.7073584597814,44.5370569152235,94.69852129294819,24.11029878618114,86.8761408221854,89.4035498497152,51.944750898262406,115.74950857667088,28.910379403794103,96.4584552651578,106.3948741521255,55.3735229205941,137.2227878330817,32.421577979151,113.97211421409162,119.7178089693675,60.8699316897565,155.27551062091482,37.78004022121671,15.569120002155199,18.877719395317577,7.4211259081754,19.271550422995098,7.57370564304177,13.358154324897127,17.933602153160795,7.66524598212639,21.9357265352371,5.915874114080529,19.837653622701204,25.5690039749787,9.61917512966872,29.4865167428469,9.634852697952429,7.995885395014761,6.3091405833717005,7.483309646781749,14.649644172268191,1.72639893788116
2020-12-17,79.3177579718757,76.01299335184771,46.73631986602469,99.31758900246689,24.426357860217294,91.1212998825269,93.1463943196368,53.53049478948391,123.22122867051141,30.1931818935316,103.16514843730931,114.0190154777147,58.4966934300268,147.95942074120228,33.5022015022015,123.70055945665922,130.2924671552121,65.8122528679522,170.61522535796598,40.474628144702095,16.1204192689917,17.31273684154524,7.726288951852782,21.9096190302637,7.30527705994119,14.342934074889216,18.228295223299,7.86930520040428,22.9320941813812,6.056730503764509,21.560283204869002,29.593603518124105,10.06920435541247,30.035094440481902,8.92305502158321,8.035789676119878,4.759476493041401,7.2108320668728805,12.53597641497739,3.2233241538181305
2020-12-18,81.79537694022699,78.42591645353811,48.39078095238101,101.09984582679621,24.22059946544478,94.1108678029835,97.6031682791572,56.11142522909459,129.89283332418472,31.472304087624202,107.7738182002224,120.4580557092787,61.63865644262809,158.9441466098769,35.3900017456576,129.48828789339848,138.1143776876513,70.3695675702889,185.8616521380107,42.628751210067804,16.872316903581805,15.497256149235,7.25837016948386,19.807864771767804,6.2812475346280205,14.485968608456151,18.4220632498596,7.940479800722702,23.36198302247,6.472233737591361,22.5242336627471,29.059611787157397,9.93857174925673,32.914292352262706,9.099505157731109,9.32976602646086,3.542545469954998,6.671610680046651,12.453003180726407,2.0416642033854195
2020-12-19,82.34701964907902,78.35288688617999,48.881896944824504,105.65863929464348,24.42206676081937,98.6039563429712,102.4467095572773,58.3669138229628,136.45230942370637,32.71126235582761,113.87482219061178,128.1441120147227,66.2430875963324,169.09605397487658,37.6237445996746,141.41408441874,152.71241830065358,76.89538252028342,201.06640159767602,45.061440265917,15.156401182561199,13.656475560283303,6.786643520886601,23.0233618375213,6.4056461486150695,16.162386612964415,19.669885638738897,8.78605073257086,24.564408286163506,6.546971431102588,23.450111433372804,32.1761547628265,11.876406070278554,36.4989707620701,9.76306325918294,11.124327004572681,1.6844804636189004,6.022414468741031,14.7662541435515,2.32714054892624
2020-12-20,83.5016994266996,80.6524935488969,48.063761081990506,108.39036730910328,24.32966414288491,102.5746842381327,107.41777201332769,59.93260340632601,143.28254165118227,34.5172126898388,119.47735741994099,135.37817547723898,68.9188328501032,180.27361144602506,40.97103098649839,149.07945556879142,166.533314578393,81.86806629473739,218.4272108019734,48.620439940682104,16.2161355035973,14.024584227406804,7.26756174430257,20.3145830950868,5.82729855947516,15.913924853605398,20.585373823635898,9.30548833586223,25.750708926399597,7.130829290233019,22.611827152162903,32.847855930759195,12.816936383096381,38.8675101117374,9.655530177045362,12.938278416188956,2.584658302499699,5.868586876947811,17.5428132109678,4.1602904591705
2020-12-21,85.10359516075039,83.0778122675148,47.9870279989726,111.9852187028655,24.981877310621698,105.77154818432449,112.06840316561087,62.00865915671,149.2688379695653,35.5609220521786,125.29538461538499,142.3426544105787,72.03761663576519,192.7982486633232,44.31864598790551,158.5113619938279,180.9332500020837,87.7295361952359,236.483427257478,52.8302521008404,18.7930262065166,13.790044998749202,7.19512686335208,21.705908780286297,5.686813199633148,15.696762120502802,21.698816515518203,9.77139868690076,26.478021035916605,7.12216184991562,24.7104176917535,33.3968801107158,13.477819418557342,43.8182783269338,10.346355116115287,12.372245966761797,2.274140013535801,4.6213196419869895,15.803551377875399,3.6270859594609988
2020-12-22,85.50477544624128,85.388117731032,49.0307859896095,115.1916193076984,25.879123653615196,108.88041202985951,116.7239337193707,64.02056457441282,156.24538035782462,36.8521220638902,129.87617405155487,152.3279228650138,76.78997489492501,202.88223406287352,47.0510843891991,169.8398983175278,193.7254048030952,92.52639756527341,257.26599176751995,56.753595715742904,15.5980286653986,14.320364912389305,8.033210016874381,20.673131014641395,6.1510404027220895,15.868677474921801,23.5658161397144,10.174056907934231,28.2844694963644,7.379341044310129,26.9154853643473,36.2750035965891,14.637322157093998,47.9338088368891,11.58786618554802,13.87360930596054,3.686874068934202,5.843544088505652,12.9356346315627,2.443044798504282
2020-12-23,83.26923875432479,87.3300988275123,49.43926128590968,115.12745710401632,25.898304675716503,111.7960235047893,121.14303952229488,65.83053508186651,161.1329205359832,38.105732807006,137.10274662594946,157.2761149070604,81.47195216049421,212.44815843117323,49.783671534499305,180.3843361986627,205.62817529036778,98.29975723622829,270.42051452890405,59.4697004838645,15.095120598037704,14.157710429989196,8.256862084564851,20.446087266389803,4.839046424017351,16.526048136108802,24.521670990578194,10.725085690914883,29.1693860606161,7.347492340637521,25.381853149109197,35.5813505394477,15.5365800777567,50.442372797572915,11.805434830393063,12.721721545948398,5.469291476722802,4.732867314244129,15.826804827021299,1.9068993655209905
2020-12-24,82.9574972177286,88.7374878014781,49.490986551688806,117.57081011986568,26.790533103454997,114.50747465891727,125.0933775363475,67.8673429611822,166.942663990305,39.2675236771031,140.490650944089,163.4626092891356,85.3347549437033,222.88312118281542,52.9392243479031,186.43650180131561,218.92582334464998,104.12709317303538,288.220365985099,62.49412530138919,12.9951681686648,13.101964446444905,8.3401261556564,22.824607771530406,4.967116140631248,16.979832635859502,25.684220669616302,11.143886273343778,30.5407657730986,7.44349256883366,26.297508166705004,34.95729109177931,17.195234688137603,52.578194397707485,11.821502001293236,13.1971468587479,11.0172762869666,4.681834224198299,11.223747757552504,3.91468999386844
2020-12-25,83.6639238095241,88.88158041179771,49.5938538919217,119.6355698993749,26.3428571428571,117.3714349722903,129.72920607280187,69.701113587073,172.1195906987028,40.2824930556112,147.0653886126346,169.5992002953218,88.3079205705667,233.6788316430318,54.97992998141589,195.38004144747308,228.49223301077808,109.42017541744009,306.02456956423396,66.3662209795557,13.05693983044016,15.1346042880892,7.5673562001826715,25.7580001355075,5.257851934867571,17.7373969722426,26.364965115555098,11.346561367251741,31.369656049191995,7.306521442081379,26.5365397207671,32.444949073786006,17.180190732298897,54.6086820410282,11.715900808468852,13.744189963309,11.766787016576503,6.087191650415918,10.307326287530802,2.9857535534693893
