"","date","opt JHH","opt SH","opt BMC","opt HCGH","opt SMH","mod JHH","mod SH","mod BMC","mod HCGH","mod SMH","pess JHH","pess SH","pess BMC","pess HCGH","pess SMH","cat JHH","cat SH","cat BMC","cat HCGH","cat SMH"
"286",2020-12-11,75.8131868131868,53.4945054945055,38.8021978021978,81.1868131868132,15.6813186813186,102.090909090909,92.6883116883116,54.1948051948052,133.597402597403,25.9090909090909,119.591463414634,120.719512195122,66.4146341463414,165.737804878049,33.2926829268293,129.710462287105,136.496350364964,71.4671532846716,186.659367396594,38.4014598540146
"287",2020-12-12,76.2747252747253,54.4395604395605,39.4395604395604,82.5164835164835,16.065934065934,104.974025974026,96.8961038961039,55.7792207792208,138.233766233766,27.2077922077922,123.945121951219,127.091463414634,68.8414634146341,174.207317073171,34.9634146341463,135.537712895377,145.126520681265,74.7104622871046,198.357664233577,40.7956204379562
"288",2020-12-13,77.4945054945055,55.7252747252747,40.0659340659341,84.3736263736264,16.3736263736263,108.311688311688,100.454545454545,57.4545454545455,143.350649350649,28.1428571428571,128.30487804878,133.40243902439,71.2560975609756,182.701219512195,36.7317073170732,141.695863746959,153.992700729927,78.2262773722628,210.077858880779,43.6155717761557
"289",2020-12-14,78.5934065934066,56.956043956044,40.5384615384615,86.4285714285714,16.7472527472527,111.064935064935,104.454545454545,58.8311688311689,148.857142857143,29.4285714285714,132.853658536585,140.109756097561,74.0853658536585,191.158536585366,38.6890243902439,148.323600973236,163.888077858881,82.0170316301703,222.369829683698,46.4574209245742
"290",2020-12-15,79.6153846153846,58.2417582417583,41.1208791208791,88.7692307692308,17.1208791208791,114.987012987013,108.688311688312,60.3636363636364,153.402597402597,30.3506493506493,137.823170731707,146.091463414634,77.0548780487805,199.682926829268,40.4756097560975,155.223844282238,173.978102189781,85.8345498783455,235.051094890511,49.3552311435523
"291",2020-12-16,80.1208791208791,59.5934065934066,41.7142857142857,90.2967032967033,17.8021978021978,117.974025974026,111.935064935065,61.7922077922078,158.467532467532,31.8181818181818,142.762195121951,152.09756097561,80.0182926829268,208.713414634146,42.7134146341463,161.953771289538,184.041362530414,90.0608272506083,248.586374695864,52.2700729927008
"292",2020-12-17,80.3736263736264,61.8131868131868,42.3186813186813,92,18.076923076923,121.038961038961,116.805194805195,63.012987012987,163.61038961039,33.2467532467532,147.981707317073,159.109756097561,82.6890243902439,217.695121951219,44.8231707317073,169.773722627737,194.126520681265,94.338199513382,262.250608272506,55.3211678832117
"293",2020-12-18,81.043956043956,62.8571428571429,43.2197802197802,93.6483516483516,18.4725274725274,124.142857142857,121.168831168831,64.7012987012987,169.220779220779,34.2207792207792,153.292682926829,166.34756097561,86.0609756097561,227.353658536585,47.1280487804878,177.671532846715,205.085158150852,98.661800486618,276.712895377129,58.7031630170317
"294",2020-12-19,82.3076923076923,64.3956043956044,43.6703296703297,95.7802197802198,18.6703296703296,126.909090909091,125.493506493506,66.4675324675325,173.61038961039,35.7532467532467,158.75,173.993902439024,88.8475609756097,238.024390243902,49.2195121951219,185.790754257908,216.318734793187,103.024330900243,291.535279805353,62.0389294403893
"295",2020-12-20,82.6813186813187,65.2527472527473,44.3626373626374,96.7582417582418,19.043956043956,130.519480519481,129.74025974026,68.2077922077922,179.649350649351,37.5714285714285,164.591463414634,181.670731707317,92.0060975609756,247.579268292683,51.5487804878049,194.289537712895,227.693430656934,107.946472019465,306.744525547445,65.2992700729927
"296",2020-12-21,83.3186813186813,66.6263736263736,44.9230769230769,98.3956043956044,19.3736263736263,132.467532467532,133.649350649351,71.3246753246754,186.675324675325,39.1168831168831,170.463414634146,188.939024390244,95.8536585365853,259.09756097561,54.3109756097561,202.727493917275,238.948905109489,113.092457420925,322.518248175183,68.69099756691
"297",2020-12-22,84.6813186813187,68.3626373626374,45.8131868131868,100.505494505494,19.4395604395604,135.428571428571,138.233766233766,73.4805194805195,193.064935064935,40.5324675324675,176.701219512195,197.463414634146,99.5243902439024,270.329268292683,56.6219512195122,211.625304136253,251.053527980535,117.975669099757,338.907542579075,72.0851581508516
"298",2020-12-23,85.9340659340659,70.6043956043956,46.6263736263736,103.285714285714,19.8791208791208,138.38961038961,142.402597402597,75.9220779220779,198.584415584416,41.3766233766233,182.542682926829,206.359756097561,103.341463414634,281.859756097561,59.6341463414634,220.656934306569,262.771289537713,123.267639902676,355.759124087591,75.8394160583942
"299",2020-12-24,87.7692307692308,72.8351648351648,47.0769230769231,105,20.6263736263736,141.987012987013,146.818181818182,76.948051948052,205.272727272727,42.6883116883117,189.030487804878,214.621951219512,106.853658536585,294.670731707317,62.4695121951219,230.360097323601,275.304136253041,128.832116788321,373.333333333333,79.6107055961071
"300",2020-12-25,89.0769230769231,74.3516483516484,47.5054945054945,108.142857142857,21.4285714285714,145.675324675325,151.220779220779,79.3246753246753,210.883116883117,43.8441558441558,195.103658536585,223.615853658537,110.823170731707,305.426829268293,65.4085365853658,240.369829683698,288.917274939173,134.729927007299,391.238442822384,83.4768856447689
"301",2020-12-26,90.7252747252747,76.3956043956044,47.956043956044,111.21978021978,21.8791208791208,149.753246753247,156.064935064935,81.5714285714286,217.51948051948,45.5064935064935,201.920731707317,232.286585365854,114.390243902439,316.835365853659,68.0975609756097,250.987834549878,303.05596107056,141.009732360097,409.846715328467,87.4866180048662
"302",2020-12-27,92.1098901098901,78.3406593406594,48.7912087912088,114.505494505494,22.6923076923077,152.896103896104,161.623376623377,83.2207792207792,224.558441558442,47.2857142857143,208.768292682927,240.237804878049,117.981707317073,328.658536585366,70.6890243902439,261.620437956204,317.411192214112,147.630170316302,429.403892944039,92.0535279805353
"303",2020-12-28,94.065934065934,81.0329670329671,49.7252747252747,117.494505494505,23.4725274725274,157.350649350649,167.909090909091,85.6493506493507,232.324675324675,49.3246753246753,215.530487804878,247.841463414634,121.75,340.371951219512,73.25,273.004866180049,331.447688564477,154.978102189781,450.133819951338,96.7785888077859
"304",2020-12-29,96.2417582417582,83.5934065934066,50.8351648351648,120.417582417582,24.076923076923,161.519480519481,173.883116883117,88.5194805194805,239.428571428571,51.1558441558441,222.182926829268,256.298780487805,125.573170731707,351.737804878049,75.8719512195122,284.498783454988,346.939172749392,162.479318734793,471.38199513382,101.153284671533
"305",2020-12-30,98.021978021978,85.7582417582418,51.8571428571429,122.967032967033,24.3076923076923,165.532467532467,180.090909090909,90.6493506493507,248.948051948052,53.1688311688311,228.384146341463,264.798780487805,129.176829268293,363.567073170732,78.2195121951219,296.734793187348,362.727493917275,169.815085158151,492.990267639903,105.564476885645
"306",2020-12-31,99.4835164835165,87.2857142857143,52.5384615384615,125.78021978022,25.043956043956,170.155844155844,185.922077922078,93.2467532467533,257.155844155844,54.3506493506493,234.506097560976,273.737804878049,132.975609756098,374.646341463415,80.4268292682927,308.846715328467,378.053527980535,177.092457420925,516.038929440389,110.423357664234
"307",2021-01-01,100.428571428571,89.6153846153846,53.7362637362637,128.868131868132,25.8351648351648,174.207792207792,191.61038961039,96.6363636363637,264.831168831169,56.4025974025974,241.09756097561,281.5,136.390243902439,384.981707317073,83.0487804878048,321.433090024331,393.313868613139,184.557177615572,538.839416058394,115.357664233577
"308",2021-01-02,102.175824175824,91.978021978022,54.7362637362637,131.131868131868,26.5164835164835,179.116883116883,196.12987012987,98.5844155844156,272.363636363636,58.051948051948,247.932926829268,289.591463414634,140.024390243902,395.920731707317,85.9085365853658,334.065693430657,408.586374695864,192.211678832117,562.532846715328,120.841849148419
"309",2021-01-03,103.978021978022,94.6263736263736,54.978021978022,133.681318681319,26.8791208791208,184.649350649351,201.805194805195,101.571428571429,280.194805194805,59.2077922077922,254.012195121951,296.932926829268,143.365853658537,407.359756097561,88.4512195121951,346.338199513382,424.141119221411,199.56204379562,584.712895377129,125.74695863747
"310",2021-01-04,106.21978021978,96.5164835164835,55.3516483516484,136.747252747253,27.3516483516483,188.12987012987,206,104.350649350649,287.727272727273,61.2727272727272,259.609756097561,304.024390243902,147.073170731707,418.024390243902,90.2012195121951,358.725060827251,439.238442822384,206.895377128954,607.576642335766,130.304136253041
"311",2021-01-05,107.549450549451,97.934065934066,56.2747252747253,138.318681318681,27.7142857142857,190.987012987013,210.25974025974,106.883116883117,294.064935064935,62.6623376623376,265.640243902439,311.44512195122,151.085365853659,428.80487804878,92.3170731707317,371.508515815085,455.116788321168,214.267639902676,630.209245742092,135.569343065693
"312",2021-01-06,108.769230769231,98.7912087912088,56.9340659340659,141.021978021978,28.2857142857142,194.376623376623,213.675324675325,109.285714285714,298.87012987013,63.9610389610389,270.573170731707,317.987804878049,154.274390243902,439.219512195122,93.7865853658536,383.596107055961,469.515815085158,222.265206812652,652.742092457421,140.564476885645
"313",2021-01-07,109.846153846154,100.703296703297,57.8791208791209,142.857142857143,28.9780219780219,197.428571428571,217.064935064935,111.753246753247,304.805194805195,64.8961038961039,275.55487804878,324.317073170732,157.298780487805,449.487804878049,95.5548780487805,396.1800486618,484.411192214112,229.958637469586,675.109489051095,145.304136253041
"314",2021-01-08,110.835164835165,101.395604395604,58.4725274725275,145.450549450549,29.5274725274725,200.12987012987,221.51948051948,113.649350649351,309.298701298701,66.6493506493506,280.15243902439,330.323170731707,161.274390243902,459.103658536585,97.5975609756097,408.136253041363,498.579075425791,237.469586374696,696.761557177616,149.958637469586
