"","date","mod JHH","mod SH","mod BMC","mod HCGH","mod SMH","pess JHH","pess SH","pess BMC","pess HCGH","pess SMH","cat JHH","cat SH","cat BMC","cat HCGH","cat SMH"
"274",2020-11-29,16.4434637470333,26.6672083278321,11.1507847257491,30.80745648378,9.94959170016539,22.1818742606237,30.9898524908302,13.339073798742,39.505075762658,8.76518054314715,26.0589158410262,39.1919825146114,16.0159270209095,50.8257461390212,11.1448717395027
"275",2020-11-30,16.9070251670718,28.2353944544786,11.7314747581027,32.3567516138441,10.1979164538645,23.334438248887,33.7528128393805,14.1956576047502,42.5093236429995,9.31936959933647,28.1675809628913,41.6638632763956,17.7292838904011,54.753818036913,12.2003346712279
"276",2020-12-01,17.856633921319,28.9528819809013,11.6554440069866,32.4221278604597,10.4520033964786,24.3891493143394,35.9334521431827,15.1265431270703,45.2704168348997,9.7642629498548,30.5540306494468,45.3589124931425,19.3688543908829,59.4347601857625,13.7097747565535
"277",2020-12-02,18.3673623582702,29.2057250380811,11.6930534934208,34.1569539040003,10.0349078221975,26.0570995604584,38.5146496980204,16.019821938706,48.6349974214624,10.5582481467102,33.1626657970701,49.0285563847894,20.7366637511778,64.2559939067257,14.3257072387116
"278",2020-12-03,19.0783745376801,29.8918780774979,11.8652591627828,36.1757861006502,10.219589032833,28.0055768751681,40.5281460439364,16.9066547445622,51.9566345244097,11.3999653436428,36.2553104378944,52.5347007942679,22.0661811729418,68.3521783494945,15.42874968865
"279",2020-12-04,19.2535548665694,30.4954812226336,12.251938622112,37.2880342737452,9.83993775386816,29.9343200375775,43.7362706653749,17.7174273390161,54.7389873775335,12.1669619460856,39.2267972808576,56.1886080389646,23.5783190539904,73.204271246422,16.3171338822566
"280",2020-12-05,19.37362898375,30.2365259247818,13.4684585235282,37.3824741690541,9.87721494147009,31.520571273046,46.936605410402,18.7614549435065,58.2016261571579,12.8896288731077,42.1427067085128,60.0206775903797,25.4244412826098,78.1193619939327,17.3279371602154
"281",2020-12-06,20.0068581991276,30.1877458582121,13.6678454776164,37.6793627201947,9.60351498150547,33.6954831333623,49.1561090618129,19.9347516749036,60.9731341908864,13.7172152867017,45.2296039257506,64.1109736840176,27.020264700744,83.3642597985774,18.4318776067639
"282",2020-12-07,20.1851430512642,30.7245728204641,14.0783299790849,37.1298313354639,9.95439601382223,36.065402328948,52.1268651401873,21.1255869969536,64.6795267047983,14.4149669061347,48.5663238444574,68.530517537153,29.0753519081251,88.9116026150962,19.7450532546175
"283",2020-12-08,21.090222853256,30.868713934986,14.1666642156861,37.3031416237292,9.75909831900468,38.4781621769096,54.987302198463,22.3782398448515,68.3776852309187,15.2291472950798,52.027409544822,73.764083082088,31.1088869243941,95.0770787945797,21.2930781676739
