"","date","mod JHH","mod SH","mod BMC","mod HCGH","mod SMH","pess JHH","pess SH","pess BMC","pess HCGH","pess SMH","cat JHH","cat SH","cat BMC","cat HCGH","cat SMH"
"380",2021-03-15,5.675,7.2,3.125,12.15,2.2,6.76335877862595,7.56488549618321,4.37404580152672,13.5114503816794,2.17557251908397,7.92,8.90823529411765,4.90352941176471,14.8305882352941,2.51058823529412
"381",2021-03-16,5.475,7.225,3.225,10.75,2.3,6.90076335877863,7.70992366412214,4.21374045801527,12.4580152671756,2.13740458015267,7.63294117647059,8.50352941176471,4.69647058823529,13.9552941176471,2.30117647058824
"382",2021-03-17,5.5,6.85,2.8,10.225,1.775,6.10687022900763,7.55725190839695,4.3206106870229,11.1908396946565,2.12213740458015,7.35058823529412,7.78117647058824,4.48705882352941,12.9270588235294,2.00705882352941
"383",2021-03-18,5,6.95,3.325,8.975,2.025,5.93893129770992,7.15267175572519,3.74809160305344,10.8015267175573,2.05343511450382,6.68,7.51058823529412,4.06588235294118,12.3858823529412,2.13411764705882
"384",2021-03-19,4.525,6.75,3.25,9,1.85,5.85496183206107,6.90076335877863,3.3969465648855,10.7404580152672,1.74809160305344,6.56235294117647,6.98588235294118,3.89647058823529,11.8188235294118,1.91529411764706
"385",2021-03-20,4.275,5.875,2.35,9.725,1.7,5.69465648854962,6.02290076335878,3.30534351145038,10.3129770992366,1.74045801526718,5.79764705882353,6.67529411764706,3.63764705882353,10.9223529411765,1.77411764705882
"386",2021-03-21,4.65,5.7,2.4,8.05,1.5,5.16030534351145,6.23664122137405,3.51908396946565,9.25190839694656,1.65648854961832,5.70588235294118,6.50823529411765,3.32235294117647,10.7105882352941,1.64941176470588
"387",2021-03-22,3.95,5.325,2.7,8.325,1.5,4.74809160305344,5.99236641221374,2.94656488549618,9.6412213740458,1.56488549618321,5.18588235294118,6.02588235294118,3.28705882352941,9.87764705882353,1.58352941176471
"388",2021-03-23,3.975,5.1,2.3,7.525,1.6,4.52671755725191,5.6793893129771,2.87022900763359,9.43511450381679,1.3587786259542,5.04705882352941,5.78352941176471,3.2,9.60705882352941,1.51058823529412
"389",2021-03-24,3.625,4.75,2.875,7.45,1.4,4.83206106870229,5.14503816793893,2.9236641221374,8.80916030534351,1.45801526717557,4.51058823529412,5.48705882352941,2.96235294117647,8.78823529411765,1.40470588235294
"390",2021-03-25,3.975,5.45,2.425,6.175,1.375,4.51908396946565,5.19847328244275,2.65648854961832,8.12213740458015,1.12213740458015,4.56705882352941,5.04470588235294,2.87294117647059,8.43294117647059,1.29882352941176
"391",2021-03-26,3.275,4.85,2.05,6.325,0.95,4.70992366412214,5.15267175572519,2.50381679389313,8.18320610687023,1.32824427480916,4.24,5.10117647058824,2.60941176470588,8.10117647058824,1.20941176470588
"392",2021-03-27,2.875,4.9,1.625,5.75,1.325,3.84732824427481,4.88549618320611,2.34351145038168,7.53435114503817,1.34351145038168,3.95529411764706,4.70823529411765,2.48470588235294,8.07058823529412,1.28941176470588
"393",2021-03-28,3.3,4.5,1.8,6.825,1.525,3.91603053435115,4.88549618320611,2.38167938931298,7.17557251908397,0.984732824427481,3.91058823529412,4.31058823529412,2.32235294117647,7.38117647058824,1.19058823529412
"394",2021-03-29,3.225,4.625,1.8,6.9,0.975,3.68702290076336,4.57251908396947,2.37404580152672,6.83206106870229,1.03053435114504,3.55529411764706,4.14117647058824,2.32470588235294,6.88235294117647,1.06588235294118
"395",2021-03-30,3.05,3.775,1.975,6.375,1.05,3.57251908396947,4.18320610687023,2.36641221374046,6.55725190839695,1.23664122137405,3.51764705882353,4.25411764705882,2.23529411764706,6.79529411764706,0.992941176470588
"396",2021-03-31,2.825,3.925,1.725,5.65,0.975,3.40458015267176,4.3969465648855,1.97709923664122,6.43511450381679,1.04580152671756,3.46823529411765,3.91529411764706,2.09176470588235,6.37411764705882,1.03764705882353
"397",2021-04-01,3,3.425,1.4,5.325,0.975,3.19847328244275,3.97709923664122,2.29007633587786,6.29770992366412,1.09160305343511,3.13411764705882,3.75764705882353,1.84705882352941,5.90117647058824,0.922352941176471
"398",2021-04-02,2.875,3.725,1.475,5.125,0.825,2.89312977099237,4.10687022900763,1.76335877862595,6.09160305343511,0.900763358778626,2.98117647058824,3.46117647058824,1.79294117647059,5.96470588235294,0.821176470588235
"399",2021-04-03,2.6,3.725,1.425,5.625,0.85,3.06106870229008,3.74809160305344,2.11450381679389,5.62595419847328,0.877862595419847,2.84,3.50588235294118,1.78823529411765,5.68235294117647,0.828235294117647
"400",2021-04-04,2.425,3.6,1.325,4.875,0.65,3.0381679389313,3.58015267175573,1.80916030534351,5.61832061068702,0.740458015267176,2.83294117647059,3.45411764705882,1.72235294117647,5.48235294117647,0.776470588235294
"401",2021-04-05,2.25,3.1,1.275,4.5,0.825,2.59541984732824,3.12977099236641,1.74809160305344,5.20610687022901,0.748091603053435,2.65411764705882,3.12235294117647,1.60941176470588,5.21411764705882,0.757647058823529
"402",2021-04-06,2,3.25,0.875,3.975,0.75,2.43511450381679,3.05343511450382,1.51908396946565,4.88549618320611,0.786259541984733,2.54117647058824,3.19764705882353,1.54117647058824,4.88705882352941,0.670588235294118
"403",2021-04-07,2.325,2.7,1.025,4.925,0.525,2.6030534351145,3.03053435114504,1.43511450381679,4.90076335877863,0.786259541984733,2.36470588235294,3.11764705882353,1.4,4.60941176470588,0.616470588235294
"404",2021-04-08,1.8,2.475,0.9,3.725,0.7,2.19083969465649,2.68702290076336,1.41984732824427,4.38931297709924,0.580152671755725,2.24,2.64941176470588,1.33647058823529,4.20941176470588,0.590588235294118
"405",2021-04-09,1.825,2.5,1.075,4.925,0.55,2.22900763358779,2.82442748091603,1.3206106870229,4.09160305343511,0.587786259541985,2.11058823529412,2.61647058823529,1.28470588235294,4.05647058823529,0.578823529411765
"406",2021-04-10,1.7,2.25,0.55,4.525,0.525,2.15267175572519,2.70229007633588,1.20610687022901,3.70229007633588,0.534351145038168,1.89411764705882,2.50823529411765,1.21176470588235,3.79764705882353,0.501176470588235
"407",2021-04-11,2.025,2.25,0.925,4,0.425,2.0381679389313,2.51145038167939,1.19083969465649,3.7175572519084,0.549618320610687,1.70117647058824,2.33411764705882,1.07294117647059,3.42117647058824,0.475294117647059
"408",2021-04-12,1.675,2.275,1,3.45,0.475,1.95419847328244,2.53435114503817,1.11450381679389,3.64885496183206,0.488549618320611,1.87529411764706,2.37882352941176,0.985882352941176,3.45411764705882,0.470588235294118
"409",2021-04-13,1.25,1.975,0.8,3.6,0.45,1.6030534351145,2.16030534351145,0.916030534351145,3.54961832061069,0.419847328244275,1.53176470588235,2.04,0.917647058823529,3.14117647058824,0.428235294117647
"410",2021-04-14,1.625,1.35,0.55,3.075,0.55,1.54961832061069,2.02290076335878,0.977099236641221,3.09160305343511,0.564885496183206,1.55058823529412,2.03764705882353,0.849411764705882,2.96,0.416470588235294
"411",2021-04-15,1.3,1.775,0.9,2.925,0.3,1.54961832061069,1.9236641221374,0.824427480916031,3.08396946564885,0.50381679389313,1.39058823529412,1.84235294117647,0.861176470588235,2.82823529411765,0.352941176470588
"412",2021-04-16,1.35,1.875,0.975,3.025,0.375,1.53435114503817,1.82442748091603,0.824427480916031,2.85496183206107,0.33587786259542,1.34588235294118,1.88705882352941,0.788235294117647,2.62117647058824,0.324705882352941
"413",2021-04-17,1.425,1.675,0.65,2.425,0.225,1.36641221374046,1.9236641221374,0.870229007633588,2.64885496183206,0.419847328244275,1.22823529411765,1.63764705882353,0.698823529411765,2.45411764705882,0.315294117647059
"414",2021-04-18,1.125,1.775,0.775,2.4,0.2,1.29007633587786,1.68702290076336,0.702290076335878,2.2824427480916,0.312977099236641,1.07058823529412,1.51529411764706,0.677647058823529,2.24235294117647,0.282352941176471
"415",2021-04-19,1.3,1.7,0.325,2.675,0.425,1.16793893129771,1.79389312977099,0.809160305343511,2.62595419847328,0.404580152671756,1.16235294117647,1.61176470588235,0.574117647058824,2.35529411764706,0.256470588235294
"416",2021-04-20,0.925,1.675,0.4,1.85,0.3,1.22900763358779,1.87022900763359,0.66412213740458,2.54961832061069,0.312977099236641,1.04705882352941,1.52705882352941,0.621176470588235,2.04,0.242352941176471
"417",2021-04-21,1.225,1.35,0.55,1.875,0.375,1.22137404580153,1.57251908396947,0.580152671755725,2.31297709923664,0.274809160305344,1.05411764705882,1.44,0.515294117647059,2.13411764705882,0.223529411764706
"418",2021-04-22,0.975,1.7,0.425,2.125,0.275,1.04580152671756,1.6793893129771,0.572519083969466,2.10687022900763,0.33587786259542,0.912941176470588,1.39058823529412,0.538823529411765,2.04705882352941,0.218823529411765
"419",2021-04-23,0.6,1.15,0.625,2.1,0.15,1,1.55725190839695,0.709923664122137,2.19847328244275,0.213740458015267,0.84,1.31529411764706,0.489411764705882,1.81176470588235,0.204705882352941
"420",2021-04-24,0.65,0.925,0.475,1.825,0.1,1.15267175572519,1.35114503816794,0.610687022900763,2.02290076335878,0.259541984732824,0.84,1.18823529411765,0.421176470588235,1.83058823529412,0.174117647058824
"421",2021-04-25,0.575,1.025,0.35,1.65,0.1,0.977099236641221,1.25190839694656,0.534351145038168,2.15267175572519,0.221374045801527,0.851764705882353,1.36941176470588,0.465882352941176,1.68941176470588,0.164705882352941
"422",2021-04-26,0.75,0.85,0.475,1.375,0.25,0.778625954198473,1.24427480916031,0.419847328244275,1.87022900763359,0.198473282442748,0.847058823529412,1.23058823529412,0.432941176470588,1.71294117647059,0.150588235294118
"423",2021-04-27,0.85,0.95,0.35,1.675,0.05,0.938931297709924,1.18320610687023,0.603053435114504,1.75572519083969,0.221374045801527,0.844705882352941,1.24705882352941,0.421176470588235,1.57882352941176,0.167058823529412
"424",2021-04-28,0.575,1.05,0.425,1.725,0.05,0.702290076335878,1.34351145038168,0.343511450381679,1.55725190839695,0.251908396946565,0.635294117647059,1.12470588235294,0.385882352941176,1.55294117647059,0.164705882352941
"425",2021-04-29,0.475,1.15,0.325,1.3,0.2,0.793893129770992,1.29770992366412,0.488549618320611,1.63358778625954,0.16030534351145,0.68,1.04,0.364705882352941,1.46117647058824,0.129411764705882
"426",2021-04-30,0.35,0.825,0.175,1.575,0.225,0.702290076335878,1.03053435114504,0.412213740458015,1.45038167938931,0.190839694656489,0.665882352941176,1.07058823529412,0.327058823529412,1.48705882352941,0.127058823529412
"427",2021-05-01,0.35,1,0.3,1.475,0.15,0.618320610687023,0.99236641221374,0.442748091603053,1.61068702290076,0.175572519083969,0.651764705882353,1.12470588235294,0.291764705882353,1.39529411764706,0.112941176470588
"428",2021-05-02,0.55,1.15,0.15,1.325,0.075,0.641221374045801,1.05343511450382,0.33587786259542,1.3969465648855,0.16030534351145,0.623529411764706,1.08470588235294,0.282352941176471,1.27764705882353,0.117647058823529
"429",2021-05-03,0.525,1.15,0.3,1.35,0.125,0.694656488549618,0.977099236641221,0.366412213740458,1.33587786259542,0.175572519083969,0.534117647058823,1.04235294117647,0.32,1.28705882352941,0.0917647058823529
"430",2021-05-04,0.575,1.15,0.175,1.05,0.2,0.618320610687023,1.15267175572519,0.320610687022901,1.24427480916031,0.122137404580153,0.555294117647059,0.955294117647059,0.24,1.22588235294118,0.0917647058823529
"431",2021-05-05,0.45,0.725,0.075,0.825,0.125,0.511450381679389,0.916030534351145,0.320610687022901,1.21374045801527,0.122137404580153,0.557647058823529,0.981176470588235,0.275294117647059,1.24235294117647,0.0705882352941176
"432",2021-05-06,0.375,0.65,0.15,1.025,0.05,0.541984732824427,0.908396946564885,0.297709923664122,1.11450381679389,0.122137404580153,0.517647058823529,1.04,0.256470588235294,1.24705882352941,0.117647058823529
"433",2021-05-07,0.4,0.95,0.175,0.85,0.05,0.564885496183206,1.03053435114504,0.251908396946565,1.19083969465649,0.0610687022900763,0.475294117647059,0.934117647058823,0.242352941176471,1.14588235294118,0.112941176470588
"434",2021-05-08,0.475,0.75,0.2,1.125,0.075,0.595419847328244,0.809160305343511,0.290076335877863,1.11450381679389,0.0916030534351145,0.463529411764706,0.997647058823529,0.232941176470588,1.06117647058824,0.0894117647058824
"435",2021-05-09,0.475,1.15,0.25,0.85,0.2,0.458015267175573,0.740458015267176,0.274809160305344,0.900763358778626,0.0610687022900763,0.494117647058824,0.985882352941176,0.237647058823529,1.09882352941176,0.0964705882352941
"436",2021-05-10,0.5,0.75,0.225,0.9,0.075,0.419847328244275,0.854961832061069,0.229007633587786,1.17557251908397,0.114503816793893,0.428235294117647,1.01647058823529,0.202352941176471,1.08,0.0988235294117647
"437",2021-05-11,0.45,0.825,0.225,0.7,0.025,0.625954198473282,0.847328244274809,0.274809160305344,1.0381679389313,0.0458015267175573,0.503529411764706,0.955294117647059,0.2,1.07294117647059,0.0729411764705882
"438",2021-05-12,0.325,0.875,0.175,1.1,0.075,0.541984732824427,0.99236641221374,0.251908396946565,1.13740458015267,0.0534351145038168,0.385882352941176,0.882352941176471,0.183529411764706,1.11294117647059,0.0588235294117647
"439",2021-05-13,0.475,1.125,0.05,1.125,0.05,0.50381679389313,0.893129770992366,0.213740458015267,0.847328244274809,0.0687022900763359,0.414117647058824,0.854117647058824,0.127058823529412,0.964705882352941,0.0564705882352941
"440",2021-05-14,0.325,1.35,0.175,1.125,0.05,0.419847328244275,0.83206106870229,0.206106870229008,1.10687022900763,0.099236641221374,0.385882352941176,0.847058823529412,0.164705882352941,1.08705882352941,0.0588235294117647
"441",2021-05-15,0.175,1.15,0.1,1.2,0.05,0.50381679389313,0.702290076335878,0.206106870229008,0.916030534351145,0.0763358778625954,0.390588235294118,0.903529411764706,0.178823529411765,0.992941176470588,0.04
"442",2021-05-16,0.5,1.025,0.075,0.725,0.05,0.33587786259542,0.725190839694656,0.244274809160305,1.05343511450382,0.114503816793893,0.402352941176471,0.821176470588235,0.211764705882353,0.952941176470588,0.0517647058823529
"443",2021-05-17,0.425,0.825,0.075,1.025,0.025,0.396946564885496,0.862595419847328,0.190839694656489,1.02290076335878,0.0381679389312977,0.376470588235294,0.854117647058824,0.124705882352941,0.971764705882353,0.0423529411764706
"444",2021-05-18,0.3,0.7,0.15,1.05,0.025,0.435114503816794,0.83206106870229,0.137404580152672,0.977099236641221,0.0916030534351145,0.334117647058824,0.738823529411765,0.155294117647059,0.952941176470588,0.0588235294117647
"445",2021-05-19,0.475,1.225,0.15,1.075,0.025,0.427480916030534,0.809160305343511,0.16030534351145,0.954198473282443,0.083969465648855,0.362352941176471,0.8,0.148235294117647,1.03764705882353,0.0352941176470588
"446",2021-05-20,0.35,1.175,0.275,0.9,0.05,0.458015267175573,0.961832061068702,0.16793893129771,0.908396946564885,0.0381679389312977,0.411764705882353,0.774117647058824,0.141176470588235,0.978823529411765,0.04
"447",2021-05-21,0.325,0.85,0.075,1,0.075,0.389312977099237,0.83206106870229,0.198473282442748,0.900763358778626,0.0458015267175573,0.334117647058824,0.802352941176471,0.197647058823529,1.04,0.0376470588235294
"448",2021-05-22,0.55,0.775,0.175,1.1,0.05,0.274809160305344,0.633587786259542,0.137404580152672,0.893129770992366,0.0763358778625954,0.36,0.832941176470588,0.162352941176471,1.05411764705882,0.0235294117647059
"449",2021-05-23,0.55,0.775,0.175,1.1,0.05,0.358778625954198,0.946564885496183,0.0916030534351145,0.824427480916031,0.0534351145038168,0.362352941176471,0.771764705882353,0.169411764705882,0.971764705882353,0.0235294117647059
"450",2021-05-24,0.55,0.775,0.175,1.1,0.05,0.404580152671756,0.847328244274809,0.221374045801527,0.770992366412214,0.0458015267175573,0.395294117647059,0.774117647058824,0.162352941176471,0.967058823529412,0.0258823529411765
"451",2021-05-25,0.55,0.775,0.175,1.1,0.05,0.396946564885496,0.969465648854962,0.221374045801527,1.09160305343511,0.0458015267175573,0.378823529411765,0.792941176470588,0.136470588235294,0.938823529411765,0.0258823529411765
