"","date","mod JHH","mod SH","mod BMC","mod HCGH","mod SMH","pess JHH","pess SH","pess BMC","pess HCGH","pess SMH","cat JHH","cat SH","cat BMC","cat HCGH","cat SMH"
"425",2021-04-29,16.2216292134831,-1.54752195734002,11.4028213166144,2.19508716323296,0.652372262773722,18.1928487193791,0.712554826189843,12.0867511967913,2.60136861424347,1.70112474303748,18.371701674277,-1.89516867998146,11.993942601262,2.50610344993591,0.923460718030304
"426",2021-04-30,15.51165,-2.2248,11.0892857142857,1.4737799834574,0.613533834586466,17.6281145779293,0.0850220149545411,12.2497336754055,1.7871876818438,1.5323811868998,18.0812669683258,-2.35437694590308,11.6703222159412,1.80330531341757,0.784885631629707
"427",2021-05-01,14.8763557483731,-2.61333333333333,10.4119565217391,0.868217054263562,0.532539682539682,17.3991725302337,-0.492642951799967,12.0961150252002,0.993326324450326,1.39701817452704,17.6540900407093,-2.79337412429928,11.4191751264547,1.10575854414638,0.65746941511648
"428",2021-05-02,13.9115473441109,-2.75511363636364,10.240625,0.333273703041142,0.40301724137931,17.255782032227,-0.940940886727587,11.8339009951052,0.390885587176985,1.28632783451962,17.1940402201435,-3.16861826092577,11.2720397446069,0.421450208311423,0.538519750146054
"429",2021-05-03,13.7732273838631,-2.92209302325581,10.0227272727273,-0.342427093132645,0.33440366972477,16.7524517751816,-1.36368572047362,11.5401332755365,-0.36725530156524,1.19253954513262,16.934997185213,-3.56670144875615,11.0479825648819,-0.275183398446742,0.429528543164606
"430",2021-05-04,14.265974025974,-2.84970845481049,9.8,-1.01179385530228,0.309633027522936,16.6928305603695,-1.72383580122014,10.896458415012,-1.00386907874099,1.14263622005793,16.4872526606228,-3.92773109243699,10.7660527266161,-0.903011698332341,0.321542228937639
"431",2021-05-05,13.7742382271468,-3.26185410334346,9.21923076923077,-1.89293304994687,0.268691588785046,16.5319258905852,-2.12513334823852,10.6222233131244,-1.60943224905665,1.00602366050434,16.2064463211027,-4.27428241075301,10.5106792180885,-1.49372719052143,0.21639329354931
"432",2021-05-06,14.0799120234604,-3.44988262910798,9.4164402173913,-2.35127635960045,0.192821782178218,16.3745526174167,-2.51104773820853,10.6961867238893,-2.36075645208421,0.935038923739723,15.9686357140147,-4.57247231248758,10.2173350115177,-1.96050115405242,0.144265460030172
"433",2021-05-07,14.4566563467492,-3.5206279809221,9.58284023668639,-3.0356890459364,0.124468085106383,16.078156236625,-2.75141563048353,10.5602641820087,-2.97440323723019,0.799943154133527,15.7744305866277,-4.81731753773095,9.98557760453581,-2.48122860704973,0.0795656894679755
"434",2021-05-08,14.5629449838188,-3.84328358208955,9.85253378378378,-3.539039408867,0.0707865168539323,15.4730528190509,-3.1963328560842,10.6534292122452,-3.50215616306599,0.684060612965728,15.717081627739,-5.08266979086523,9.80046044988913,-2.94063348416287,0.0205977011494312
"435",2021-05-09,13.7367109634551,-4.41,10.2510638297872,-3.96985769728331,0.0406976744186044,15.3393232137112,-3.61484702652143,10.3120396410875,-4.14843025064969,0.58951232557011,15.435078603587,-5.25477020942036,9.7516588739256,-3.38024922331089,-0.0289505428226717
"436",2021-05-10,13.433110367893,-4.83676470588235,10.3983208955224,-4.43818119891008,-0.0108024691358029,14.9890905090485,-3.784581318105,10.1306093632794,-4.5261660813282,0.53622111788516,14.9438427260812,-5.43096032831739,9.60587938953921,-3.80694508619155,-0.0754309511415125
"437",2021-05-11,13.6258445945946,-4.70166666666667,10.1279069767442,-4.78082975679542,-0.127816901408451,15.1683263263517,-3.80377304953359,9.64209735952948,-4.8616600790514,0.412807463952525,14.958246828143,-5.53563926516981,9.48585411764708,-4.09614122916801,-0.113534067980748
"438",2021-05-12,13.6240072202166,-4.68177966101695,10.041796875,-4.85762463343109,-0.2109375,15.0109406044128,-3.99462866406165,9.57911335698671,-4.99777017248555,0.342489631544171,14.6682070991021,-5.72456707137358,9.36177261936167,-4.34034431814753,-0.1638777522182
"439",2021-05-13,13.8487084870849,-4.75,10.0487603305785,-5.17225609756098,-0.275,14.7943927101235,-4.246084621164,9.70173945688901,-5.42701434699777,0.266544697495447,14.6261279319935,-5.88736861515768,9.39055279943305,-4.6310004293688,-0.207404336183807
"440",2021-05-14,14.9777108433735,-4.93290960451977,10.0834051724138,-5.49968701095462,-0.263135593220339,14.4032735025101,-4.49643306394637,9.54641458687656,-5.73300242138883,0.229973910522775,14.3656039571189,-6.13035596900462,9.2380966465782,-4.77218190082049,-0.230351506456235
"441",2021-05-15,14.695150862069,-4.6420664206642,9.5375,-5.51323763955343,-0.319090909090909,13.9969819055697,-4.60946352102561,9.23563170704725,-5.96472278478823,0.170208376315266,14.5473921056673,-6.22155080213905,9.20670123839011,-5.01528837075651,-0.277512933512161
"442",2021-05-16,14.582974137931,-4.7486033519553,9.64103773584906,-5.76237623762376,-0.352,13.4423984616281,-4.78807467996251,9.32527645002497,-6.28451814093383,0.156662040249845,14.1181805607698,-6.37485480268058,9.07986338797816,-5.29938576349022,-0.340033257119096
"443",2021-05-17,14.9466960352423,-4.81749530956848,9.42315789473684,-6.16047700170358,-0.550000000000001,13.3494242591933,-4.99149747260037,9.22657138216664,-6.57431911188828,0.0744853111265508,13.9062894818172,-6.4339774263527,9.00632630410657,-5.51682119205296,-0.386165413533829
"444",2021-05-18,14.786301369863,-5.11127167630057,9.58076923076923,-6.16993006993007,-0.5775,13.6605401619053,-5.08388396186531,9.40884075980828,-6.74472561158864,0.0634174985320204,13.8427793641728,-6.59802739726029,8.75520644151199,-5.69613556798338,-0.439891111374121
"445",2021-05-19,14.7334090909091,-4.99565217391304,9.17307692307692,-6.35379858657244,-0.607894736842106,13.6626563567941,-5.09841034978069,9.08440567066522,-7.13480690483877,0.0348383953224135,13.7493164701491,-6.87682370553013,8.67555555555558,-5.92456371944583,-0.488186806175826
"446",2021-05-20,14.1330275229358,-5.06828358208955,8.83421052631579,-6.71268315018315,-0.705882352941177,13.5627380253334,-5.30873403953002,8.75954198473283,-7.28836226655772,-0.0187491629837793,13.8155953922704,-6.89622855101427,8.49170069346784,-6.13250830657284,-0.513517185165053
"447",2021-05-21,13.8802083333333,-5.40546421663443,9.2125,-6.96379151291513,-0.670588235294118,13.7303470130961,-5.49292799777353,8.91603053435115,-7.39594171893488,-0.0729594832648089,13.6787907716786,-7.02377675598543,8.39001734476438,-6.28081578698893,-0.531386861313863
"448",2021-05-22,12.3939692982456,-5.53180473372781,9.14606741573034,-6.937895716946,-0.635294117647059,13.656752719124,-5.90963315511326,8.79057581754783,-7.64719368048577,-0.100216628842565,13.7275096520467,-7.06405432687897,8.54202459986621,-6.35128843826528,-0.563459129106182
"449",2021-05-23,12.3939692982456,-5.53180473372781,9.14606741573034,-6.937895716946,-0.635294117647059,13.5988870833648,-5.83115877760062,8.60565760178118,-7.84673386035375,-0.140225688682358,13.6454732731267,-7.14763588979897,8.31167356345924,-6.49140601874689,-0.588859677949386
"450",2021-05-24,12.3939692982456,-5.53180473372781,9.14606741573034,-6.937895716946,-0.635294117647059,13.3932782284713,-5.8214296751862,8.45380434782609,-8.05195080576761,-0.15674300254451,13.5922614379085,-7.26918724741807,8.24319142021451,-6.60085593518842,-0.662330882352935
