"","date","mod JHH","mod SH","mod BMC","mod HCGH","mod SMH","pess JHH","pess SH","pess BMC","pess HCGH","pess SMH","cat JHH","cat SH","cat BMC","cat HCGH","cat SMH"
"292",2020-12-17,100,102,61.975,129.575,30.5,151.213740458015,172.175572519084,88.3587786259542,219.473282442748,50.3053435114504,172.150588235294,203.058823529412,98.8682352941177,260.776470588235,57.4517647058824
"293",2020-12-18,103,104.925,64.1,134.825,31.6,156.984732824427,179.664122137405,91.7480916030535,229.87786259542,52.2824427480916,179.818823529412,213.294117647059,103.002352941177,274.482352941176,60.3694117647059
"294",2020-12-19,105.925,108.375,65.775,139.925,32.875,162.427480916031,187.198473282443,94.6335877862596,240.526717557252,54.4122137404581,187.451764705882,223.745882352941,107.390588235294,288.416470588235,63.4611764705882
"295",2020-12-20,109,112.65,68.05,145.725,33.95,167.732824427481,194.725190839695,98.2824427480916,250.358778625954,56.6488549618321,195.051764705882,234.705882352941,112.110588235294,302.501176470588,66.4964705882353
"296",2020-12-21,113.175,117.2,70.425,151.425,34.475,173.93893129771,203.229007633588,101.809160305344,261.335877862595,59.206106870229,203.030588235294,245.289411764706,116.894117647059,316.92,69.76
"297",2020-12-22,117.125,123.375,72.775,159.25,36.475,180.290076335878,210.977099236641,105.251908396947,273.229007633588,61.5419847328245,211.169411764706,256.270588235294,121.962352941177,331.863529411765,72.9458823529412
"298",2020-12-23,122.075,129.625,74.675,166.15,37.925,186.213740458015,219.75572519084,109.30534351145,285.679389312977,64.2900763358779,219.912941176471,267.649411764706,126.88,347.477647058824,76.5270588235294
"299",2020-12-24,126.05,135.2,76.45,173.075,39.875,192.152671755725,228.022900763359,113.412213740458,297.81679389313,66.9083969465649,228.555294117647,278.743529411765,132.124705882353,363.117647058824,80.2658823529412
"300",2020-12-25,131.05,141.725,78.825,180.25,41.35,198.81679389313,236.442748091603,118.091603053435,311.091603053435,69.9312977099237,237.592941176471,290.303529411765,137.117647058824,379.536470588235,83.6141176470588
"301",2020-12-26,135.3,148.025,82.225,189.45,42.875,205.465648854962,245.625954198473,121.885496183206,324.30534351145,72.7786259541985,246.602352941176,302.656470588235,142.654117647059,396.472941176471,87.0588235294118
"302",2020-12-27,140.75,153.725,84.4,196.175,44.275,212.641221374046,254.732824427481,126.442748091603,338.541984732824,75.8778625954199,256.64,315.844705882353,148.294117647059,414.901176470588,91.0376470588235
"303",2020-12-28,146.025,160.625,86.875,204.85,46.7,220.259541984733,265.320610687023,130.587786259542,351.389312977099,78.3587786259542,266.752941176471,328.724705882353,154.644705882353,433.604705882353,95.1694117647059
"304",2020-12-29,149.675,166.025,89.375,212.5,48.525,227.687022900763,275.152671755725,134.488549618321,365.87786259542,81.7480916030535,277.004705882353,342.865882352941,161.12,452.689411764706,99.364705882353
"305",2020-12-30,153.75,171.15,91.55,220.825,49.5,235.435114503817,285.763358778626,139.221374045802,380.488549618321,84.6946564885497,287.924705882353,356.223529411765,167.717647058824,472.449411764706,103.802352941176
"306",2020-12-31,158.3,177.4,95.25,229.15,51.25,243.748091603053,295.832061068702,143.656488549618,393.496183206107,88,299.555294117647,370.524705882353,174.430588235294,491.992941176471,108.103529411765
"307",2021-01-01,164.025,182.95,98.5,238.225,52.85,250.480916030534,305.206106870229,148.549618320611,407.69465648855,90.5419847328245,310.395294117647,384.197647058824,180.912941176471,512.207058823529,112.218823529412
"308",2021-01-02,168.175,188.6,100.925,245.1,54.975,257.664122137405,314.725190839695,152.656488549618,420.435114503817,93.175572519084,321.915294117647,398.207058823529,187.748235294118,532.397647058824,116.992941176471
"309",2021-01-03,170.9,192.675,103.725,251.525,56.325,266.007633587786,323.832061068702,157.038167938931,434.358778625954,96.1908396946565,333.044705882353,411.868235294118,194.964705882353,552.496470588235,121.527058823529
"310",2021-01-04,173.875,197.575,105.05,258.35,56.95,273.351145038168,332.946564885496,161.160305343511,447.114503816794,99.4045801526718,344.072941176471,425.385882352941,201.96,572.225882352941,125.632941176471
"311",2021-01-05,178.125,203.1,107.25,263.125,58.425,280.977099236641,341.549618320611,166.175572519084,461.328244274809,102.450381679389,355.251764705882,438.922352941176,208.644705882353,592.745882352941,129.868235294118
"312",2021-01-06,182.475,205.35,109.9,270.9,60.625,288.106870229008,351.030534351145,170.221374045802,476.076335877863,105.022900763359,366.512941176471,451.738823529412,215.670588235294,613.847058823529,134.037647058824
"313",2021-01-07,184.95,209.325,111.125,276.4,61.75,294.824427480916,360.572519083969,174.778625954198,488.717557251908,108.106870229008,377.265882352941,464.051764705882,222.378823529412,633.404705882353,138.171764705882
"314",2021-01-08,189.625,214.1,112.9,280.5,63.175,300.648854961832,368.679389312977,179.015267175573,501.511450381679,110.961832061069,387.364705882353,475.865882352941,229.404705882353,653.644705882353,142.247058823529
"315",2021-01-09,193.925,218.95,114.025,286.625,65.1,307.977099236641,375.748091603053,182.763358778626,513.603053435114,113.022900763359,397.997647058824,487.216470588235,235.917647058824,672.016470588235,146.051764705882
"316",2021-01-10,197.675,222.9,115.4,291.95,67.4,314.610687022901,383.656488549618,187.488549618321,524.099236641221,115.977099236641,408.830588235294,498.623529411765,242.155294117647,690.592941176471,149.571764705882
"317",2021-01-11,199.95,227.9,119.075,300.8,69.55,320.961832061069,390.603053435115,191.213740458015,534.63358778626,118.351145038168,418.129411764706,509.101176470588,248.08,708.178823529412,153.247058823529
"318",2021-01-12,201.975,232.975,120.8,306.45,71.725,326.450381679389,397.206106870229,196.106870229008,545.549618320611,120.656488549618,427.943529411765,517.912941176471,254.242352941177,723.981176470588,156.863529411765
"319",2021-01-13,204.8,236.625,122.65,311.75,72.275,332.145038167939,402.206106870229,200.458015267176,555.419847328244,122.480916030534,435.877647058824,526.510588235294,259.894117647059,739.127058823529,160.324705882353
"320",2021-01-14,207.175,240.325,125.075,316.35,72.575,338.885496183206,406.725190839695,204.12213740458,565.435114503817,124.473282442748,444.456470588235,535.044705882353,265.2,754.263529411765,163.423529411765
"321",2021-01-15,209.525,245,127.25,323,73.825,343.160305343511,412.36641221374,207.786259541985,575.038167938931,126.290076335878,451.96,542.882352941176,269.962352941177,767.541176470588,166.378823529412
"322",2021-01-16,210.675,248.35,130.175,328.675,74.65,348.908396946565,416.893129770992,210.206106870229,584.854961832061,128.099236641221,460.002352941176,549.964705882353,274.825882352941,780.312941176471,169.272941176471
"323",2021-01-17,213.85,251.775,132.175,334.5,75.7,353.824427480916,420.63358778626,213.18320610687,592.458015267176,130.18320610687,466.468235294118,557.131764705882,278.465882352941,791.898823529412,171.324705882353
"324",2021-01-18,216.8,256.125,133.725,343.3,76.075,357.793893129771,425.63358778626,216.656488549618,601.687022900763,131.923664122137,472.981176470588,563.922352941176,283.124705882353,803.884705882353,173.767058823529
"325",2021-01-19,218.675,258.15,136.725,349.425,77.025,361.862595419847,429.587786259542,219.809160305344,610.458015267176,133.297709923664,479.665882352941,569.96,287.32,815.969411764706,176.275294117647
"326",2021-01-20,221.15,258.1,137.425,352.475,77.55,366.580152671756,433.404580152672,223.335877862595,617.847328244275,134.572519083969,486.752941176471,575.583529411765,291.863529411765,827.32,178.322352941176
"327",2021-01-21,223.6,258.55,138.25,355.9,77.35,370.374045801527,435.839694656489,226.671755725191,624.809160305344,135.69465648855,493.362352941176,581.388235294118,296.244705882353,838.087058823529,180.044705882353
