"","date","mod JHH","mod SH","mod BMC","mod HCGH","mod SMH","pess JHH","pess SH","pess BMC","pess HCGH","pess SMH","cat JHH","cat SH","cat BMC","cat HCGH","cat SMH"
"332",2021-01-26,4.58911756223351,5.56417109729742,3.34654672759847,8.27643492090647,2.7557893606007,7.51430467708254,8.99064901497049,4.56266381127484,11.3074746330369,4.37542442604018,12.5608026543609,14.9067642619465,8.17746959618559,20.4577357895056,5.60926075596185
"333",2021-01-27,5.66209987548789,6.07844552496771,3.97484276418577,8.17480886626715,2.25333086784875,8.09074602979773,8.67616273352268,4.4363165324627,10.6305761203714,3.56842265304375,12.0616997430728,15.3006205179821,7.98183543339583,20.8192782633031,5.72276991514862
"334",2021-01-28,5.38928334753333,4.71593044902064,3.47850542618522,8.31981820714852,2.79105714739057,7.02578765755689,9.11108276482469,4.83385155496402,10.3176403874215,4.11823394485354,11.8205601188138,14.5510912324596,7.89864024038688,21.0312371400291,5.82423239963712
"335",2021-01-29,4.40908153700972,5.02238738051935,3.57456291034303,7.65506368360186,2.71465927880462,7.47259234702563,8.06123496243071,4.86183439824763,10.6322259283666,3.95138276949194,12.1285100366592,15.0500389818898,8.14170348515214,20.1335815806934,5.62023334367624
"336",2021-01-30,4.62898476990365,4.27134346546845,3.33831918785487,7.24758580494222,2.28910462845192,6.61820174752609,10.1243075057368,4.69201812538299,11.4962795125879,3.81670228897707,12.2768285976153,14.6865405038872,8.10418320789505,20.1047631258371,5.53246273775402
"337",2021-01-31,4.56337320411119,4.27083130081253,3.25230687358988,7.3348483283569,2.09702169755108,6.98002177086024,9.85220306582628,5.48235112726655,10.9352630446994,4.34610663157044,11.489149386844,15.2803329734187,7.33922824827494,20.5867016571647,5.2222552765075
"338",2021-02-01,4.82953155078213,5.08895863610621,3.45362128786583,6.8442950696182,2.55428561441355,6.9051529644789,9.80031977539598,4.44240705912831,11.1954730418474,4.30147083689328,11.4498454984212,14.4959498459989,7.82580382684949,20.1727506774905,5.31777719778288
"339",2021-02-02,4.31595875791231,4.71957360362141,3.31624787975809,6.3284575529903,2.47979333816349,8.36321468958314,11.6754970314158,5.09724786376216,12.7719664900454,4.2333871004537,11.9941623632435,14.0955525146069,7.88550103947736,19.726510713086,5.49236954177256
"340",2021-02-03,4.30689853606978,5.88424804031917,3.55105618091294,6.11473629848418,2.05775970414429,7.60752803734534,10.0511076731154,5.04533378899389,11.8061721202947,4.05801124647271,11.7169605279629,14.4440878340033,7.84378130688964,20.5386298535948,5.51323993064622
"341",2021-02-04,4.82020487116471,4.99099188538711,3.20585402038209,6.35590276829342,2.04190474802328,7.5025625441797,10.4093367563905,4.67272853215355,12.5220160409285,3.88194771903889,11.1938727678696,14.2620136210127,7.6634633095092,20.0285534583309,5.41004780949651
"342",2021-02-05,4.85225463058154,4.42690636901211,2.83504850046697,6.25619692784682,2.3418742493994,7.84032271133887,10.4153193192694,4.70796227733913,13.7771858586417,3.91189907503865,11.5613468881663,14.2794174713746,7.33679507262648,19.4084560460116,5.30821443466907
"343",2021-02-06,3.19804627858948,4.17013189239861,3.18109650906727,5.43576121624193,1.85674446276271,8.0230496568864,9.93710188250094,5.6473177194481,13.0968386922399,3.83493399195934,11.632828859157,14.3863930329416,7.39751608924627,19.0928967751475,5.37424126776536
"344",2021-02-07,3.85673112881881,5.75624660694797,2.9,6.19495762697373,2.40624188310319,8.12365106712807,10.9352523871248,6.06161668067226,12.8098745126566,4.07062813365239,11.7220601186654,14.2927249866235,7.65248676138796,19.2442100581252,5.02663025939902
"345",2021-02-08,3.94683417437318,4.40198818717179,2.14461535012692,6.33146902385221,2.58843582110896,7.80565612767269,10.764230379955,5.31568545516788,12.8509721646949,4.20971430621429,11.5953179908081,14.315294117647,7.78930648400293,19.5325701202307,5.18403404662236
"346",2021-02-09,3.81280736465927,5.34409721094218,2.21979728804231,5.84588530506715,2.05411173016465,7.94241702689579,10.7408513521405,5.33577411468557,14.7238314522171,4.09016438191138,11.6542523240161,14.3623683601798,7.69704927060029,19.4651521112167,5.09831371809994
"347",2021-02-10,3.93033077488397,5.31413210223457,2.97447474354717,5.76926121786837,2.29945645751338,8.60491929616239,11.2218725547471,5.05127833867119,14.2090660642191,4.45759696876816,11.3889100432095,13.9044541916172,7.70163331439134,19.3536547696082,5.41402305820177
"348",2021-02-11,3.62551720448269,4.84355241532493,3.12239891749917,5.97029103143222,2.37644692766323,8.47299359936816,11.3477897678204,5.51433601056679,14.2555897885391,3.9814411252647,11.4765911291044,14.1890730413099,7.35515863034297,20.3406374235383,5.21127338010726
"349",2021-02-12,4.44402689010766,6.05263372425591,2.91719042916296,6.65164453349696,2.49386747843585,8.23333314066724,10.2375263605115,5.20775197307033,14.9728849966613,4.14524200643132,11.8592670318562,14.2641030800468,7.92925466767054,20.5627144008132,5.16952260985875
"350",2021-02-13,3.13837139293615,5.35350352572967,3.02396676569039,6.12596931105601,2.46462471788303,8.90159476561637,10.9515037779275,5.10481022818335,14.5131307980548,4.21086305119493,12.3027880487159,14.8015571985427,7.77252939195401,20.0257486846466,5.40297188501952
"351",2021-02-14,4.26314144733669,5.53534100123922,3.44637490705814,5.09601560044708,2.46969127625297,8.70076322483254,10.7971371870154,5.52733959638906,14.5030413613523,3.90118908359386,11.8959326013872,14.6038637348532,7.51955089581423,20.3640464772435,5.30452519489281
"352",2021-02-15,4.29469149066612,5.59016994374947,3.07560969565386,5.88111384008166,1.83694719575713,8.57948029203773,11.1216737212571,5.61822726440874,15.276691690763,4.21332556868862,12.0454962221884,14.1817747460639,7.49544027482674,20.9831653069211,5.31501548627821
"353",2021-02-16,3.99249295553543,5.43547376040028,3.29535658161602,6.03324125159934,2.37907545067406,8.81900438236294,10.8012974377522,5.530143175204,14.5618565512752,4.27689425702256,11.7898399753177,14.9425196246672,7.35900324226883,20.8839795224005,5.25170777957762
"354",2021-02-17,4.49193722128883,5.49340513707118,2.97058495922941,6.46896436842869,2.81558164506022,8.62947303758891,10.9963627171625,5.50787560370332,13.8403409490237,4.18688198667593,11.9770289942628,14.4393284548962,7.83016472271018,20.1323298328403,5.087442984896
"355",2021-02-18,3.48962748728285,6.21444888948328,2.58650343127551,7.12320152740325,1.93390796058137,8.49684503228069,11.1623623588581,5.7588526947549,15.0773156508382,3.78795209645243,11.9869031182696,14.5972939616718,7.82820170080665,20.6459501629615,4.90616390784668
"356",2021-02-19,4.48824854481122,4.64320740437039,3.48200732336967,6.27569717242634,2.88866318562757,7.96013756092999,10.2169519934109,5.16547462302489,14.9635300485318,4.39719836005075,11.7783365742683,13.9883261264552,7.38391181104013,20.9988862449753,5.30218157099176
"357",2021-02-20,4.45421149026402,6.83355690691166,3.31323105140586,6.04974173002451,1.92093727122985,8.22718046816775,10.4968799213597,5.18215483610931,14.4092942443414,3.74150164596384,11.6913889584834,14.4719704743951,7.52030184184036,19.8816308953472,4.9496565886959
"358",2021-02-21,4.8897213622046,6.0778285596091,2.33238075793812,7.04609821106689,2.43104915622864,7.67963971485585,10.4963303251313,4.84465274482454,14.9816156787078,3.89869382366454,11.8260668041138,13.9302535516709,7.48398206459989,20.1607236097961,5.00908296105452
"359",2021-02-22,3.91271964239709,6.55319578526386,3.14791597727767,7.04623126217129,2.23480983531038,8.34303302791551,9.8060974812562,5.1128742989171,14.5541793352495,4.26470998973488,11.2530321327156,13.4832673953304,7.32054037750528,20.0576133497283,4.89594083687709
"360",2021-02-23,3.86320786393898,5.46986060151445,2.64149578837446,7.00553352714838,1.99749843554382,7.61320944057966,9.67634262258912,5.03930128358321,13.8217611584796,3.29344861798577,11.2181972782177,13.6969218879335,7.17876761695695,20.3790108455976,4.88526121744066
"361",2021-02-24,4.17612260356422,6.11555394056826,2.66915248721387,7.15821206726931,2.73861278752583,7.78818266925401,10.0879819351215,5.06038359034805,13.2682472182027,3.52197228756266,11.5508717446902,13.4437175613188,7.22158778273907,19.7765197185938,4.64615985347932
"362",2021-02-25,3.49428104193123,6.32356703135185,2.74043792120894,6.6098411478643,2.57827461687075,7.93567167374423,9.65069071337722,4.95967069778355,12.7302155600687,3.70607345839138,10.9484974874105,13.4962252828638,7.3832227282313,19.6824287470851,4.74998510287229
