"","date","mod JHH","mod SH","mod BMC","mod HCGH","mod SMH","pess JHH","pess SH","pess BMC","pess HCGH","pess SMH","cat JHH","cat SH","cat BMC","cat HCGH","cat SMH"
"401",2021-04-05,16.8193341128595,21.9982811828561,10.4240107444304,30.7278273719441,7.70677461717936,27.0956453915421,31.0237610327318,17.0535547092378,49.5058337385675,9.79173014021244,31.9535346042096,36.6245687575731,20.8796855297217,59.3056938279557,11.1714078936032
"402",2021-04-06,15.9856185366723,21.8263602096181,10.0732008319104,29.0647552888374,7.42967024840268,26.4722390771441,29.9006513005401,16.4206191861341,48.283967631232,9.50188214159982,30.4620032421128,35.1169588266386,19.9315098555304,57.397110183697,10.6871070012124
"403",2021-04-07,15.5399485198633,21.1694945617509,9.84984136928103,27.6772018094315,7.03806614063835,26.3061454025299,29.3116690229767,15.9561377980529,47.6420965193584,9.03504046364541,29.0871796870258,33.9122053131929,19.1157108883809,54.7616850875977,10.2571466519421
"404",2021-04-08,14.4360659460949,19.9160582194369,8.94842863300591,26.5468924735081,6.80987334683986,25.3822361185571,28.4204901170457,15.6231589440392,46.241828921782,8.6395353465346,27.8071460283542,32.3027789949386,18.2972464129873,52.6483596815953,9.79156447908591
"405",2021-04-09,13.7075709007833,19.0203673728979,8.61361567519703,26.232422686439,6.44937012428346,24.2486488257295,27.5404084618588,15.2031405181722,44.4197049935473,8.54969329301916,26.6854651157312,30.7753529208821,17.5971095456004,50.5081836666202,9.23213883903684
"406",2021-04-10,13.0841268336867,18.6278689065604,7.91770168672703,25.3297749693913,5.83759368233179,23.3796718415026,26.6159507435679,14.7049611930723,42.3655635703464,8.09436075720796,25.6300392530079,29.5371064734433,16.9996865430088,48.4833075258951,8.67511255573501
"407",2021-04-11,12.4929730248648,17.9223324374926,7.49228770136332,24.0609122852813,5.45687639588804,22.7493672473928,25.4674702334351,14.3057630674868,40.9298099732187,7.81476595831737,24.4130538568184,28.1908204647809,16.2500860152102,46.6620701905056,8.32660504389955
"408",2021-04-12,12.0426066530465,17.629237079352,6.83259650498989,22.9400168918857,5.02984840725841,21.7258050585605,24.8650058479936,13.949249126446,39.8629389444356,7.46428280169778,23.5361559746336,27.0378943100184,15.6576463074523,44.4377266695439,8.04077704589118
"409",2021-04-13,11.2531939910409,17.0821544308673,6.48286202228614,22.390790517532,5.04671923134228,20.9613594738319,23.817978048464,13.3285109667887,38.6403979873729,6.95022971860825,22.1471760328123,25.5630966711524,14.9326237679504,42.5095316972689,7.6672291454062
"410",2021-04-14,11.1006475036369,16.6484045782171,6.23453085644782,21.3690050072529,4.89329898943443,20.084011535929,23.0762058312603,12.7568557888359,36.9122103858153,6.56350953093119,21.0958596439597,24.4462915579082,14.2260804407216,40.5676810700938,7.34113272988478
"411",2021-04-15,10.2095237401164,15.9083115068822,5.98826978350174,20.0933913265034,4.66576628218774,18.9389112983763,22.1304437595389,12.301147163938,35.1979079189283,6.27499488961955,20.0011695159788,23.1462261902715,13.5736557383708,38.7348220079318,6.94940051184622
"412",2021-04-16,9.9094651722482,15.3417526704089,5.85234995535981,19.7103874898491,4.45982062419555,17.9658041370676,21.2582961795957,11.7031490101711,33.2171816225331,5.93568270027549,18.8604661131935,21.7736637845374,12.8795890669257,37.0441689045252,6.60446153071744
"413",2021-04-17,9.55245387322022,14.4775688566831,5.62049819855856,18.8426212348495,4.10784310800693,16.8009561830222,20.2693074021484,11.0803308224326,31.4190646717409,5.61763603529295,18.0327907398858,20.5954966690532,12.2817836243984,35.0136964995208,6.28877662337319
"414",2021-04-18,8.97827238392777,13.5144367252209,5.54323912527685,18.0775931749777,3.81108580328494,15.9011536454431,19.3616289711754,10.8283189421799,29.5807288788991,5.46016612720761,17.2615539762427,19.3643770967728,11.5970014021941,33.2536993493239,6.03111929910195
"415",2021-04-19,8.46282311052287,12.8040764993029,5.12341438886218,17.7239950349801,3.5134562755213,14.9059440687237,18.4931096676668,10.3220503535374,28.445339623715,5.24160181665256,16.4438024210425,18.405685897472,11.120628296208,31.8191167974793,5.59130021214061
"416",2021-04-20,8.19447222217514,12.4609138910435,4.89636344647739,16.8913994387676,3.25336364398448,14.1222983279463,17.4928989896822,9.81960711414825,27.1070690756087,4.96883827139332,15.4178254809345,17.349929948105,10.4086299036227,29.9143308286737,5.30493326584015
"417",2021-04-21,8.08146026408594,11.369888961639,4.57977892479539,15.9856185366723,2.89989223937718,13.4448264688923,16.4866658522457,9.37535112875068,25.8648642172922,4.82568347743776,14.6711842890377,16.4838427340313,9.81493812413624,28.0321614600902,4.86791628898236
"418",2021-04-22,7.71520414506317,10.670022258646,4.50555213042752,15.7431731236114,2.81780056072107,12.8340431054387,15.4530516957944,8.48747865175483,24.7042715215087,4.73853386229868,13.7003220228362,15.5966203419191,9.35706575721123,26.4668546386545,4.60614904193729
"419",2021-04-23,7.57524752070848,9.67984374873892,4.47660585711988,14.7918685432233,2.62094925551793,12.2839110229287,14.6035741697955,7.97351539349606,23.2982101534044,4.40571115435361,12.7958591918146,14.6772211997138,8.84133607151158,24.7933916856947,4.40952476470186
"420",2021-04-24,7.43803569499367,8.8621385680884,4.31248188401992,14.122123600932,2.43721152139079,11.9031011908379,14.0488131520737,7.54778495634431,21.7578357085309,4.06266111234901,12.0829231780208,13.6345508603192,8.24703901986377,22.9689923675512,4.08050882233269
"421",2021-04-25,6.63584018794907,8.23312668431623,4.00468475663191,13.2681715017556,2.36378933071456,11.1254193107254,13.2248994823771,7.16973125897838,20.7077668452001,3.84601031588857,11.1441628397078,13.0052531308137,7.66196700647455,21.5878058620536,3.78672677308242
"422",2021-04-26,6.43773057839484,7.97355002492616,3.72122291726792,12.5103956771958,2.24039617032345,10.521083579983,12.4375018209893,6.64201100859756,19.4415806900687,3.47543763350203,10.8092115016405,11.9926953546112,7.23841960230964,20.3370279850925,3.56701070897242
"423",2021-04-27,5.94301060069726,7.37389822278556,3.6592348927064,12.0776394630739,2.17715410570772,10.0999376606677,11.6798632843008,6.51468468040114,18.5978326064798,3.40283390673397,10.2267561414395,11.3882537676078,6.96594424602683,18.9858524636537,3.28819972620983
"424",2021-04-28,5.92531644724567,7.10347626166231,3.47994252826106,11.1180034178804,2.06745616640353,9.15161165065697,11.1748060054988,6.13143912734938,17.283100222166,3.23867500555714,9.42140506274947,10.6344783653833,6.585799549739,18.0320658635653,3.09431357017808
"425",2021-04-29,5.44495179042019,6.64826105083126,3.15238005322962,10.4742541500577,2.09388992069784,8.62722411782929,10.3777215176731,5.77165875226843,16.4659974411639,3.10665453046467,9.03443807219225,10.0627512111607,6.1495574994829,17.1266895057278,2.89402199746292
"426",2021-04-30,4.87538460021361,5.80603134679791,2.94915242061173,9.3936148526539,2.17715410570772,8.09806741637741,9.74543413058478,5.70409344344374,15.3449317636651,2.94761283425472,8.56394502114881,9.41168117609992,5.82769904203774,16.2865982224926,2.68619539027608
"427",2021-05-01,4.54312667664022,5.37680202350803,2.93087017795057,8.98554394569411,2.01230589126007,7.55762972299473,9.1625887739237,5.48374334357593,14.6330760840264,2.85381860606566,8.09832790635775,8.96790123692025,5.47781382402298,15.2305876900428,2.5229257470761
"428",2021-05-02,3.8636122993903,4.91623585683193,2.66352679731216,8.56212590423663,1.87999335105207,7.31446701104947,8.60183752930741,5.24543583045812,13.7162254511583,2.6872180706358,7.62081433133392,8.40248570900097,5.09571011652896,14.3463348344931,2.33508044658884
"429",2021-05-03,3.61031508320257,4.52486187634496,2.40507276397202,7.91833315793166,1.76847391838274,6.91278591972583,7.98009001971793,5.01868776191367,12.8165870253232,2.59483603671906,7.23536107094799,8.09063673440886,4.76814690561173,13.4328618381427,2.18346855898977
"430",2021-05-04,3.53411940941446,4.25176433965948,2.14417816423916,7.60575440045233,1.52888848514207,6.74107610870221,7.93012576842927,4.5779383960517,12.0979386208639,2.5336612691137,6.90312842173172,7.74421538777934,4.48159635424175,12.6182678580312,1.93649203047238
"431",2021-05-05,3.09636884107821,3.84675187658367,1.93891077669912,7.18048570780557,1.52561463023924,6.35043852500138,7.30576226993814,4.27171371024086,11.3625178528945,2.38898371020976,6.58340831575128,7.34130693700056,4.24678180618484,11.8039430395219,1.83649432851973
"432",2021-05-06,2.90592068026641,3.81042976578758,1.87599973347546,6.78435700711571,1.49143387382746,6.02717076937819,6.98439493613964,4.07707915572519,10.9769081298592,2.34638161263366,6.3738505578854,6.9341443940481,4.02869568562031,11.0931971422746,1.69501610162709
"433",2021-05-07,2.91708330357568,3.57692255996688,1.79565447678555,6.36219301813455,1.50810311318557,5.78061720106253,6.61023745452268,3.90202546021304,10.1943128141191,2.11993955053433,5.99765859736273,6.57072210090609,3.82774428320099,10.405672129024,1.6452696164236
"434",2021-05-08,2.80613167902007,3.30151480384384,1.57935904720871,6.30951662173894,1.41067359796659,5.42859202077401,6.29486403428906,3.68359963091743,9.71248585908088,2.11578487938816,5.7280157738856,6.36625011167712,3.68531435138335,9.81145041110386,1.60422625228242
"435",2021-05-09,2.60756112104779,2.99624765331573,1.44719556384063,5.86323289661941,1.18717100705838,5.11782961253047,5.946099404608,3.44810098236594,9.21602645610613,1.93766863978077,5.32009313860765,6.04213853385403,3.44020599689003,9.27947498813179,1.52315462117278
"436",2021-05-10,2.35252523897194,2.94575966433109,1.42280532751322,5.68853012649138,1.18717100705838,4.83861090281038,5.61217719214939,3.17033846400376,8.68384277508212,1.91525485348006,5.0251321317132,5.81215716702983,3.30095928177413,8.6418792009937,1.44172906572696
