"","date","opt JHH","opt SH","opt BMC","opt HCGH","opt SMH","mod JHH","mod SH","mod BMC","mod HCGH","mod SMH","pess JHH","pess SH","pess BMC","pess HCGH","pess SMH","cat JHH","cat SH","cat BMC","cat HCGH","cat SMH"
"400",2021-04-04,34.5800867552411,49.7040682439577,21.6520206909194,64.7991851800623,15.8126531613136,47.5641240472822,61.7377012392794,28.5742635791162,86.9580355531306,19.3013116251601,82.8569271699485,105.185063574667,53.3652551808528,150.146188623242,33.1014281286228,61.2213000696236,69.1359251597428,39.5308785458796,110.961254207949,22.1363997900917
"401",2021-04-05,34.6738172112619,48.2683167305428,21.1097039297097,64.5502130128166,15.582040944626,47.0127410108757,59.8964710556361,27.9788016055645,85.4628842264729,19.0683638282676,81.3853726361273,102.694850773695,52.4670913539114,147.462024675576,32.4330549432943,58.6080347147164,66.1215734383959,37.6723527815597,106.472374336974,21.043491852089
"402",2021-04-06,34.9138138850513,48.1488566842454,21.0212178524461,63.6895627242015,15.6172852954667,46.1690172878836,58.7827738336157,27.3897925944442,83.4969107623768,18.4493301799443,79.488589383537,100.181642204324,51.2985872186391,144.391801016398,31.6708185962689,56.2828837828197,63.5215891695666,36.1267633083847,102.076549678352,19.8200821191964
"403",2021-04-07,35.578285512374,48.7757972769282,20.7475203337652,64.0630938996861,15.5865198168161,44.6988162914536,57.5434212082835,26.7094177714066,82.2855905644491,18.3875521238259,77.6238269816932,97.4618078492548,49.9360312372554,140.673695800413,30.8643736567127,53.8945879440686,61.2127353703212,34.5338837271372,97.2214123840529,18.8060527885105
"404",2021-04-08,35.507796327004,48.2335982485238,19.8758546986035,64.3581385684825,15.6167090002984,43.8480552981099,55.612709148179,25.921881351799,81.0215859093179,17.9049808795704,75.9349838674315,94.3713076531594,48.6681212911972,137.616906794194,30.2135714488837,51.6473186152865,58.8893059970913,33.0863515870228,92.9848863411687,17.9042555757265
"405",2021-04-09,35.5326385172844,48.3994049550198,20.2205934631009,64.3424463321065,16.0281751924541,42.6281288525232,53.9590053897176,25.6846089296213,78.9884966546189,17.3991521680274,74.6110516175318,91.7980915339485,47.6808233777902,134.043762725121,29.3016992145132,49.4318776406107,56.0722027165276,31.8140859644735,89.1593510522984,17.1646848402266
"406",2021-04-10,35.3490933405653,48.2301316606123,20.5223877753053,64.9036855656133,15.816447135814,41.4378721138568,52.8649758117104,25.3007052196565,77.6642280705734,16.9545645750461,73.3703187706899,88.9692902117886,46.4094958750254,130.664539153166,28.5327524283459,47.1436028579881,53.2941153474279,30.6108157378456,85.1029304290124,16.3842581057375
"407",2021-04-11,34.9068990315668,48.5905381735992,20.1156754795856,63.8308671412194,16.0164415523549,40.3829261115071,51.672478479872,25.2724614993417,75.2889267541028,16.5166567838798,71.7689486028776,86.8800719840499,44.9927622900884,127.774099097073,27.9917050970803,45.2069060823465,50.4233725813507,29.3576234416907,81.760003017866,15.6311321892292
"408",2021-04-12,35.3516958574833,47.6256611502665,20.2690305638923,64.1008580285787,16.2267556831303,39.9960189101668,50.8843437493377,24.569810856033,73.42758312714,15.9579679357544,70.2095230619223,84.297278025746,43.6735118944741,124.30296417469,27.3482464549603,42.8510114413709,47.9473862509157,28.4764199477895,78.1236391529516,14.8219745007096
"409",2021-04-13,34.9653314012609,46.2008484770572,20.5355204462901,64.0553666760249,16.5920583412668,38.5221971572292,49.5630851717368,23.8256749224138,71.141284756826,15.7267660255211,68.5419629605526,81.3295606480996,42.4202825121902,121.538695042178,26.6351491504654,41.0280984749444,45.7540511359625,26.827572022879,74.7574310345622,14.0868402686822
"410",2021-04-14,34.3524322283008,46.0335051891554,20.7798075063269,63.933718803148,16.3353481750467,37.7595250972171,48.654143591979,23.5600885379857,68.4707338145503,15.5656905318438,67.060929925671,78.4359166257031,41.5923274473153,118.829631898831,25.5322555541575,39.3307336829724,43.8987703793207,25.6577815426639,71.4065833950028,13.2982968481857
"411",2021-04-15,34.0052290096685,47.3470632669018,20.5535884944698,63.5254279796681,16.2340506343919,36.8473247852179,46.9667993219597,23.1189836095813,66.5377140741608,15.4985286279186,65.1319033412949,76.5525838059982,40.8626072887442,115.724146602275,24.9414470390319,37.4536443647964,42.3260241503583,24.5493389716358,68.3579679891489,12.5910945180151
"412",2021-04-16,34.4470608325297,47.7053498048175,20.0970545105495,63.6097602573693,16.324509180983,35.6221852039571,45.7033857004196,22.1504853622909,65.4274702571796,15.303515084388,63.1112914312428,74.5862621743382,39.5092017357466,112.870744828068,24.5035324812526,35.6717428532945,40.4623436194612,23.5471734876023,64.7801163965655,12.0861323329337
