"","date","opt JHH","opt SH","opt BMC","opt HCGH","opt SMH","mod JHH","mod SH","mod BMC","mod HCGH","mod SMH","pess JHH","pess SH","pess BMC","pess HCGH","pess SMH","cat JHH","cat SH","cat BMC","cat HCGH","cat SMH"
"361",2021-02-24,3.58753397196459,4.98573966428252,2.72477522008697,6.27375485654325,1.90620040919102,5.44354627355122,6.20412246357404,3.24547138432476,7.99619062210812,3.05253074232132,7.39686433244998,9.56539627690814,5.00974051700013,12.7970503337497,3.57137969984569,12.1322410272796,14.117936049014,8.02254704188095,21.162152955079,5.54582406169592
"362",2021-02-25,3.61861852092756,4.75920161371632,2.80028569970994,5.63971630492173,2.00997512422418,5.33905395930899,6.73172777751317,4.08393020785549,8.37950318780227,3.0668773273537,7.97825556915399,10.2930738569529,4.49586594407974,12.7134051559153,3.92103751473127,11.8549558873218,14.1536226683111,7.72317129282496,20.3205671114296,5.20326083146577
"363",2021-02-26,3.86724708287433,4.18263075109434,2.33957261054236,6.00652978016425,2.14,5.06752649123222,6.62244587158567,3.3199686097368,8.59108884707875,2.9449628518938,7.54409499610606,10.4503154078035,5.06336349972999,12.9043047404228,3.74082148089417,11.7151375351131,14.5833905473961,8.10587280091609,20.5387757088495,5.39809755367169
"364",2021-02-27,3.48648820448313,4.37213906457697,2.70554985169374,6.24960798770611,2.15601484224947,5.77895530303694,6.49391092818265,3.50347422081097,9.02264315916741,2.83284148371218,8.22049357150888,9.95354668773491,5.4075524889006,12.8359160421788,3.95623065893251,12.0041535876085,13.6716652940259,8.484358741728,20.818347240857,5.08626131299864
"365",2021-02-28,4.17593103391328,4.96552112068814,2.81424945589406,6.66240196926003,1.88478115440494,5.09718922400511,7.12575757026156,3.53891449141065,8.40217927061773,3.08085425617424,8.16263156059444,10.2593269746847,5.10309794781326,13.3056087810309,3.71280746404643,11.9205109526986,13.534909357021,7.78126955936027,20.2255083082089,5.02481326972968
"366",2021-03-01,3.53813510199936,4.82248898391691,2.34170877779454,6.23092288509495,2.09914268214431,5.23494036186814,6.44983010078082,3.81160035864305,8.75100360529942,2.94936785450824,7.96142566033443,10.2880576200397,4.99118805502703,13.3636426669167,4.4961119422033,11.6960321411464,13.3907495813014,8.04773833815912,20.0010229319614,4.93808704382474
"367",2021-03-02,3.8314488121336,5.04226139742874,3.39623320754038,5.99666574022598,2,5.59415550774751,7.15103118068561,3.58223491611013,8.14738071827144,2.89383743552564,8.24230920486392,10.3548582223303,5.33023410965206,13.1596246635981,3.97605387349698,11.5029286602774,13.2819221215903,7.48561790576806,19.4440144736104,5.02346151769546
"368",2021-03-03,3.22266970072951,5.33385414123784,2.49030118660374,5.20188427399149,1.96662146840718,5.39922296117939,6.87591934702626,3.81148327595317,8.62282068898259,3.05981851593861,7.84726727881504,11.0112597113227,4.96364618136115,12.9663634203056,4.08514291914708,11.3099814938512,12.9729039583313,7.50097557878497,19.0126482786299,4.58689631955046
"369",2021-03-04,4.21312235758707,4.38,2.25353056336052,6.37495098020369,1.97474048927954,5.43688686030843,6.96808300015045,3.54952557542851,9.55332055932797,3.17586030630117,8.01053586270536,10.7862489590349,5.13981033811355,13.5224191223431,4.17883624188967,10.8924591505548,12.222600829303,7.04031953531683,19.2425448278997,4.60183371946292
"370",2021-03-05,3.79583982802225,5.7290836963689,2.50607262464598,7.30208189491189,1.99689759376889,5.43391620587472,7.1217767904739,4.12001976483011,8.39964394594182,3.11131990873746,8.29904592983278,10.7083923566385,5.37128554586064,12.8101804326465,3.89858763228323,10.5889501804103,11.8915825582367,7.11343736063284,18.9919321438729,4.4457744970894
"371",2021-03-06,4.0708230126106,5.46260011349907,2.55311574355727,6.49950767366267,2.10713075057055,5.57907248011048,6.69468263695586,3.78792973803261,9.17200548473188,2.83231155095127,8.12504296025361,10.4093226401206,5.12916254223444,13.8355662804332,3.735414162845,10.7011351040053,12.113298804284,7.12569366476567,18.2110663578914,4.32976704643978
"372",2021-03-07,3.40376262392077,5.33231656974715,2.71948524540951,6.45876149118389,2.02474689776278,5.29132627972717,7.01321611038487,3.50974487095445,9.46498101172713,2.76060096433501,8.22529625972748,10.6887450436838,5.04079579452875,14.3303076132611,3.88104229217615,10.0948758557222,10.8667774232727,6.68929328706425,17.8139216333528,4.25835857993504
"373",2021-03-08,3.2398148095223,5.6201067605518,2.7367864366808,5.63758813678332,1.98282626571266,5.43535695212057,6.53472143884787,3.75688206447354,9.08233800546887,2.8699056557595,7.96105918933087,10.6029887780044,5.49089783200749,13.8938021307353,3.52911380758547,10.0017304217276,10.6824122800105,6.4040022887607,16.8745524567738,4.25467628763222
"374",2021-03-09,3.23505795929532,4.52057518464188,2.86,6.25664446808351,2.18686990925386,5.27658474256775,6.41172578916472,3.51945267358252,8.61119643044157,2.63620408746177,7.78112270803085,10.7589533475289,5.23717162858945,13.8859547845855,4.02885229408751,9.54113158657465,10.8956027009243,6.61787287291147,16.8969299917763,3.89892615641598
