"","date","opt JHH","opt SH","opt BMC","opt HCGH","opt SMH","mod JHH","mod SH","mod BMC","mod HCGH","mod SMH","pess JHH","pess SH","pess BMC","pess HCGH","pess SMH","cat JHH","cat SH","cat BMC","cat HCGH","cat SMH"
"346",2021-02-09,2.82665880502051,3.42928563989645,1.97167441531304,3.51283361405006,1.01980390271856,11.6258333034669,16.8846083756775,8.18779579618349,17.9979859984388,4.72228758124704,40.6245987634507,48.5245437310571,25.2935848012646,73.7223524704163,17.3289009844204,87.9496690562811,107.259022010898,55.5301947034558,160.727014776013,35.4388640610489
"347",2021-02-10,2.7367864366808,3.3555923471125,1.98683164863055,3.17962261911693,1.113552872566,11.9457105272144,16.749552232821,8.28492607088319,17.3939644704708,4.73392015141785,40.1891319106439,48.4688783380897,24.8203973819976,72.5298576236958,16.9086953385566,86.4536488439759,105.496100548006,55.0215011184459,159.422682052255,35.2332871228952
"348",2021-02-11,2.5743931323712,2.95761728423405,2.03715487874634,3.04097023990699,1.113552872566,11.7944902390905,17.104019995311,8.03912308650639,17.8002106729106,5.09386886364382,39.2489679033918,47.9186875580284,24.796704281212,71.2230720659607,17.0158987223081,85.0968771481434,103.582193734081,54.7773423571989,156.124186016615,34.7923308592726
"349",2021-02-12,2.32379000772445,2.89611809151492,2.06094638455249,3.45651558654087,1.24398553046247,11.7554242798803,17.259779836371,7.53176606115724,17.7349231743473,4.97594212184989,38.8258042119198,47.6968306527906,25.2998818021822,70.898515155842,17.0407000893041,84.131100664374,102.016662134317,53.8673102960439,154.465716116698,34.2538454444808
"350",2021-02-13,2.50798724079689,3.25998466254061,2.12779228309532,3.3537292675468,1.01365674663566,12.1918005233025,17.1204556014143,8.5901105930017,18.3474112615377,4.67974358271904,38.4819136966423,47.3016507018739,24.6379893916286,69.792483411473,16.7493525047342,82.673160708085,100.278912111338,53.2366106993111,151.485563540899,33.6131700317742
"351",2021-02-14,2.76541136180497,3.07042342356881,2.12367605815953,3.247691487811,1.06770782520313,11.9104995697074,17.0113932410017,8.7091905479212,18.8665709655994,5.09190534083264,37.8676717321552,46.3203085876413,24.317148910564,67.9800765616504,16.3798049736234,81.3716933461959,98.4983584659328,52.3215105507151,148.54008297426,33.1821696280636
"352",2021-02-15,2.65471279049166,3.07571129984594,2.031624965391,3.36749164809655,1.11691539518443,12.200409829182,16.0471181213326,8.91221072461822,19.6415376180176,5.25618683077381,37.5548980876046,45.2449854742204,23.8676621168592,66.419658141655,16.0616951822091,80.681287790819,97.012048975807,51.5849927266582,146.133330983025,32.3214047113464
"353",2021-02-16,2.74362898366379,3.25576411921994,1.81314643644687,3.56931365951495,1.11691539518443,12.2347864713692,17.3597235001022,8.99708286057209,19.6200790008603,5.50999092558236,36.9733387426369,44.9105497182401,23.494826211542,65.0790091722534,15.3539403484892,79.0920086823084,95.743582567738,50.6560233297577,143.863134774831,32.0095267419888
"354",2021-02-17,2.7495454169735,3.2542280190546,1.34536240470737,3.52845575287547,1.16189500386223,12.7549990199921,16.5954813126947,9.67935948294101,19.5412384459123,5.2618912949623,36.5064071645014,43.7714634789513,23.26192040686,63.1682193583123,14.9579657955466,78.2800052140302,94.4427083243574,49.7385786738633,141.566425974723,31.2884994780025
"355",2021-02-18,3.05736814924209,3.3166247903554,1.3228756555323,3.99249295553543,1.19478031453485,12.8704118038235,15.1837906992951,9.73896811782439,19.3439913151345,5.95734840344259,35.9185416236951,43.4010866337198,22.1415898254845,61.6821941300918,14.4934236068075,77.5222246359068,93.0070515082003,49.124290402944,139.210856389224,30.7917613714996
