date,JHH_optimistic,SH_optimistic,BMC_optimistic,HCGH_optimistic,SMH_optimistic,JHH_moderate,SH_moderate,BMC_moderate,HCGH_moderate,SMH_moderate,JHH_pessimistic,SH_pessimistic,BMC_pessimistic,HCGH_pessimistic,SMH_pessimistic,JHH_catastrophic,SH_catastrophic,BMC_catastrophic,HCGH_catastrophic,SMH_catastrophic,JHH_optimistic_std,SH_optimistic_std,BMC_optimistic_std,HCGH_optimistic_std,SMH_optimistic_std,JHH_moderate_std,SH_moderate_std,BMC_moderate_std,HCGH_moderate_std,SMH_moderate_std,JHH_pessimistic_std,SH_pessimistic_std,BMC_pessimistic_std,HCGH_pessimistic_std,SMH_pessimistic_std,JHH_catastrophic_std,SH_catastrophic_std,BMC_catastrophic_std,HCGH_catastrophic_std,SMH_catastrophic_std
2021-02-15,50.781290218790204,52.3046225796692,27.8293774398455,73.69750542908871,18.4011230890223,110.64325751780198,127.860296110172,62.80851095600389,181.592225065395,41.5563068344499,179.13032099279,212.381922928476,104.756547110016,309.278524069598,67.3973774235763,263.074656391632,313.32454974235003,161.062989657323,459.205123215327,98.23458329850371,18.5943134701408,25.9643542172658,11.458748304679998,34.7423385198675,8.80250344147092,34.6456530241077,41.3996806449391,22.007855739738602,62.6446600831463,14.888498645642299,39.340609981925795,44.1341216448155,26.2939631854918,72.7492261959492,16.2118193284252,59.303043938807704,75.0131961179947,36.8552463520931,104.62555073856,25.798627554067103
2021-02-16,51.4245257380301,53.3261826812084,28.1783152436731,74.8643463885557,18.5634216986073,111.700466389741,128.966861865214,63.4653320182658,183.73684741979199,41.8829879848863,179.961566774246,213.47808547471902,105.78036582320601,311.245194396989,67.62431505552749,264.158521041089,313.521727530123,162.421730057908,461.694613865274,98.54577765855791,18.7993749701829,26.0863634196983,11.544835899164697,35.6589967922249,8.8211471454276,34.1939726738363,40.6438356962663,21.537129672357803,61.9068448849272,14.764695501856,38.489375436402895,43.8284969904,25.900446236201702,70.68661886055591,15.876697436317599,61.1246368045635,77.5362653793668,37.787733540428796,107.287493803009,26.1094038497196
2021-02-17,52.1458800080923,53.9392940154912,28.7537303744029,75.75792307238041,18.694916359706102,112.973232106769,129.94558973000798,64.4308793703569,185.685841973788,42.16338816785721,180.95608228257402,214.05522522496997,106.97003822822599,312.724464674824,67.8467605988175,264.876738915531,312.819355651152,163.66971271362,462.064960887889,98.642458969769,19.288166654711603,26.017311060121603,11.7229398706597,35.658571734297205,9.000659419069589,34.1785294702222,40.1875812099715,21.4955363607381,60.903299374359705,14.7920330397681,38.349867584517206,43.8595374284488,25.847668044900605,68.7665348724172,15.8498817030286,62.2690815767196,79.60721527908001,38.4355384019126,109.098598917283,26.058030804106302
2021-02-18,52.929778434891205,54.6480704430786,29.0208299163523,76.67623204588791,18.7084811055399,113.992560764446,130.630103280302,64.8927838214988,186.938848743474,42.5657976112791,181.306999595556,214.459191273473,107.327431844881,313.912247168928,68.0720271083582,264.34971292733997,311.569678500906,163.819368450083,462.919609002341,98.5317575838881,19.3230048217058,26.337522358850002,11.833016110454302,36.1647747561476,9.2837616546414,33.5919889229479,39.734261248056704,21.1970858597815,60.069466556167406,14.5814779537711,37.5414654863043,43.1030813863696,25.428651524596702,67.11464647515001,15.875275588159099,63.43350206061051,81.9383102319878,38.823104839615205,111.05731283753401,26.9438295158575
2021-02-19,53.893943957548196,55.166903617283204,29.2868234558466,77.42181347696959,18.9054444531217,114.942844691463,131.447040785489,65.5144541774469,188.383038331764,42.7373967133654,181.848223906401,214.39735617318402,108.06006316358601,314.884441140539,68.1151730981811,263.987314912368,310.260585128935,164.21969302200702,462.90332980004007,98.50554265522459,19.4899442147242,26.5691106477727,12.1173046638087,36.3523880842819,9.230867327305539,33.0282377981241,39.2085557224444,20.8384298739936,59.753832062559795,14.3217712285186,36.957809428243706,43.0619819226818,25.3459532026318,66.09900688314079,15.651871892844,64.0555881039815,82.9873026309398,39.1944986508285,113.582655330102,27.440934713656997
2021-02-20,54.2616167313856,55.832283178701104,29.565483036227697,78.36690233475831,19.238627431279998,115.744516112864,132.007601523652,65.6349807797702,188.988344428605,42.966927645468,181.732614945676,214.428048274248,108.49135311076799,315.226007353252,68.0324553210824,263.324316551954,308.933156862509,164.086176967648,460.82453322675104,97.9544435609393,19.6636945627425,26.8899870301859,12.115396198836601,36.8557707287704,9.20664082106939,32.5659466225289,38.4555816623903,20.611385577758302,58.5401406341163,14.145726008729,36.40732549377079,43.649928407730506,25.056662155190896,65.0541270278786,15.4754388947252,65.8991077174736,83.9511933038647,39.6132134984461,114.61803714413999,27.5362794086905
2021-02-21,54.78005963429089,56.3414927440071,29.836584593961703,78.69029542578741,19.3991826575105,115.905255595468,132.403477668552,65.91034298726629,190.47702767243197,43.29280780893679,181.933930242989,213.48896608121498,108.707076010043,315.169460872514,68.0061993652516,261.450343444622,305.511152416357,163.182686690682,458.50177018659,97.130075367867,19.9327943164584,26.4942444167964,12.237251308048402,36.9107929751851,9.26056343113577,31.7752080839781,37.4119905604229,20.165251543674398,57.8095468355746,14.004142061350501,36.2677692170938,43.887768685983296,25.151180389794803,64.005889545294,15.5188491111414,66.7783032557303,85.259045842416,39.671562322939295,115.680889360626,27.347628893972697
2021-02-22,55.3009632350848,56.574620275521,30.033818267695498,79.3709057007657,19.729881076424302,116.479141775159,133.047303920383,66.2943424875821,191.174579495379,43.4020537073323,181.78614444254902,212.51515536865398,108.74068033684,314.943706383361,67.7923704954955,259.785649858,302.50153812214296,162.357594438202,455.47862851700205,96.08474613431801,20.3872245388471,26.532244671429602,12.216475944978699,37.2222389089334,9.478648490667961,31.2580541989611,36.5400900442542,20.1129771434091,56.697275426203,13.6256982224683,36.019525819121704,45.1561785250299,24.972859486600598,63.9947628930241,15.4897770597054,66.7937596376384,86.14937786265459,39.970276584032796,116.741733745731,27.4636828839655
2021-02-23,56.214764142294996,56.6000667021779,30.360037291389798,80.56908880943391,19.596071044133502,117.12914613585698,132.908599622533,66.6471215551273,192.04417768855097,43.3630207726204,181.314611912299,211.656987811729,108.54884513198499,313.674147679065,67.4833815716061,258.474856908263,299.077834631831,161.092218379447,450.972995607956,95.7158449924861,20.6203497092785,26.175239639728698,12.381997803781701,37.6822882589355,9.446446164692821,30.600060260770398,35.772164936536605,19.6521604755551,55.6404210191018,13.4009105399187,36.011662471821204,46.05717394157371,24.486851541950003,63.3415523638265,15.525230221723001,67.89044145398029,87.36753792841749,39.6603436336961,117.582043436808,27.6832263366856
2021-02-24,56.779932752382095,56.9613600059058,30.5436353937183,81.6658760440429,19.7906016218543,117.553370264355,133.154140493773,67.1392859760134,192.508831900417,43.442154961753204,181.29589593194802,209.530855619857,107.721330619778,312.433406094796,67.336809901476,255.53687541924597,295.118301772782,159.599590222197,445.609192368759,94.3078914767096,21.0161943193079,26.4054356621033,12.3200042807806,38.1814196826763,9.348109108298711,30.334751693843497,34.5754675473077,19.4385389157004,54.5746297277638,13.0128937224704,36.176313037677005,46.79718499479961,23.819400041969498,63.2044150826309,15.7059748657756,67.7007686930706,88.0233688822903,40.138766949732,118.391621626822,27.8227223245861
