date,JHH_optimistic,SH_optimistic,BMC_optimistic,HCGH_optimistic,SMH_optimistic,JHH_moderate,SH_moderate,BMC_moderate,HCGH_moderate,SMH_moderate,JHH_pessimistic,SH_pessimistic,BMC_pessimistic,HCGH_pessimistic,SMH_pessimistic,JHH_catastrophic,SH_catastrophic,BMC_catastrophic,HCGH_catastrophic,SMH_catastrophic,JHH_optimistic_std,SH_optimistic_std,BMC_optimistic_std,HCGH_optimistic_std,SMH_optimistic_std,JHH_moderate_std,SH_moderate_std,BMC_moderate_std,HCGH_moderate_std,SMH_moderate_std,JHH_pessimistic_std,SH_pessimistic_std,BMC_pessimistic_std,HCGH_pessimistic_std,SMH_pessimistic_std,JHH_catastrophic_std,SH_catastrophic_std,BMC_catastrophic_std,HCGH_catastrophic_std,SMH_catastrophic_std
2021-02-23,6.94,10.8,3.48,13.62,2.86,17.8535031847134,23.3248407643312,9.95541401273885,32.420382165605105,6.808917197452231,23.7947598253275,28.2096069868996,14.4585152838428,42.5807860262009,8.84279475982533,30.8775510204082,35.5072886297376,19.5685131195335,55.7521865889213,10.6297376093294,3.3906341589738,4.82078831727758,2.25601418435257,6.01295268566118,1.76646539734012,4.92726107898046,6.2487874599690905,3.6977251554717703,7.34164232007119,2.70204866358933,7.079509059468889,9.678215502046651,5.208682663418299,12.4208859634,4.0165273250204905,12.188372935664,14.216949989097301,7.96020348233313,20.6302967125815,5.03630454678849
2021-02-24,7.64,11.32,4.66,15.0,3.08,17.579617834394902,22.662420382165603,10.165605095541402,32.6751592356688,6.85987261146497,23.589519650655,28.5458515283843,13.8733624454148,43.8689956331878,8.60262008733624,30.3556851311953,34.183673469387806,18.804664723032104,55.685131195335295,10.533527696793,3.58753397196459,4.98573966428252,2.72477522008697,6.27375485654325,1.90620040919102,5.4435462735512194,6.2041224635740395,3.24547138432476,7.99619062210812,3.0525307423213195,7.396864332449981,9.56539627690814,5.00974051700013,12.7970503337497,3.57137969984569,12.1322410272796,14.117936049014,8.02254704188095,21.162152955079,5.54582406169592
2021-02-25,7.84,10.5,4.72,15.56,3.4,18.0636942675159,23.2165605095541,10.292993630573198,32.9171974522293,6.87898089171975,23.6724890829694,28.620087336244502,13.768558951965101,43.08296943231439,8.545851528384281,29.5860058309038,33.472303206997104,18.4548104956268,54.1020408163265,10.1282798833819,3.6186185209275603,4.7592016137163204,2.80028569970994,5.6397163049217305,2.00997512422418,5.33905395930899,6.7317277775131705,4.083930207855491,8.37950318780227,3.0668773273537004,7.9782555691539905,10.293073856952901,4.49586594407974,12.7134051559153,3.92103751473127,11.8549558873218,14.1536226683111,7.72317129282496,20.3205671114296,5.203260831465769
2021-02-26,7.62,11.16,4.08,15.96,2.98,17.6496815286624,23.3949044585987,10.0573248407643,32.719745222929895,6.8535031847133805,23.480349344978197,28.9301310043668,14.1615720524017,42.8733624454148,8.44541484716157,28.7084548104956,33.3119533527697,17.9212827988338,52.7172011661808,9.94169096209913,3.8672470828743304,4.18263075109434,2.3395726105423598,6.00652978016425,2.14,5.06752649123222,6.622445871585669,3.3199686097367995,8.59108884707875,2.9449628518938,7.544094996106059,10.4503154078035,5.063363499729991,12.904304740422802,3.7408214808941698,11.715137535113099,14.5833905473961,8.10587280091609,20.5387757088495,5.398097553671691
2021-02-27,8.38,11.38,4.6,14.32,3.46,17.7261146496815,22.624203821656,10.6178343949045,32.6178343949045,6.917197452229299,23.1615720524017,27.9257641921397,14.436681222707401,41.6986899563319,8.912663755458519,28.0903790087464,31.390670553935898,17.9008746355685,52.0408163265306,9.530612244897961,3.48648820448313,4.37213906457697,2.7055498516937404,6.249607987706111,2.15601484224947,5.77895530303694,6.49391092818265,3.50347422081097,9.02264315916741,2.8328414837121803,8.22049357150888,9.95354668773491,5.4075524889006,12.8359160421788,3.95623065893251,12.0041535876085,13.6716652940259,8.484358741728,20.818347240857,5.08626131299864
2021-02-28,7.96,11.06,4.2,15.82,2.74,17.3821656050955,22.9745222929936,9.5796178343949,32.719745222929895,6.86624203821656,23.2096069868996,27.475982532751104,13.8602620087336,41.9912663755458,8.26637554585153,26.976676384839603,30.787172011661802,17.6501457725948,49.85131195335279,9.069970845481052,4.17593103391328,4.96552112068814,2.81424945589406,6.66240196926003,1.88478115440494,5.097189224005111,7.12575757026156,3.53891449141065,8.402179270617731,3.08085425617424,8.162631560594441,10.259326974684699,5.10309794781326,13.3056087810309,3.71280746404643,11.920510952698601,13.534909357021,7.781269559360269,20.225508308208898,5.0248132697296795
2021-03-01,8.04,10.94,4.42,16.34,3.44,17.7070063694268,22.503184713375802,11.0191082802548,32.6178343949045,6.68789808917197,22.4672489082969,27.7554585152838,13.397379912663801,41.6113537117904,8.50655021834061,26.530612244898,29.396501457725897,16.6618075801749,48.215743440233204,9.01166180758018,3.5381351019993597,4.8224889839169105,2.34170877779454,6.23092288509495,2.09914268214431,5.23494036186814,6.4498301007808205,3.81160035864305,8.75100360529942,2.9493678545082402,7.96142566033443,10.2880576200397,4.99118805502703,13.3636426669167,4.4961119422033,11.6960321411464,13.390749581301401,8.04773833815912,20.001022931961398,4.93808704382474
2021-03-02,8.4,11.34,4.84,15.4,2.8,17.5031847133758,22.4331210191083,10.0445859872611,32.1464968152866,6.73248407643312,21.764192139738,27.3231441048035,13.6986899563319,40.4934497816594,8.056768558951969,25.5510204081633,28.664723032070004,16.0962099125364,46.74052478134111,8.51603498542274,3.8314488121336003,5.0422613974287405,3.3962332075403796,5.99666574022598,2.0,5.59415550774751,7.151031180685611,3.58223491611013,8.14738071827144,2.8938374355256404,8.24230920486392,10.3548582223303,5.33023410965206,13.159624663598098,3.97605387349698,11.5029286602774,13.2819221215903,7.485617905768059,19.444014473610398,5.02346151769546
2021-03-03,7.88,11.7,4.28,14.98,3.18,17.2420382165605,22.0445859872611,10.2420382165605,32.343949044586,6.40764331210191,21.3187772925764,26.4192139737991,13.3493449781659,39.3100436681223,8.22270742358079,24.3236151603499,27.125364431486897,15.661807580174901,45.195335276967896,8.06413994169096,3.2226697007295098,5.33385414123784,2.49030118660374,5.20188427399149,1.96662146840718,5.39922296117939,6.87591934702626,3.81148327595317,8.622820688982591,3.05981851593861,7.847267278815041,11.0112597113227,4.96364618136115,12.9663634203056,4.0851429191470805,11.309981493851199,12.972903958331301,7.50097557878497,19.0126482786299,4.58689631955046
2021-03-04,8.36,11.66,4.04,15.0,2.98,16.8025477707006,21.178343949044603,10.210191082802499,31.0891719745223,6.605095541401269,21.606986899563303,25.9213973799127,13.222707423580802,39.0087336244542,8.14847161572052,23.212827988338198,25.3644314868805,14.6384839650146,43.0379008746356,7.70262390670554,4.2131223575870695,4.38,2.25353056336052,6.374950980203691,1.9747404892795402,5.43688686030843,6.96808300015045,3.5495255754285098,9.55332055932797,3.17586030630117,8.01053586270536,10.7862489590349,5.13981033811355,13.522419122343099,4.17883624188967,10.8924591505548,12.222600829303,7.040319535316829,19.2425448278997,4.6018337194629195
