"","date","opt JHH","opt SH","opt BMC","opt HCGH","opt SMH","mod JHH","mod SH","mod BMC","mod HCGH","mod SMH","pess JHH","pess SH","pess BMC","pess HCGH","pess SMH","cat JHH","cat SH","cat BMC","cat HCGH","cat SMH"
"334",2021-01-28,41.801714319041,37.7180391899803,21.9040806754221,54.8173091296134,13.1366183256427,83.1693241528554,93.3307618968973,46.2746828383234,129.698951152148,29.9567750379742,132.132865822837,162.095762220997,76.5973123589165,223.568951018983,49.7659199625637,202.306568609638,257.839361098126,119.220378835213,354.920743716986,77.6950859487867
"335",2021-01-29,42.5687704909747,38.2743744156017,22.3308400993586,55.5140118716016,13.361299294017,84.9554647573913,95.4948280057917,47.4523959823248,132.840000597569,30.5812360266676,135.485250314275,166.036172252336,78.7319896183389,229.542357343983,50.847766523525,206.009421070782,262.069988215448,121.887068586804,363.241320557173,78.9756125474869
"336",2021-01-30,42.6466760301176,39.2103586971142,22.2630733487013,56.7519103237698,13.4748229845078,87.0156674974232,97.7216612989177,48.4178790597633,136.210562819113,31.3583863267561,138.614078790623,170.081985085128,80.5094669916435,235.558844454495,51.8537511589788,210.170255245272,266.07225134238,123.61958821706,369.137075235653,81.2344633410688
"337",2021-01-31,42.7389774454691,39.7635092269113,22.4029315154124,57.9090856158401,13.9484193440342,88.7583212777193,100.40933463411,49.5996325291766,139.295883658702,32.2405114386764,142.168153237665,173.737098381185,82.3866905071522,240.976198098787,53.2951392470345,214.100807606229,270.446960962735,126.226388498745,376.494939841497,82.6426649185758
"338",2021-02-01,43.1722004967754,40.2814720114955,22.7978573376899,58.6648917045207,14.1214188555545,90.3655983417876,102.813653648321,50.6092787892298,142.361659457028,32.9903465923007,145.406745977638,177.013770875143,83.7687813554019,247.33307443884,54.3371524161222,217.765417822223,275.007851027735,129.604570417588,383.424944568232,83.4887114223524
"339",2021-02-02,43.5743979135477,41.2026772545028,23.0458399576047,59.8627798043442,14.4394535572879,91.9886790524551,104.806222921701,51.8221935483871,145.448986093203,33.7207521753906,148.504823719893,180.281181085969,85.8341911004508,252.824039659231,55.5319556078728,221.686202741414,278.786398105406,131.828134617002,390.131982510298,85.0698344164515
"340",2021-02-03,44.0605294416576,41.9168850206138,23.3865293642876,61.1659051137468,14.8274537485103,93.5942105643976,106.837091518711,52.7189571365444,148.762807803176,34.5837072791513,151.452087911925,183.926306755994,87.685863688825,258.54628294643,56.5348179809346,226.384016541994,282.281626779044,133.775034547531,396.423890571326,86.1401656223985
"341",2021-02-04,44.9280888030888,42.6128032865249,23.9654242357111,62.0549002890242,15.2523092712966,95.2848986175353,109.008753563442,53.6533170417031,152.088810011359,35.076034796796,154.489523662402,186.989632550378,89.5234895461575,264.209856849564,57.5873245296136,230.567701344085,286.918641462957,136.404553907127,402.810908331138,87.5841762398001
"342",2021-02-05,45.3729089080219,43.5591839746554,24.2448114108054,63.394787366055,15.448923499771,96.8073809345082,111.486129430552,54.6654734110024,155.103794024228,35.8281481804997,157.978037350212,190.003801370435,91.0814122031023,269.461174103877,58.7312709859033,234.186786830174,290.389358165913,139.319757821991,409.260454076064,88.6047148012251
"343",2021-02-06,45.901468327841,44.3344201058058,24.707266173654,64.4283891247112,15.7316371039175,98.1997002427853,113.64431075932,55.4523279489225,158.147515614899,36.3101186923054,160.604047159135,193.441559521853,92.9860573912796,274.610236973534,60.050484375,237.850952250154,293.496328050286,141.86985274274,415.3461984644,90.1553107442251
"344",2021-02-07,46.0652009988312,45.1010508728499,24.9069703895072,65.4142716660322,15.9413805697589,99.9614433434484,115.706320924335,56.4233603547295,161.45602899585,36.8428193983509,163.291964275932,197.041685978967,94.4253962742197,279.474907844795,60.9814886484519,242.159782643211,296.866488199757,144.511898312228,422.130849132802,91.3943062481666
"345",2021-02-08,46.6181765248192,45.7457276657194,25.3315161315161,66.6000231820544,16.3568552704844,101.674772906087,117.558462000871,57.1117428634508,164.367472113829,37.5288686594144,165.791252426138,199.729162754882,96.095215084577,284.36514678682,62.2963280562885,245.331706032411,300.843472741585,146.542719320377,428.428965673997,92.9154018938433
"346",2021-02-09,46.976184409832,46.4951802352475,25.6227555871959,67.5590239900863,16.6067672731097,102.93964275457,119.228077409508,57.9815781768968,167.040727671751,38.2121022631833,168.335720905184,202.278688153203,97.5225461115306,288.69965153032,63.1285637526103,248.999531695443,303.247652600197,149.301418069955,435.383943350879,93.7187462447426
"347",2021-02-10,47.6149248360787,47.5301882579739,26.0439997593587,68.7975879874788,16.9507759104223,104.365276679054,120.810624860389,58.624903562931,169.883559719764,38.999642986087,170.77457793106,204.851421228987,99.0327904384444,292.62981783162,63.9757634610233,252.465562816693,305.031455026455,152.086958572526,441.754450940349,94.7773271084235
"348",2021-02-11,48.389580280068,48.6958673066807,26.2876486193881,70.3889880048588,17.2568865971037,105.723602676462,122.221365470468,59.393632951551,172.484360710992,39.6431344419031,172.837983841049,206.588463098213,100.470497560529,297.247097571417,64.7966262701101,255.621910348666,308.406636236251,153.66641297788,445.789919451152,96.0286802930057
"349",2021-02-12,49.1369808306709,49.7216610451618,26.5666607491568,70.983118556701,17.723738516842,106.889544172134,123.996457992202,60.2634673533554,174.540337797059,40.2786105914897,174.891257319722,208.397204358562,101.87445418138,300.587527173913,65.4940407832744,257.225038154685,309.943430556841,156.28151080035,450.844931418209,96.6618705399219
"350",2021-02-13,49.7860723307544,50.8756756756757,26.8573364091995,72.34358625644,17.9377574236065,108.109719456512,125.305769777508,60.8172804079817,177.136819475298,40.7143176967508,176.633310038279,209.978978010231,103.32087200408,303.522174130261,66.2185342931802,260.031204000051,311.55400533183,157.843032698578,454.180167300832,96.9338838813636
"351",2021-02-14,50.7389510518598,51.656363614731,27.3726243628296,73.021711756723,18.1761427697065,109.237528165357,126.697172043663,61.9799330428939,179.471837424141,41.3001228366064,178.248859786755,211.31089901314,104.044789946325,306.519506192779,66.8456615431465,261.555435663402,312.831670063151,159.515835134917,457.277400387543,97.6083851415225
"352",2021-02-15,50.7812902187902,52.3046225796692,27.8293774398455,73.6975054290887,18.4011230890223,110.643257517802,127.860296110172,62.8085109560039,181.592225065395,41.5563068344499,179.13032099279,212.381922928476,104.756547110016,309.278524069598,67.3973774235763,263.074656391632,313.32454974235,161.062989657323,459.205123215327,98.2345832985037
"353",2021-02-16,51.4245257380301,53.3261826812084,28.1783152436731,74.8643463885557,18.5634216986073,111.700466389741,128.966861865214,63.4653320182658,183.736847419792,41.8829879848863,179.961566774246,213.478085474719,105.780365823206,311.245194396989,67.6243150555275,264.158521041089,313.521727530123,162.421730057908,461.694613865274,98.5457776585579
"354",2021-02-17,52.1458800080923,53.9392940154912,28.7537303744029,75.7579230723804,18.6949163597061,112.973232106769,129.945589730008,64.4308793703569,185.685841973788,42.1633881678572,180.956082282574,214.05522522497,106.970038228226,312.724464674824,67.8467605988175,264.876738915531,312.819355651152,163.66971271362,462.064960887889,98.642458969769
"355",2021-02-18,52.9297784348912,54.6480704430786,29.0208299163523,76.6762320458879,18.7084811055399,113.992560764446,130.630103280302,64.8927838214988,186.938848743474,42.5657976112791,181.306999595556,214.459191273473,107.327431844881,313.912247168928,68.0720271083582,264.34971292734,311.569678500906,163.819368450083,462.919609002341,98.5317575838881
