"","date","opt JHH","opt SH","opt BMC","opt HCGH","opt SMH","mod JHH","mod SH","mod BMC","mod HCGH","mod SMH","pess JHH","pess SH","pess BMC","pess HCGH","pess SMH","cat JHH","cat SH","cat BMC","cat HCGH","cat SMH"
"281",2020-12-06,1.91891891891892,3.60810810810811,1.00675675675676,4.22972972972973,0.574324324324324,2.58064516129032,4.49266862170088,1.56304985337243,5.12609970674487,0.782991202346041,2.85,4.928125,1.628125,5.69375,0.965625,3.76428571428571,5.93571428571429,2.17142857142857,7.14285714285714,1.3
"282",2020-12-07,1.95945945945946,3.55405405405405,1.23648648648649,4.18243243243243,0.486486486486487,2.96774193548387,4.69794721407625,1.49560117302053,5.52785923753666,0.970674486803519,3.203125,5.16875,1.740625,6.640625,1.025,4.00714285714286,6.77142857142857,2.15714285714286,8.13571428571429,1.27857142857143
"283",2020-12-08,1.96621621621622,3.32432432432432,1.19594594594595,4.25675675675676,0.662162162162162,2.86217008797654,4.74486803519062,1.60117302052786,5.89442815249267,1.02052785923754,3.175,5.375,1.725,6.509375,1.078125,4.04285714285714,6.50714285714286,2.53571428571429,8.50714285714286,1.52857142857143
"284",2020-12-09,1.88513513513514,3.89189189189189,1.22972972972973,3.96621621621622,0.655405405405405,2.82404692082111,4.58357771260997,1.56891495601173,5.65982404692082,0.935483870967742,3.203125,5.38125,1.7,6.75,1.128125,4.35714285714286,7.12142857142857,2.15,8.43571428571429,1.46428571428571
"285",2020-12-10,2.0472972972973,3.35135135135135,1.06756756756757,4.19594594594595,0.77027027027027,2.85630498533724,4.79472140762463,1.65689149560117,5.83577712609971,0.920821114369501,3.615625,5.565625,1.88125,6.83125,1.175,4.35714285714286,7.30714285714286,2.43571428571429,9.1,1.61428571428571
"286",2020-12-11,1.95945945945946,3.55405405405405,1.31756756756757,4.44594594594595,0.641891891891892,3.04985337243402,4.79472140762463,1.70381231671554,6.06451612903226,0.970674486803519,3.6,5.765625,1.934375,7.328125,1.3125,5.2,8.1,2.57142857142857,9.62857142857143,1.82857142857143
"287",2020-12-12,1.97297297297297,3.31756756756757,1.30405405405405,4.5,0.72972972972973,2.82991202346041,5.10263929618768,1.68328445747801,6.38709677419355,1.07038123167155,3.75625,5.984375,2.090625,7.2,1.328125,5.37142857142857,8.06428571428571,3.07142857142857,10.2428571428571,1.82857142857143
"288",2020-12-13,1.93243243243243,3.75675675675676,1.26351351351351,4.40540540540541,0.736486486486487,3.15542521994135,5.05278592375367,1.81818181818182,6.45161290322581,1.09677419354839,3.9375,6.09375,2.1125,7.553125,1.425,5.37142857142857,9.03571428571429,2.85,10.1285714285714,1.80714285714286
"289",2020-12-14,2.09459459459459,3.7027027027027,1.16216216216216,4.43243243243243,0.682432432432432,3.30205278592375,5.64222873900293,1.82404692082111,6.34310850439883,1.158357771261,4.26875,6.81875,2.3625,7.925,1.425,6.48571428571429,9.01428571428571,3.09285714285714,11.2785714285714,1.87142857142857
"290",2020-12-15,2.18243243243243,3.68918918918919,1.22297297297297,4.60810810810811,0.668918918918919,3.21994134897361,5.33724340175953,1.84457478005865,6.67448680351906,1.15542521994135,4.128125,6.903125,2.51875,8.25,1.490625,6.17142857142857,9.77857142857143,3.44285714285714,11.6,2.26428571428571
"291",2020-12-16,2.18918918918919,3.39864864864865,1.33783783783784,4.74324324324324,0.709459459459459,3.6891495601173,5.77126099706745,1.96774193548387,6.70381231671554,1.26392961876833,4.346875,7.01875,2.540625,9.05625,1.684375,6.44285714285714,9.59285714285714,3.57142857142857,12.7785714285714,2.55714285714286
"292",2020-12-17,2.35135135135135,3.76351351351351,1.34459459459459,4.72972972972973,0.621621621621622,3.44868035190616,5.841642228739,2.1466275659824,7.09384164222874,1.24633431085044,4.76875,7.53125,2.76875,9.1625,1.709375,7.01428571428571,10.7928571428571,3.80714285714286,13.4857142857143,2.48571428571429
"293",2020-12-18,2.46621621621622,3.89189189189189,1.25,4.83783783783784,0.72972972972973,3.98240469208211,5.91495601173021,1.94134897360704,7.42815249266862,1.42521994134897,5.1,8.0125,2.590625,9.628125,1.875,7.17857142857143,11.3785714285714,4.10714285714286,13.6857142857143,2.91428571428571
"294",2020-12-19,2.10810810810811,4.07432432432432,1.45945945945946,5.12837837837838,0.864864864864865,3.85630498533724,6.13782991202346,2.14956011730205,7.73607038123167,1.40469208211144,5.421875,8.16875,2.903125,10.315625,1.98125,7.79285714285714,12.0142857142857,4.23571428571429,14.0428571428571,3.05
"295",2020-12-20,2.56081081081081,4.06081081081081,1.34459459459459,5.18918918918919,0.810810810810811,4.10263929618768,6.30791788856305,2.39296187683284,7.94428152492669,1.49853372434018,5.2625,8.346875,3.15625,10.159375,1.865625,7.8,12.7571428571429,4.72857142857143,15.1714285714286,3.34285714285714
"296",2020-12-21,2.77702702702703,3.78378378378378,1.34459459459459,5.39864864864865,0.777027027027027,4.52492668621701,6.8475073313783,2.3841642228739,8.03812316715543,1.57478005865103,5.490625,8.828125,3.3125,11.221875,2.078125,8.57142857142857,13.3071428571429,4.7,15.6928571428571,3.44285714285714
"297",2020-12-22,2.47972972972973,4.15540540540541,1.39189189189189,5.10810810810811,0.837837837837838,4.49266862170088,7.06451612903226,2.49560117302053,8.42815249266862,1.6217008797654,6,8.996875,3.275,11.46875,2.31875,9.29285714285714,13.5214285714286,5.03571428571429,16.6428571428571,3.59285714285714
"298",2020-12-23,2.67567567567568,4.01351351351351,1.43243243243243,5.16891891891892,0.959459459459459,4.51906158357771,7.0058651026393,2.53372434017595,8.54545454545454,1.74193548387097,6.2875,9.70625,3.45,12.21875,2.3625,9.15,14.3285714285714,5.32142857142857,17.7214285714286,3.63571428571429
"299",2020-12-24,2.47972972972973,3.75,1.56081081081081,5.32432432432432,0.824324324324324,4.6950146627566,7.02639296187683,2.6217008797654,9.20234604105572,1.48973607038123,6.709375,10.053125,3.6875,12.615625,2.475,10.1928571428571,15.0357142857143,5.30714285714286,18.8428571428571,3.59285714285714
"300",2020-12-25,2.5472972972973,4.16891891891892,1.48648648648649,5.33108108108108,0.756756756756757,4.80938416422287,7.14369501466276,2.59237536656891,9.17595307917889,1.66568914956012,6.55625,10.63125,3.7375,12.725,2.625,10.2428571428571,16.05,5.7,19.1714285714286,4.17857142857143
