"","date","opt JHH","opt SH","opt BMC","opt HCGH","opt SMH","mod JHH","mod SH","mod BMC","mod HCGH","mod SMH","pess JHH","pess SH","pess BMC","pess HCGH","pess SMH"
"280",2020-12-05,4.89285714285714,7,3.92857142857143,11.2142857142857,2.75,8.01801801801802,10.7837837837838,3.84684684684685,14.0540540540541,3.0990990990991,7.33333333333333,11.3333333333333,3.33333333333333,11.3333333333333,3
"281",2020-12-06,6.39285714285714,10.8928571428571,2.89285714285714,11.8214285714286,2.21428571428571,8.40540540540541,10.5315315315315,4.3963963963964,13.8918918918919,2.55855855855856,10,10.6666666666667,4,13.3333333333333,2.33333333333333
"282",2020-12-07,6.10714285714286,9.96428571428571,5.32142857142857,13.1428571428571,3.53571428571429,8.17117117117117,11.7927927927928,5.05405405405405,15.1801801801802,3.34234234234234,10,13,5.33333333333333,16.3333333333333,2.66666666666667
"283",2020-12-08,7.42857142857143,10,4.17857142857143,11.1785714285714,2.42857142857143,8.84684684684685,13.3063063063063,4.11711711711712,15.9369369369369,3.81081081081081,10.3333333333333,10.6666666666667,7.66666666666667,14.3333333333333,4.66666666666667
"284",2020-12-09,5.5,10.2857142857143,3.85714285714286,13.1071428571429,3.03571428571429,8.36936936936937,13.8558558558559,4.59459459459459,15.4864864864865,3.34234234234234,8,19,5.66666666666667,13.6666666666667,3.33333333333333
"285",2020-12-10,8.89285714285714,11.5,2.92857142857143,16.1785714285714,3.78571428571429,9.54954954954955,13.2972972972973,4.5045045045045,17.4954954954955,3.31531531531532,10.3333333333333,14.3333333333333,4.66666666666667,19,2.66666666666667
"286",2020-12-11,7.85714285714286,11.8928571428571,3.92857142857143,15.4642857142857,4.03571428571429,9.6036036036036,13.3783783783784,5.59459459459459,18.8918918918919,2.95495495495495,10.3333333333333,14,8,20,4.33333333333333
"287",2020-12-12,9.03571428571429,10.25,4.42857142857143,13.25,3.32142857142857,10.7387387387387,14.1981981981982,6.14414414414414,19.3333333333333,4.20720720720721,11.3333333333333,14,7.33333333333333,19.3333333333333,5.66666666666667
"288",2020-12-13,9,9.75,4.28571428571429,15.0714285714286,3.75,9.02702702702703,15,5.93693693693694,18.8378378378378,4,7.66666666666667,13.3333333333333,5,18.6666666666667,5
"289",2020-12-14,10.1071428571429,14.8928571428571,5.03571428571429,16.6785714285714,4,11.1621621621622,15.4954954954955,6.45945945945946,20.7567567567568,4.37837837837838,13,14,5,20.6666666666667,8
