"","date","opt JHH","opt SH","opt BMC","opt HCGH","opt SMH","mod JHH","mod SH","mod BMC","mod HCGH","mod SMH","pess JHH","pess SH","pess BMC","pess HCGH","pess SMH"
"331",2021-01-25,124.609523809524,121.207142857143,77.0142857142857,181.753571428571,44.0333333333333,198.216216216216,216.258558558559,123.474774774775,324.16066066066,72.5963963963964,329.311111111111,350.355555555556,186.411111111111,571.811111111111,116.911111111111
"332",2021-01-26,124.663492063492,120.319047619048,76.4333333333333,181.280952380952,43.2888888888889,197.45045045045,215.15975975976,122.649249249249,324.287287287287,72.0306306306307,330.251851851852,351.081481481482,183.007407407407,561.362962962963,119.007407407407
"333",2021-01-27,123.824603174603,120.252380952381,75.7452380952381,180.20119047619,43.1515873015873,196.252252252252,213.628528528529,122.22012012012,324.774274274274,71.3117117117117,332.525925925926,343.474074074074,185.27037037037,556.248148148148,116.103703703704
"334",2021-01-28,123.235714285714,119.364285714286,75.8071428571429,177.764285714286,42.9071428571429,194.747747747748,211.07027027027,121.16036036036,323.684684684684,70.9081081081081,328.466666666667,349.2,181.866666666667,550.466666666667,111.866666666667
"335",2021-01-29,121.503968253968,119.654761904762,75.5119047619048,176.791666666667,42.0912698412698,192.936936936937,208.98948948949,121.028528528529,321.676176176176,70.6486486486487,318.074074074074,343.259259259259,185.462962962963,552.685185185185,113.62962962963
"336",2021-01-30,119.915079365079,117.945238095238,74.2166666666667,176.42619047619,41.668253968254,191.09009009009,207.35015015015,121.239039039039,319.397397397397,70.209009009009,313.681481481482,341.985185185185,181.059259259259,543.57037037037,111.392592592593
"337",2021-01-31,117.719047619048,115.7,72.2428571428571,177.167857142857,41.2809523809524,189.882882882883,205.179279279279,120.503603603604,315.659159159159,69.2018018018018,307.622222222222,336.377777777778,184.988888888889,532.455555555555,108.822222222222
"338",2021-02-01,116.523015873016,113.311904761905,70.447619047619,175.052380952381,39.9293650793651,187.027027027027,203.693093093093,119.191591591592,313.02002002002,68.3747747747748,309.896296296296,326.437037037037,186.251851851852,512.007407407407,101.585185185185
"339",2021-02-02,114.326984126984,111.745238095238,70.402380952381,174.329761904762,39.2563492063492,185.009009009009,200.693393393393,118.492192192192,309.525025025025,67.1063063063063,301.17037037037,317.162962962963,189.181481481481,498.559259259259,99.6814814814815
"340",2021-02-03,113.559523809524,111.142857142857,67.75,172.428571428571,39.0833333333333,182.612612612613,197.756756756757,116.630630630631,305.255255255255,66.4774774774775,294.444444444444,306.888888888889,184.777777777778,491.777777777778,94.1111111111111
