date,hospital,occupancy_acute,occupancy_icu,occupancy_total,admissions_total
2021-03-29,BMC,18.72342857142857,5.9154285714285715,24.63885714285714,4.052857142857143
2021-03-30,BMC,18.44742857142857,6.161714285714286,24.609142857142857,4.184285714285712
2021-03-31,BMC,18.24342857142857,6.405714285714285,24.649142857142856,4.331428571428571
2021-04-01,BMC,18.049142857142858,6.709142857142857,24.758285714285716,4.492857142857142
2021-04-02,BMC,17.938285714285715,6.9791428571428575,24.917428571428573,4.624285714285713
2021-04-03,BMC,18.045142857142856,7.282857142857143,25.328,4.77142857142857
2021-04-04,BMC,18.382571428571428,7.367999999999999,25.750571428571426,4.798571428571427
2021-04-05,BMC,18.707714285714285,7.509142857142857,26.216857142857144,4.732857142857141
2021-04-06,BMC,18.996,7.650857142857143,26.646857142857144,4.688571428571427
2021-04-07,BMC,19.325714285714287,7.758285714285714,27.084000000000003,4.601428571428568
2021-04-08,BMC,19.633142857142857,7.7791428571428565,27.412285714285716,4.554285714285711
2021-04-09,BMC,19.809428571428572,7.779714285714285,27.589142857142857,4.497142857142853
2021-04-10,BMC,19.995714285714286,7.659428571428571,27.655142857142856,4.431428571428568
2021-04-11,BMC,20.19657142857143,7.546571428571428,27.74314285714286,4.515714285714285
2021-03-29,HCGH,25.595714285714283,6.3420000000000005,31.937714285714286,3.3600000000000008
2021-03-30,HCGH,25.002,5.846000000000002,30.848,3.7214285714285706
2021-03-31,HCGH,24.59657142857143,5.410857142857144,30.007428571428573,4.051428571428571
2021-04-01,HCGH,24.468285714285713,5.126857142857144,29.595142857142857,4.305714285714286
2021-04-02,HCGH,24.544857142857143,4.869428571428573,29.414285714285718,4.492857142857142
2021-04-03,HCGH,24.769714285714286,4.620857142857145,29.39057142857143,4.652857142857142
2021-04-04,HCGH,25.171142857142858,4.423428571428573,29.59457142857143,4.835714285714284
2021-04-05,HCGH,25.604285714285712,4.2434285714285735,29.847714285714286,4.974285714285713
2021-04-06,HCGH,26.112571428571428,4.207428571428574,30.32,4.927142857142859
2021-04-07,HCGH,26.53257142857143,4.118857142857145,30.651428571428575,4.861428571428571
2021-04-08,HCGH,26.852,3.9477142857142873,30.799714285714288,4.794285714285714
2021-04-09,HCGH,26.950857142857142,3.8268571428571447,30.777714285714286,4.76
2021-04-10,HCGH,26.889142857142858,3.7445714285714304,30.633714285714287,4.829999999999997
2021-04-11,HCGH,26.946571428571428,3.7034285714285735,30.650000000000002,4.889999999999997
2021-03-29,JHH,48.600571428571435,18.398,66.99857142857144,5.839999999999999
2021-03-30,JHH,50.29685714285714,18.608571428571427,68.90542857142857,5.995714285714283
2021-03-31,JHH,51.71971428571428,18.79942857142857,70.51914285714285,6.104285714285714
2021-04-01,JHH,52.94971428571428,18.969142857142856,71.91885714285714,6.195714285714286
2021-04-02,JHH,53.81828571428571,19.089714285714283,72.90799999999999,6.145714285714288
2021-04-03,JHH,54.37171428571428,19.169714285714285,73.54142857142857,6.061428571428571
2021-04-04,JHH,54.82828571428571,19.177999999999997,74.00628571428571,5.805714285714285
2021-04-05,JHH,55.501999999999995,19.063714285714283,74.56571428571428,5.527142857142859
2021-04-06,JHH,56.33571428571428,18.858285714285714,75.19399999999999,5.2814285714285685
2021-04-07,JHH,57.23542857142857,18.600285714285715,75.83571428571429,5.165714285714282
2021-04-08,JHH,58.05457142857142,18.351714285714284,76.4062857142857,5.055714285714285
2021-04-09,JHH,58.66771428571428,18.18,76.84771428571429,5.024285714285711
2021-04-10,JHH,59.11457142857142,18.058285714285713,77.17285714285714,5.054285714285715
2021-04-11,JHH,59.22885714285714,17.962,77.19085714285714,5.171428571428571
2021-03-29,SH,7.5357142857142865,3.411142857142857,10.946857142857144,1.8057142857142856
2021-03-30,SH,7.121142857142857,3.275714285714286,10.396857142857144,1.7314285714285704
2021-03-31,SH,6.676571428571429,3.2239999999999998,9.900571428571428,1.5971428571428568
2021-04-01,SH,6.40457142857143,3.248857142857143,9.653428571428574,1.5057142857142853
2021-04-02,SH,6.311428571428572,3.238,9.549428571428573,1.4557142857142855
2021-04-03,SH,6.272857142857143,3.1917142857142857,9.464571428571428,1.4928571428571424
2021-04-04,SH,6.2537142857142864,3.1642857142857146,9.418000000000001,1.4800000000000002
2021-04-05,SH,6.102285714285715,3.1228571428571428,9.225142857142858,1.574285714285715
2021-04-06,SH,6.063714285714287,3.031714285714286,9.095428571428574,1.6700000000000006
2021-04-07,SH,6.153428571428572,2.911142857142857,9.06457142857143,1.7757142857142854
2021-04-08,SH,6.186857142857144,2.7474285714285718,8.934285714285716,1.8357142857142852
2021-04-09,SH,6.192857142857143,2.6765714285714286,8.869428571428571,1.8742857142857137
2021-04-10,SH,6.169428571428573,2.7014285714285715,8.870857142857144,1.8028571428571432
2021-04-11,SH,6.304857142857143,2.7294285714285715,9.034285714285716,1.7571428571428578
2021-03-29,SMH,4.590571428571428,1.749428571428571,6.339999999999999,1.3842857142857148
2021-03-30,SMH,4.316571428571428,1.6522857142857137,5.968857142857141,1.3585714285714294
2021-03-31,SMH,3.8845714285714266,1.5502857142857138,5.43485714285714,1.3785714285714294
2021-04-01,SMH,3.503999999999998,1.4514285714285706,4.955428571428568,1.3528571428571436
2021-04-02,SMH,3.1831428571428546,1.3488571428571419,4.5319999999999965,1.2871428571428576
2021-04-03,SMH,3.0239999999999974,1.262857142857142,4.286857142857139,1.228571428571428
2021-04-04,SMH,3.0448571428571403,1.2397142857142849,4.284571428571425,1.2400000000000004
2021-04-05,SMH,3.1277142857142834,1.2465714285714276,4.374285714285711,1.2571428571428576
2021-04-06,SMH,3.262571428571426,1.2745714285714276,4.537142857142854,1.2571428571428578
2021-04-07,SMH,3.4968571428571398,1.3011428571428563,4.7979999999999965,1.287142857142857
2021-04-08,SMH,3.6854285714285684,1.3562857142857134,5.041714285714281,1.3257142857142856
2021-04-09,SMH,3.834285714285711,1.412857142857142,5.247142857142853,1.3557142857142863
2021-04-10,SMH,3.946285714285711,1.4834285714285704,5.429714285714281,1.378571428571429
2021-04-11,SMH,3.945142857142854,1.5374285714285705,5.482571428571425,1.3571428571428572
