date,JHH_optimistic,SH_optimistic,BMC_optimistic,HCGH_optimistic,SMH_optimistic,JHH_moderate,SH_moderate,BMC_moderate,HCGH_moderate,SMH_moderate,JHH_pessimistic,SH_pessimistic,BMC_pessimistic,HCGH_pessimistic,SMH_pessimistic,JHH_catastrophic,SH_catastrophic,BMC_catastrophic,HCGH_catastrophic,SMH_catastrophic,JHH_optimistic_std,SH_optimistic_std,BMC_optimistic_std,HCGH_optimistic_std,SMH_optimistic_std,JHH_moderate_std,SH_moderate_std,BMC_moderate_std,HCGH_moderate_std,SMH_moderate_std,JHH_pessimistic_std,SH_pessimistic_std,BMC_pessimistic_std,HCGH_pessimistic_std,SMH_pessimistic_std,JHH_catastrophic_std,SH_catastrophic_std,BMC_catastrophic_std,HCGH_catastrophic_std,SMH_catastrophic_std
2021-04-30,0.385,0.9799999999999999,0.13999999999999999,1.2249999999999999,0.06999999999999999,3.7099999999999995,4.13,2.03,6.089999999999999,0.875,2.411111111111108,3.162962962962963,1.3481481481481508,4.433333333333331,0.8425925925925899,0.8121093749999999,1.249609375,0.50859375,1.7445312499999999,0.205078125,0.4126439142893059,0.7794870107962,0.27999999999999997,0.729982876511497,0.21,2.225735833381851,1.6988525539316237,1.38061580463212,1.6579806995257798,0.6594505288495873,1.9083313116599343,2.024049506814412,1.173273473968792,2.8258069971576623,0.845380004813057,0.9845534777436469,1.2212313856972812,0.828781800271299,1.648617251751736,0.3938164548955315
2021-05-01,0.45499999999999996,0.42,0.175,1.295,0.034999999999999996,3.08,3.955,1.8199999999999998,5.705,1.365,2.2814814814814817,2.787037037037036,1.3740740740740718,4.329629629629633,0.9592592592592591,0.768359375,1.15390625,0.4375,1.7335937499999998,0.21875,0.55450428312142,0.46432747064975594,0.375333185316726,0.920040759966643,0.15256146302392376,1.371714255958578,1.9584368766952918,1.1373653766490328,2.536232442028922,0.9514594053347738,1.962337426535759,1.9637498422845796,1.256270964105185,2.718021450166743,0.974207848862157,0.9630552597590678,1.0630074041185897,0.6777720855862978,1.7022401299349457,0.435307003734146
2021-05-02,0.27999999999999997,0.77,0.21,0.945,0.13999999999999999,2.73,3.78,1.295,4.76,0.84,2.2814814814814817,2.5407407407407407,1.3092592592592591,4.407407407407409,0.7,0.861328125,1.069140625,0.462109375,1.53125,0.15859374999999998,0.40816663263917097,0.7636098480244989,0.32078029864690877,0.6741476099490376,0.27999999999999997,1.126543385760177,1.883507366590318,0.7432866203558389,1.9119100397246709,0.6102458520956945,1.9530673002451029,1.91132284213283,1.400300036436441,2.80850901869538,0.862597283831843,1.0923511562606507,1.038828612656877,0.7519829539538191,1.6526848421583569,0.4215906159545506
2021-05-03,0.45499999999999996,0.5249999999999999,0.13999999999999999,1.295,0.13999999999999999,2.5549999999999997,3.3949999999999996,1.6099999999999999,5.425,1.0499999999999998,1.9185185185185183,2.2037037037037046,1.270370370370367,4.174074074074072,0.7,0.67265625,1.02265625,0.42109375,1.7445312499999999,0.12304687499999999,0.5084043666216885,0.695611242002313,0.27999999999999997,1.0906305515618029,0.35693136595149527,1.569546112734509,1.788428080745768,0.8601744009211149,2.027282664060444,1.1608186766243898,1.7728481034214998,1.9165906229323486,1.220447645504871,3.318923586389236,0.852012867230259,0.8388249634673091,0.9798528942325689,0.6625769228632533,1.661339284364704,0.35296746174787014
2021-05-04,0.27999999999999997,0.63,0.27999999999999997,1.295,0.034999999999999996,2.9050000000000002,3.9899999999999998,1.575,4.97,1.19,2.022222222222223,2.4888888888888916,1.205555555555554,3.79814814814815,0.7388888888888919,0.713671875,1.028125,0.336328125,1.5558593749999998,0.11484375,0.5143928459844671,0.7950471684120349,0.40816663263917097,0.920040759966643,0.15256146302392376,1.472913778875056,1.918306544846258,0.9358819369984631,2.075355391252304,0.941753683295159,1.6425664952622236,1.8795849292258218,1.169902918838213,2.669268920630648,0.812954526236489,0.8954357974383079,1.049772110686411,0.566899973393882,1.6418254071991378,0.342004624363381
2021-05-05,0.315,0.735,0.21,1.1199999999999999,0.105,2.6599999999999997,3.675,1.505,4.4799999999999995,0.63,1.7888888888888916,2.579629629629633,1.4388888888888918,3.7074074074074095,0.5444444444444445,0.658984375,0.959765625,0.314453125,1.48203125,0.128515625,0.5632716928800877,0.6444183423832686,0.32078029864690877,0.8964373932405989,0.33387872049593104,1.283121194587638,2.0513105566929637,0.8363462201743951,2.16208232960727,0.5376802023508026,1.6861820413416861,1.8899715488383377,1.309002541754978,2.672760526874641,0.6413719862071914,0.818629132150732,0.978031317273815,0.5452799003060121,1.525918452612533,0.3670077269361769
2021-05-06,0.42,0.5249999999999999,0.175,1.0499999999999998,0.0,2.695,3.255,1.4,4.409999999999999,1.0499999999999998,1.659259259259259,2.437037037037036,1.3222222222222229,3.2796296296296332,0.6870370370370374,0.6070312499999999,0.9296874999999999,0.352734375,1.5148437499999998,0.155859375,0.46432747064975594,0.7942764002537139,0.375333185316726,0.8429116205154609,0.0,0.9967321606128668,1.894854875709481,1.061602562167217,2.1924643668712123,0.7172865536171719,1.584241671439483,1.785880454741656,1.371626051331543,2.4723942234520617,0.791165641760515,0.752047579294977,0.9589511991461008,0.6187123913365234,1.66773563944827,0.361589432540014
2021-05-07,0.42,0.5599999999999999,0.35,1.295,0.105,2.3449999999999998,3.1149999999999998,1.295,4.409999999999999,0.9099999999999999,1.5685185185185182,2.2944444444444456,0.9722222222222229,3.5907407407407406,0.6222222222222223,0.615234375,0.905078125,0.32265625,1.38359375,0.175,0.5143928459844671,0.72069410986909,0.4695742752749559,0.920040759966643,0.24994999499899942,1.369479828255973,1.525213099865063,1.0679302411674678,1.9934643212257408,0.63,1.3734013028048109,1.6189178675054485,1.0812230157911629,2.8323703277511876,0.7816569927538469,0.8269167741183859,0.9187784826314149,0.5527226423224737,1.3957959951085008,0.4150489428970997
2021-05-08,0.48999999999999994,0.5249999999999999,0.105,1.085,0.175,2.17,3.3949999999999996,1.085,4.06,0.84,1.801851851851849,2.359259259259259,1.114814814814813,3.577777777777777,0.5703703703703704,0.604296875,0.84765625,0.33359374999999997,1.435546875,0.112109375,0.703491293478463,0.5804093383121949,0.33387872049593104,0.812573073637073,0.30310889132455326,1.563681553258209,1.472913778875056,0.6813772816876124,1.8334121195192317,0.8163332652783419,1.485546506339189,1.623840728200404,1.0820774613552888,2.662682208452574,0.7629449836069249,0.8686494398577799,0.897258397473067,0.6277162654901796,1.3864953055015157,0.31679831997204366
2021-05-09,0.48999999999999994,0.5599999999999999,0.175,1.0499999999999998,0.105,1.8549999999999998,2.73,1.0499999999999998,4.794999999999999,0.84,1.5944444444444459,2.24259259259259,1.075925925925928,3.2796296296296332,0.42777777777777765,0.49492187499999996,0.992578125,0.29257812499999997,1.315234375,0.109375,0.5898304841223452,0.6491532946846988,0.375333185316726,0.750666370633452,0.24994999499899942,0.8363462201743951,1.4328642643321088,0.7172865536171719,2.477594599606644,0.72069410986909,1.3364431326897421,1.9211880826285628,1.0145123231249022,2.604652506120651,0.5936131258739785,0.5983159910502844,0.9824552678221469,0.5504114172793698,1.335089220358831,0.275833254657592
