date,SMH_optimistic,JHH_optimistic,SH_optimistic,BMC_optimistic,HCGH_optimistic,SMH_moderate,JHH_moderate,SH_moderate,BMC_moderate,HCGH_moderate,SMH_pessimistic,JHH_pessimistic,SH_pessimistic,BMC_pessimistic,HCGH_pessimistic,SMH_optimistic_std,JHH_optimistic_std,SH_optimistic_std,BMC_optimistic_std,HCGH_optimistic_std,SMH_moderate_std,JHH_moderate_std,SH_moderate_std,BMC_moderate_std,HCGH_moderate_std,SMH_pessimistic_std,JHH_pessimistic_std,SH_pessimistic_std,BMC_pessimistic_std,HCGH_pessimistic_std
2020-09-29,0.133757961783439,0.866242038216561,2.26751592356688,0.127388535031847,2.10828025477707,0.121212121212121,0.872727272727273,2.31515151515151,0.127272727272727,2.0969696969697,0.127388535031847,0.898089171974522,2.25477707006369,0.133757961783439,2.09554140127389,0.340392081933437,0.649306748401256,0.690076757524192,0.333407702631908,1.13193154254074,0.326373624674819,0.614606416198168,0.769147978874542,0.333278232360425,1.09668504594109,0.333407702631908,0.630283662514802,0.712977595870355,0.340392081933437,1.1217788392591
2020-09-30,0.261146496815287,0.611464968152866,2.75796178343949,0.426751592356688,3.12101910828025,0.272727272727273,0.63030303030303,2.78787878787879,0.478787878787879,3.00606060606061,0.273885350318471,0.624203821656051,2.78343949044586,0.452229299363057,3.14012738853503,0.669123362378033,0.73709432568099,1.64103926169123,0.531837598602499,1.90657701236889,0.663906130309292,0.795626244095711,1.58702266997185,0.56769474071983,1.90532577250118,0.67353488050961,0.760606636358123,1.63293519218614,0.569342674651887,1.86642680766167
2020-10-01,0.0382165605095541,0.980891719745223,1.84076433121019,0.7579617834394901,1.78343949044586,0.0242424242424242,1.0,2.0,0.715151515151515,1.70909090909091,0.0509554140127389,1.00636942675159,1.87261146496815,0.732484076433121,1.72611464968153,0.273811277200059,1.2541464353372,1.38926527867212,0.428317310279094,1.49869782687335,0.218854182851731,1.22598136324754,1.50956546025268,0.451342248773597,1.46894388703268,0.315141831257401,1.24407802449838,1.44418938826177,0.442663703283925,1.49994252530293
2020-10-02,0.388535031847134,2.37579617834395,3.85987261146497,0.414012738853503,2.1656050955414,0.418181818181818,2.33333333333333,3.7030303030303,0.412121212121212,2.01818181818182,0.420382165605096,2.38216560509554,3.81528662420382,0.426751592356688,2.14012738853503,0.710697885491127,1.64496534623191,1.55763416359356,0.731846856585291,1.5714293617452,0.705585742252082,1.61932770686548,1.64122733979785,0.721848458770146,1.59724280339676,0.714966379638333,1.6454338743916,1.58745743130029,0.733231410504874,1.57390584267502
2020-10-03,0.369426751592357,1.31210191082803,1.38216560509554,0.343949044585987,2.84076433121019,0.393939393939394,1.36363636363636,1.36363636363636,0.315151515151515,2.67878787878788,0.382165605095541,1.34394904458599,1.3312101910828,0.343949044585987,2.80254777070064,0.482649590075736,0.858479645487355,1.08572105746051,0.475024314445454,1.07968829035645,0.488621681715063,0.853448683663748,1.06224980849487,0.464576191436044,1.15463691676217,0.485916716503456,0.879442323265896,1.05509703138082,0.475024314445454,1.14791137080956
2020-10-04,0.178343949044586,1.35031847133758,2.19745222929936,0.445859872611465,1.54777070063694,0.157575757575758,1.29090909090909,2.0969696969697,0.418181818181818,1.57575757575758,0.165605095541401,1.26114649681529,2.18471337579618,0.45859872611465,1.57324840764331,0.399094272555937,1.13354324167259,1.0185508029371,0.743506106688295,1.2231621329459,0.380613781045032,1.12824982091831,1.03995479169947,0.730900045172428,1.20680653040848,0.388482819922978,1.14628448139921,1.04559528682652,0.744324135439059,1.25786099733322
2020-10-05,0.777070063694268,1.19108280254777,3.2484076433121,0.802547770700637,2.4140127388535,0.715151515151515,1.18787878787879,3.14545454545455,0.727272727272727,2.4969696969697,0.764331210191083,1.19108280254777,3.31210191082803,0.796178343949045,2.47770700636943,0.70121574239607,0.467187791615089,2.74536331974364,0.497631209799353,1.25705441757902,0.694620547000941,0.420503000210949,2.70858242126437,0.508874412840808,1.17356872169306,0.706116384810985,0.480628012227095,2.74350072333024,0.461772457589602,1.22389160702535
2020-10-06,0.0700636942675159,1.21019108280255,1.63057324840764,0.280254777070064,3.12738853503185,0.0666666666666667,1.17575757575758,1.50909090909091,0.254545454545455,3.09090909090909,0.089171974522293,1.24203821656051,1.54777070063694,0.203821656050955,3.10828025477707,0.255254330057501,1.13447340197692,1.18529538474309,0.52739468903145,1.83291252914218,0.294048714441412,1.11709317129401,1.13146824333471,0.488095190101839,1.76435474278905,0.28499181300888,1.10817043163309,1.13117863041989,0.447766623460432,1.72866288975769
2020-10-07,0.522292993630573,0.929936305732484,2.43949044585987,0.726114649681529,2.38853503184713,0.466666666666667,0.915151515151515,2.40606060606061,0.733333333333333,2.42424242424242,0.452229299363057,0.942675159235669,2.4968152866242,0.713375796178344,2.52866242038217,0.786720899701631,1.02276414326976,1.2381287484262,0.85668197852713,1.29501583261926,0.742912640839548,1.00547628157045,1.16461448789624,0.824866074222985,1.46122205041685,0.743942500625612,1.09568951746482,1.18710805169139,0.806430804357525,1.44345882175989
2020-10-08,0.515923566878981,1.72611464968153,1.47770700636943,0.54140127388535,2.31847133757962,0.478787878787879,1.65454545454545,1.4969696969697,0.515151515151515,2.23636363636364,0.535031847133758,1.66242038216561,1.5031847133758,0.56687898089172,2.15286624203822,0.762205110912183,1.69153555900105,1.41234767404181,0.691075464459559,1.83399677208181,0.743357483949671,1.68650452731712,1.31483029173024,0.710152016214885,1.85502073529507,0.841053800776768,1.6181854275873,1.1433786329843,0.679770337297108,1.76723759787182
