"","date","opt JHH","opt SH","opt BMC","opt HCGH","opt SMH","mod JHH","mod SH","mod BMC","mod HCGH","mod SMH","pess JHH","pess SH","pess BMC","pess HCGH","pess SMH","NA","NA","NA","NA","NA"
"386",2021-03-21,1.88684741346193,2.34879822773496,1.17030069953885,2.75164494514593,0.923930990305945,3.27306629370121,3.81664600062693,2.28063656793599,5.3373505960785,2.05630616925797,4.70550009164096,6.26227527438196,3.08379888870217,8.50356855489255,3.03842142552214,8.96674411366802,10.976900461879,5.85960749538738,15.2481095139693,3.55841871482264
"387",2021-03-22,1.73482962214026,2.53049541053481,1.14986386190701,2.79270811530535,0.934403683055725,3.54855599604466,4.24638755535022,2.1423132760732,4.98133518992131,1.95532669115312,5.44509122434179,5.87603700012932,3.32209089638662,8.41908683887248,2.78048780487805,8.02720958677422,8.94614966060819,5.20635128953089,14.2574048743101,3.51938826360491
"388",2021-03-23,1.75081403987621,2.50556419306116,1.00895069695882,2.5548129734905,0.798910904183269,3.09514199642797,4.41528823897106,2.21123828655917,5.01878330584777,1.70216818887261,5.40838190996139,5.89916256572062,3.46332875194103,8.81848148520694,2.71162588341171,7.67315735209438,9.14685738382315,5.44447828079055,13.8553013319812,3.31509332447821
"389",2021-03-24,1.64884139889146,2.25667384977919,1.10314035112442,2.84296635849733,0.801700490748698,3.09995796245669,3.69251783051476,2.28272197516741,5.31661312975354,1.77333549924061,4.68871910579677,6.240721846166,3.72294923166548,8.22422424101195,3.02569307107987,7.54917214004291,8.13202580849323,5.14295634824952,13.7096624229045,3.09747881348687
"390",2021-03-25,1.52626705742418,2.23336954572526,1.11186096391455,2.38645420610523,0.878727159617138,3.09756475435259,3.72414497971064,2.28048619464153,4.58955806258909,1.67474892166476,5.1945064332493,6.38204650163863,3.23131612910814,7.22158218511671,2.78126326370919,8.0451460521236,8.17418765076995,5.32822672190289,12.8432618520374,3.18391955771499
"391",2021-03-26,1.69907183681311,2.50811007085912,1.21296353840992,2.77610574109375,0.980827639845135,3.15428323767607,4.14682518586027,2.53433216176823,4.64533447376116,2.02967947357017,4.97807507073518,5.56665574263843,3.26765556221731,7.46528750612312,2.56503742929462,7.21672320031744,8.09749189564275,5.00498189307414,11.1924570023744,2.99622157892236
"392",2021-03-27,1.77930052531536,2.11875351448518,1.0788289807543,2.76381460377973,0.983125849632381,3.48034851541505,3.57962292348627,2.54277534343637,5.22858818714259,1.71801058106548,4.86528818769411,6.38479566665508,3.16904270211505,7.28306119491166,2.15384635813323,7.0668238976219,7.52287137667526,4.91996887693408,12.2315613782542,2.87271648444464
"393",2021-03-28,1.7738094763079,2.25858711451212,1.09694158308929,2.51874960841593,1.05761149107483,3.0955713088855,4.01907318240684,2.24364672292319,5.24038082784548,1.70297387749632,4.49966949675328,6.41824993150191,3.70171672635673,8.48440498208681,2.76278058728307,6.39774130064666,8.19542555331936,4.3479700723441,10.6011497018012,2.65706605111728
"394",2021-03-29,1.73022149798518,2.51900972273949,1.14183749315865,2.44759681734971,0.924613613960431,3.17018431437442,4.01651255616792,2.11759886798856,4.70126066623112,1.84654331718003,5.00554421944089,6.14943785729538,3.32074760617102,7.27030787254367,2.36434450231761,6.57224276788373,6.3708197078555,4.31912534548374,11.4452774103558,2.82300814734921
"395",2021-03-30,1.60640990779622,2.23940258202616,1.31874414575521,2.76746471132659,0.777514075150695,2.98801618816578,3.78521417688397,2.17927244626773,4.91941229050286,1.92955054220525,4.57432505756884,6.62027782836096,2.91647048998902,8.58138072698326,2.58029876203672,6.45827956966869,6.92527075282981,4.13595137181278,12.2754836971909,2.6219029348929
"396",2021-03-31,1.68602490998443,2.08319060072262,1.04549614784156,2.52235990645319,0.92814993504516,3.56801203424865,3.72783803377181,2.17470414871327,4.73817204715305,1.84832998437469,4.26585296127398,5.68433982224437,3.38104120342746,8.10119665663552,2.61342914533376,6.63766478138208,6.75803919417459,4.1913415215179,10.4879022568863,2.80846933399672
"397",2021-04-01,1.4634273296367,2.12193511999059,1.25537500974948,2.96173432679642,0.88978663469623,3.21501695473047,4.19094776988172,2.43226130621864,5.05981878311564,1.83323980307623,5.03278956948173,6.77189532771777,2.84669256095304,7.88050252506721,2.36412433654486,5.64212670453261,6.28459177274069,4.00242114225877,9.93144469601478,2.4366665241678
"398",2021-04-02,1.5936246104903,2.15413486636633,1.01197661925074,2.71267150913891,0.878727159617136,3.49205447329283,4.02413628490713,2.10645604380245,5.02329108859602,1.89948011080875,4.28873155168601,6.42366979311249,2.9309929733176,7.44818508330037,2.40503759427232,6.26797415438194,6.3825812764116,3.89067394547526,9.79029334340907,1.95959179422654
"399",2021-04-03,1.51182579007617,2.26196898218817,0.961083617596628,2.53689320333801,0.884150688102982,3.03222009599607,4.22103418958312,2.25688627655337,4.61965592338652,1.71853448268447,4.6266466914361,6.16615081099338,3.44241745777572,8.1517526208292,2.77741057788436,6.2118837722546,6.98637066007809,4.16291289243481,9.45316580569705,2.36326045961929
"400",2021-04-04,1.49032486836072,2.07966970611549,0.945761492860827,2.51851837313072,0.939789936684805,3.6349521632452,4.44166579806815,2.28859221378289,4.96706401868412,1.8179064746618,5.13767910436386,6.21362705781119,3.17516107129598,8.64940260236228,2.51518292609015,5.11576912594773,6.55248044636533,3.90480473263389,8.66089451211594,2.24412427240561
