"","date","opt JHH","opt SH","opt BMC","opt HCGH","opt SMH","mod JHH","mod SH","mod BMC","mod HCGH","mod SMH","pess JHH","pess SH","pess BMC","pess HCGH","pess SMH","NA","NA","NA","NA","NA"
"288",2020-12-13,5.11597640622453,7.29922607230248,3.30093372539324,9.68152130049489,2.21010498654298,6.30948373862799,7.99319733921937,3.80383172636082,12.1205755011926,3.0092450142113,8.10337177638676,10.9216287711528,4.85132926091998,16.0670858980835,3.86844954007939,20.2704796132208,29.1764004591039,11.1725039158642,38.6084835237024,7.50040623899799
"289",2020-12-14,5.23163841689465,7.3659668767127,3.33780831571366,9.73244438375752,2.17920032859962,6.2966775483701,8.3967953910707,3.72791852690075,12.3858436162035,2.94089000460819,8.12027559072009,11.5937838480082,5.13403047201387,17.1332566386489,4.02137729047078,22.0705686378942,31.1344639226372,11.8722299400744,40.6581768375071,7.88253607666974
"290",2020-12-15,5.33239342749642,7.32065450174752,3.34030106449053,9.61305784431792,2.29116472626012,6.20928438872205,8.92803878481774,3.80748126459565,12.6314046488077,3.02878282107336,8.48858455908732,12.2477219287904,5.16267204356303,17.6103641540855,3.92722691517915,23.5921034193647,34.003593560093,12.7037150078235,43.5420037865737,8.63161883715911
"291",2020-12-16,5.30991983091462,7.42234258201153,3.36125957885817,9.91173402108895,2.29459375994678,6.02913593392447,9.32373845436647,3.98475317774102,12.414242865593,2.90821821673669,8.85809201635075,12.7194829642112,4.97562470107751,18.2185163145725,4.22606286945208,25.4091026996232,37.0165820106341,13.3931885673278,45.2980252742876,8.96656985697429
"292",2020-12-17,5.28946148261736,7.51090514101153,3.31678941062999,10.2318413446004,2.32172875716557,6.13253819322457,9.50649099595857,4.03264924647933,12.4909844030815,3.00449765731969,9.15629539659185,13.3701535276883,5.2470778814377,18.0211761549003,4.37022876570602,26.1609172956531,39.8855374007923,13.9141115418844,49.6621334620252,10.0200969930435
"293",2020-12-18,5.34384000319636,7.84378468216792,3.36357623334623,10.3647825364469,2.33443488995295,5.99588336143646,10.0643463041319,4.20622171281944,12.2490551411875,3.13716766967504,9.88160128832447,14.019532562743,5.43563276075707,18.9067854955604,4.61641344029701,26.7544272037358,42.5627312769047,15.0054937856107,51.9112222934502,10.5646151728305
"294",2020-12-19,5.43025641466994,7.70861829325898,3.20228115203368,10.4976791108122,2.27171054184833,5.85691149058143,10.430953165968,4.18578945162479,12.3932028972387,3.1397491446544,10.0685337464051,14.743741046949,5.76043656221206,19.5784241867097,4.7281228565446,27.9042979440444,44.8194642426703,15.6762359959271,54.5535273263792,11.1957302128981
"295",2020-12-20,5.56597495211836,7.89209607276499,3.25583343519184,10.592003630157,2.32070424209576,5.92033156071108,11.057412679803,4.26757441153926,12.4898690083749,3.30838140442525,10.2418188938011,15.5053290526302,5.96535955116353,20.1507886487051,4.7475219748669,29.5185429010309,46.9234333116195,16.8086612717968,56.3547635519838,12.0705996122811
"296",2020-12-21,5.5362796086073,8.08370932050757,3.28740143241212,10.273282977166,2.34930441533129,6.42084733670425,11.5158200661951,4.33344214804814,12.4601800591173,3.3263687529997,10.8070801037481,15.9397708224646,6.06027625154928,20.4314410520214,4.68459383439144,32.0456607827019,48.7300199440755,17.6364501813715,59.2894172681769,12.842093871328
"297",2020-12-22,5.65441714116835,8.22622635647393,3.42957632065999,10.3762857365076,2.31951188988415,6.87385730620864,11.6547962833348,4.29600693469999,12.5458111153966,3.27395676009031,11.5879586315656,16.5903149000568,6.45010133700121,20.6232745388971,4.84072612190253,34.0520832696033,53.131604001291,18.8207623052309,63.0960379104742,13.8433140450544
