"","date","opt JHH","opt SH","opt BMC","opt HCGH","opt SMH","mod JHH","mod SH","mod BMC","mod HCGH","mod SMH","pess JHH","pess SH","pess BMC","pess HCGH","pess SMH","NA","NA","NA","NA","NA"
"396",2021-03-31,1.59113300492611,2.8423645320197,0.788177339901478,3.3743842364532,0.596059113300493,6.63888888888889,9.46296296296296,4.0462962962963,12.3518518518519,2.51851851851852,12.4390243902439,16.0731707317073,7.69512195121951,23.1707317073171,4.57317073170732,11.0625,12.4375,6.7875,19.4375,3.75
"397",2021-04-01,1.50246305418719,2.61576354679803,0.876847290640394,3.51724137931034,0.487684729064039,6.65740740740741,10.1944444444444,3.97222222222222,12.0092592592593,2.51851851851852,12.7073170731707,16.0853658536585,7.5,23.5365853658537,4.45121951219512,10.0625,11.4375,6.175,18.9375,3.3875
"398",2021-04-02,1.6256157635468,2.5615763546798,0.788177339901478,3.37931034482759,0.497536945812808,6.5,9.19444444444444,3.73148148148148,12.2685185185185,2.61111111111111,11.8536585365854,16.8292682926829,6.34146341463415,21.9878048780488,4.54878048780488,9.75,11.0125,6.0125,18.5125,2.9
"399",2021-04-03,1.4384236453202,2.76354679802956,0.807881773399015,3.39408866995074,0.517241379310345,7.00925925925926,9.41666666666667,3.71296296296296,12.537037037037,2.51851851851852,11.3780487804878,14.6829268292683,7.40243902439024,21.9878048780488,4.71951219512195,9.25,10.625,6.0875,16.9875,3.2
"400",2021-04-04,1.40394088669951,2.5615763546798,0.773399014778325,3.17733990147783,0.630541871921182,6.49074074074074,9.44444444444444,3.72222222222222,12.4351851851852,2.52777777777778,11.5243902439024,14.9756097560976,7.0609756097561,22.2317073170732,4.35365853658537,8.5625,10.2,5.45,15.9625,3.0375
"401",2021-04-05,1.45812807881773,2.52216748768473,0.788177339901478,3.16256157635468,0.438423645320197,6.4537037037037,8.94444444444444,3.5462962962963,11.9907407407407,2.34259259259259,12.0121951219512,14.6219512195122,6.54878048780488,20.4024390243902,4.13414634146341,8.55,9.475,5.3875,15.6125,2.8125
"402",2021-04-06,1.68472906403941,2.59605911330049,0.768472906403941,3.19211822660099,0.541871921182266,6.32407407407407,9.03703703703704,3.57407407407407,12.1203703703704,2.36111111111111,11.4024390243902,14.4634146341463,6.89024390243902,20.0853658536585,4.04878048780488,7.975,9.2375,4.875,14.0125,2.7625
"403",2021-04-07,1.60591133004926,2.72413793103448,0.660098522167488,3.04433497536946,0.541871921182266,6.17592592592593,8.52777777777778,3.38888888888889,11.8518518518519,2.68518518518519,11.5365853658537,13.219512195122,6.79268292682927,19.8780487804878,4.76829268292683,8.1875,8.475,4.9875,14.5125,2.5875
"404",2021-04-08,1.49261083743842,2.50738916256158,0.798029556650246,3.07389162561576,0.403940886699507,6.0462962962963,8.34259259259259,3.55555555555556,11.8333333333333,2.42592592592593,9.70731707317073,13.8780487804878,5.96341463414634,18.4390243902439,4.03658536585366,7.3125,8.175,4.9375,13.275,2.4375
"405",2021-04-09,1.46305418719212,2.55665024630542,0.768472906403941,3.11822660098522,0.487684729064039,6.06481481481481,8.46296296296296,3.46296296296296,10.5925925925926,2.25,10.3292682926829,12.9268292682927,6.02439024390244,19.280487804878,3.65853658536585,6.4375,8.15,4.35,13.425,2.5625
