"","date","opt JHH","opt SH","opt BMC","opt HCGH","opt SMH","mod JHH","mod SH","mod BMC","mod HCGH","mod SMH","pess JHH","pess SH","pess BMC","pess HCGH","pess SMH","NA","NA","NA","NA","NA"
"426",2021-04-30,20.4778325123153,19.0394088669951,8.79802955665025,24.6699507389163,8.46305418719212,60.3981481481481,72.0185185185185,32.7777777777778,96.9537037037037,25.0277777777778,90.1341463414634,97.6463414634146,51.5,145.890243902439,34.780487804878,50.8,41.3875,27.475,69.9375,17.8875
"427",2021-05-01,20.1379310344828,18.7733990147783,8.7192118226601,24.1576354679803,8.42364532019705,58.1111111111111,69.8888888888889,31.8703703703704,94.0185185185185,24.4814814814815,86.5365853658537,93.1707317073171,49.109756097561,140.524390243902,33.7439024390244,48.625,38.65,25.7,64.7625,17.0125
"428",2021-05-02,19.935960591133,18.4187192118227,8.59113300492611,23.807881773399,8.24137931034483,57.1203703703704,67.7685185185185,30.712962962963,91.1944444444444,23.8333333333333,84.1341463414634,89.0853658536585,47.0365853658537,133.695121951219,32.7560975609756,45.7625,35.75,24.3125,59.5375,16.2125
"429",2021-05-03,19.704433497537,18.1822660098522,8.45812807881773,23.0788177339901,8.12315270935961,55.5648148148148,66.1944444444445,29.9074074074074,88.2407407407407,23.3240740740741,80.4268292682927,85.390243902439,45.5609756097561,127.756097560976,31.2195121951219,43.7625,32.975,23.0375,56.05,15.275
"430",2021-05-04,19.6699507389163,18.0295566502463,8.3448275862069,22.7783251231527,7.9704433497537,53.9537037037037,64.1018518518519,29.287037037037,85.4722222222222,22.8333333333333,77.6463414634147,81.719512195122,43.4024390243902,121.463414634146,30.1707317073171,41.875,30.2,21.45,51.875,14.625
"431",2021-05-05,19.5320197044335,17.5320197044335,8.07389162561576,22.3497536945813,7.78325123152709,52.0925925925926,61.9351851851852,28.4074074074074,82.787037037037,22.3055555555556,74.1219512195122,78.8780487804878,41.219512195122,116.463414634146,28.9756097560976,39.7125,27.925,20.025,47.9875,13.65
"432",2021-05-06,19.2512315270936,17.0738916256158,7.86699507389162,21.9507389162562,7.63546798029557,50.8796296296296,59.6481481481482,27.462962962963,80.5925925925926,21.7407407407407,71.219512195122,75.2317073170732,39.3658536585366,111.195121951219,27.6829268292683,37.8375,26.175,19.0125,45,13.1375
"433",2021-05-07,18.9507389162562,16.6453201970443,7.70935960591133,21.2463054187192,7.4679802955665,49.6203703703704,57.8981481481482,26.6296296296296,77.7962962962962,21.1388888888889,68.4878048780488,72.0243902439024,37.7439024390244,105.634146341463,26.7073170731707,36.225,24.6125,17.7,41.9125,12.4875
"434",2021-05-08,18.7783251231527,16.615763546798,7.61083743842365,20.8128078817734,7.33497536945813,48.3148148148148,55.9444444444445,25.9722222222222,74.8981481481481,20.1944444444444,65.8170731707317,68.4512195121951,35.8048780487805,101.341463414634,25.8292682926829,33.875,23.0875,16.8125,38.725,11.925
"435",2021-05-09,18.5073891625616,16.0295566502463,7.53694581280788,20.5467980295567,7.26600985221675,46.5092592592593,54.3611111111111,25.3425925925926,72.1759259259259,19.4351851851852,63.109756097561,64.7926829268293,33.780487804878,96.4999999999999,24.5609756097561,31.9125,21.525,15.85,35.725,11.45
"436",2021-05-10,18.4137931034483,15.3152709359606,7.31034482758621,20.0246305418719,7.1871921182266,45.3055555555556,52.0185185185185,24.6296296296296,69.6481481481481,18.7962962962963,60.7439024390244,61.9756097560976,32.3658536585366,91.7439024390243,23.280487804878,29.9625,20.4,14.825,33.1,10.8
"437",2021-05-11,18.1970443349754,14.832512315271,7.11822660098522,19.5221674876847,7.14778325123153,43.962962962963,49.7592592592593,23.4074074074074,66.9351851851851,18.2962962962963,58.1463414634147,59.109756097561,31.0243902439024,87.6585365853658,22.1341463414634,28.6125,18.8875,13.825,30.5,10.3
"438",2021-05-12,17.9014778325124,14.7192118226601,7.02463054187192,18.6896551724138,7.04433497536946,42.6944444444444,47.8796296296297,22.3333333333333,64.6018518518518,17.787037037037,55.4024390243903,56.4878048780488,29.2926829268293,83.560975609756,21.2195121951219,27.2125,17.95,13,27.9,9.775
"439",2021-05-13,17.7241379310345,14.2955665024631,6.81773399014778,18.2906403940887,6.89162561576355,41.4074074074074,45.8611111111111,21.75,61.7592592592592,17.3148148148148,52.9512195121952,53.5,28.1463414634146,79.5487804878048,20.4390243902439,25.75,16.7625,12.325,25.775,9.375
"440",2021-05-14,17.4433497536946,13.9162561576355,6.6551724137931,18.1773399014778,6.74384236453202,40.3425925925926,44.1018518518519,20.8796296296296,59.5,16.8333333333333,50.6951219512195,50.9146341463415,27.0609756097561,75.6219512195121,19.6463414634146,24.6,15.8875,11.575,23.775,8.9375
"441",2021-05-15,17.1773399014779,13.7192118226601,6.48768472906404,17.576354679803,6.67487684729064,38.7222222222222,42.1574074074074,20.0185185185185,57.2314814814814,16.2962962962963,48.5,48.5365853658537,26.0487804878049,71.5731707317073,18.8414634146341,23.4625,14.725,10.775,21.65,8.5125
