"","date","opt JHH","opt SH","opt BMC","opt HCGH","opt SMH","mod JHH","mod SH","mod BMC","mod HCGH","mod SMH","pess JHH","pess SH","pess BMC","pess HCGH","pess SMH","NA","NA","NA","NA","NA"
"324",2021-01-18,10.896366735931,10.0745816510457,4.65596505340042,14.9261249350511,4.65764304660856,23.129035488264,29.0472651459407,11.6286933465904,39.4276659063756,10.05814168283,39.5001719394773,53.9057972156968,21.5623051672463,69.7438414739258,16.6719399426491,95.674444040949,129.840039906884,52.6065659811482,169.494017475692,38.5600649067782
"325",2021-01-19,10.7792367161615,10.119022799539,4.63698780004613,15.0810095630936,4.66286760713545,23.6900248547224,29.9298585431708,11.963512857836,40.3548344017094,10.2388933673698,40.8759906769323,55.941368680485,22.3070913724063,72.1156557785049,17.3477026595361,98.9298552213093,133.646016590389,54.4811122303864,175.531699491628,40.1258699324324
"326",2021-01-20,10.7319437216861,10.2249905751549,4.61524175075837,15.4611076675475,4.68145627172395,24.153048609518,31.0180899092387,12.2561260755705,40.9293552812071,10.5850129198966,42.3794255241695,57.5925926839131,23.0040851704759,74.3527414459462,17.8481134973885,102.868211220699,138.55298245614,56.9053819642247,181.272047108914,41.581847649919
"327",2021-01-21,10.6567855408312,10.3369752673713,4.65154481934167,15.6315696406468,4.6337222025005,24.9171638081034,32.3964687542361,12.8726408689749,42.2874239911553,10.5699066240521,44.1794016768293,59.5852747379224,23.7352765372724,76.8198552400448,18.7393405074912,106.674226964475,142.988527019426,59.0437848322588,187.270504535336,42.9635916601101
"328",2021-01-22,10.7936214059797,10.3193817287528,4.63797257997507,15.6985294167002,4.58884333835287,24.7646301583815,33.4236320540871,13.1674220755409,43.3114947616939,10.7811595083328,45.9875054682626,61.245638109261,24.6130107761615,79.5423117385043,19.2233878030148,110.193360547485,148.015151705378,60.6809176877997,194.452459860356,44.30508099022
"329",2021-01-23,10.793235870544,10.4477687748425,4.67640361853576,15.7732168875321,4.51662444733177,25.3556822294607,34.1255357339976,13.3311243078865,43.9389079801451,11.0706964212499,47.3078314323649,62.5059871102913,25.0365275386157,81.8064274956388,19.8792310070752,114.131744829595,151.965016904966,62.6688574369532,200.555305976418,45.6518768328446
"330",2021-01-24,10.8427335230705,10.6197948913402,4.73950304691099,15.8373356859168,4.52472527472528,25.8195339756475,34.903336151624,13.5887797506611,45.3996325871326,11.3310004057265,49.3744076149101,64.1540037866132,25.5811181493384,83.9818058919619,20.3922464143619,118.115605869138,156.637636311365,65.0302694610779,206.935986367886,47.4656636350718
"331",2021-01-25,10.7839232557634,10.5236485398757,4.79407880031699,15.8598455080409,4.51277384340459,26.8538435931387,35.5264223414729,13.8691542288557,46.8199578227226,11.4928020565553,51.3381423778035,65.7402107734908,26.5600674623768,87.2977164838762,20.6079206399344,121.72728262645,161.338378378378,67.6040780827213,213.970886001873,48.8901350234224
"332",2021-01-26,10.7713975432436,10.6049157497353,4.83453604448803,15.9839924583407,4.52847496675345,27.7321031278628,36.436808627695,14.4649358639969,48.038758688962,11.7387840317567,52.4698576997493,67.2530591027761,27.1303676947625,89.5388212347158,21.2961274131907,126.179687665994,166.8745,69.942789532294,220.810905138172,50.1346440891601
"333",2021-01-27,10.9556528950932,10.5923762178936,4.82854537037294,16.3332389634411,4.57444284737437,28.6258672216885,37.4882620136445,14.666385190422,49.2991525869782,12.1544152526911,53.8333390259428,69.3985653529207,28.0584219546244,91.8924278149279,21.7797746398517,129.428017773548,171.01713066005,72.3037880159305,227.518674848318,51.5236346029697
