date,hospital,occupancy_acute,occupancy_icu,occupancy_total,admissions_total
2021-03-29,BMC,18.72342857142857,5.9154285714285715,24.63885714285714,3.952857142857143
2021-03-30,BMC,18.44742857142857,6.161714285714286,24.609142857142857,3.9271428571428557
2021-03-31,BMC,18.24342857142857,6.405714285714285,24.649142857142856,3.8457142857142843
2021-04-01,BMC,18.049142857142858,6.709142857142857,24.758285714285716,3.764285714285713
2021-04-02,BMC,17.938285714285715,6.9791428571428575,24.917428571428573,3.692857142857142
2021-04-03,BMC,18.045142857142856,7.282857142857143,25.328,3.6414285714285715
2021-04-04,BMC,18.382571428571428,7.367999999999999,25.750571428571426,3.55
2021-04-05,BMC,18.707714285714285,7.509142857142857,26.216857142857144,3.465714285714288
2021-04-06,BMC,18.996,7.650857142857143,26.646857142857144,3.3128571428571423
2021-04-07,BMC,19.325714285714287,7.758285714285714,27.084000000000003,3.1799999999999993
2021-04-08,BMC,19.633142857142857,7.7791428571428565,27.412285714285716,3.088571428571427
2021-04-09,BMC,19.809428571428572,7.779714285714285,27.589142857142857,3.0342857142857134
2021-04-10,BMC,19.995714285714286,7.659428571428571,27.655142857142856,3.039999999999998
2021-04-11,BMC,20.19657142857143,7.546571428571428,27.74314285714286,3.018571428571428
2021-03-29,HCGH,25.595714285714283,6.3420000000000005,31.937714285714286,2.5457142857142863
2021-03-30,HCGH,25.002,5.846000000000002,30.848,2.571428571428572
2021-03-31,HCGH,24.59657142857143,5.410857142857144,30.007428571428573,2.7242857142857146
2021-04-01,HCGH,24.468285714285713,5.126857142857144,29.595142857142857,2.875714285714287
2021-04-02,HCGH,24.544857142857143,4.869428571428573,29.414285714285718,2.838571428571431
2021-04-03,HCGH,24.769714285714286,4.620857142857145,29.39057142857143,2.8800000000000012
2021-04-04,HCGH,25.171142857142858,4.423428571428573,29.59457142857143,2.9157142857142873
2021-04-05,HCGH,25.604285714285712,4.2434285714285735,29.847714285714286,2.924285714285714
2021-04-06,HCGH,26.112571428571428,4.207428571428574,30.32,2.9171428571428573
2021-04-07,HCGH,26.53257142857143,4.118857142857145,30.651428571428575,2.794285714285714
2021-04-08,HCGH,26.852,3.9477142857142873,30.799714285714288,2.7728571428571427
2021-04-09,HCGH,26.950857142857142,3.8268571428571447,30.777714285714286,2.954285714285715
2021-04-10,HCGH,26.889142857142858,3.7445714285714304,30.633714285714287,3.0457142857142863
2021-04-11,HCGH,26.946571428571428,3.7034285714285735,30.650000000000002,3.1328571428571417
2021-03-29,JHH,48.600571428571435,18.398,66.99857142857144,4.794285714285713
2021-03-30,JHH,50.29685714285714,18.608571428571427,68.90542857142857,4.622857142857144
2021-03-31,JHH,51.71971428571428,18.79942857142857,70.51914285714285,4.544285714285712
2021-04-01,JHH,52.94971428571428,18.969142857142856,71.91885714285714,4.528571428571428
2021-04-02,JHH,53.81828571428571,19.089714285714283,72.90799999999999,4.41285714285714
2021-04-03,JHH,54.37171428571428,19.169714285714285,73.54142857142857,4.304285714285713
2021-04-04,JHH,54.82828571428571,19.177999999999997,74.00628571428571,4.385714285714285
2021-04-05,JHH,55.501999999999995,19.063714285714283,74.56571428571428,4.465714285714284
2021-04-06,JHH,56.33571428571428,18.858285714285714,75.19399999999999,4.418571428571426
2021-04-07,JHH,57.23542857142857,18.600285714285715,75.83571428571429,4.459999999999999
2021-04-08,JHH,58.05457142857142,18.351714285714284,76.4062857142857,4.379999999999999
2021-04-09,JHH,58.66771428571428,18.18,76.84771428571429,4.347142857142854
2021-04-10,JHH,59.11457142857142,18.058285714285713,77.17285714285714,4.357142857142857
2021-04-11,JHH,59.22885714285714,17.962,77.19085714285714,4.215714285714287
2021-03-29,SH,7.5357142857142865,3.411142857142857,10.946857142857144,2.1057142857142854
2021-03-30,SH,7.121142857142857,3.275714285714286,10.396857142857144,2.0400000000000005
2021-03-31,SH,6.676571428571429,3.2239999999999998,9.900571428571428,1.9371428571428568
2021-04-01,SH,6.40457142857143,3.248857142857143,9.653428571428574,1.8814285714285717
2021-04-02,SH,6.311428571428572,3.238,9.549428571428573,1.785714285714286
2021-04-03,SH,6.272857142857143,3.1917142857142857,9.464571428571428,1.724285714285714
2021-04-04,SH,6.2537142857142864,3.1642857142857146,9.418000000000001,1.741428571428571
2021-04-05,SH,6.102285714285715,3.1228571428571428,9.225142857142858,1.6842857142857155
2021-04-06,SH,6.063714285714287,3.031714285714286,9.095428571428574,1.6271428571428574
2021-04-07,SH,6.153428571428572,2.911142857142857,9.06457142857143,1.582857142857143
2021-04-08,SH,6.186857142857144,2.7474285714285718,8.934285714285716,1.5042857142857142
2021-04-09,SH,6.192857142857143,2.6765714285714286,8.869428571428571,1.4185714285714293
2021-04-10,SH,6.169428571428573,2.7014285714285715,8.870857142857144,1.3157142857142858
2021-04-11,SH,6.304857142857143,2.7294285714285715,9.034285714285716,1.1828571428571424
2021-03-29,SMH,4.590571428571428,1.749428571428571,6.339999999999999,0.7571428571428571
2021-03-30,SMH,4.316571428571428,1.6522857142857137,5.968857142857141,0.7114285714285711
2021-03-31,SMH,3.8845714285714266,1.5502857142857138,5.43485714285714,0.67
2021-04-01,SMH,3.503999999999998,1.4514285714285706,4.955428571428568,0.6714285714285714
2021-04-02,SMH,3.1831428571428546,1.3488571428571419,4.5319999999999965,0.6642857142857137
2021-04-03,SMH,3.0239999999999974,1.262857142857142,4.286857142857139,0.6785714285714285
2021-04-04,SMH,3.0448571428571403,1.2397142857142849,4.284571428571425,0.684285714285714
2021-04-05,SMH,3.1277142857142834,1.2465714285714276,4.374285714285711,0.632857142857143
2021-04-06,SMH,3.262571428571426,1.2745714285714276,4.537142857142854,0.6114285714285715
2021-04-07,SMH,3.4968571428571398,1.3011428571428563,4.7979999999999965,0.6128571428571429
2021-04-08,SMH,3.6854285714285684,1.3562857142857134,5.041714285714281,0.6014285714285713
2021-04-09,SMH,3.834285714285711,1.412857142857142,5.247142857142853,0.6457142857142857
2021-04-10,SMH,3.946285714285711,1.4834285714285704,5.429714285714281,0.7457142857142852
2021-04-11,SMH,3.945142857142854,1.5374285714285705,5.482571428571425,0.7685714285714279
