date,JHH_optimistic,SH_optimistic,BMC_optimistic,HCGH_optimistic,SMH_optimistic,JHH_moderate,SH_moderate,BMC_moderate,HCGH_moderate,SMH_moderate,JHH_pessimistic,SH_pessimistic,BMC_pessimistic,HCGH_pessimistic,SMH_pessimistic,JHH_optimistic_std,SH_optimistic_std,BMC_optimistic_std,HCGH_optimistic_std,SMH_optimistic_std,JHH_moderate_std,SH_moderate_std,BMC_moderate_std,HCGH_moderate_std,SMH_moderate_std,JHH_pessimistic_std,SH_pessimistic_std,BMC_pessimistic_std,HCGH_pessimistic_std,SMH_pessimistic_std
2020-12-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-05,3.4249999999999976,4.8999999999999995,2.7500000000000013,7.84999999999999,1.9249999999999998,5.612612612612613,7.548648648648659,2.692792792792795,9.83783783783787,2.16936936936937,5.133333333333331,7.9333333333333105,2.3333333333333313,7.9333333333333105,2.0999999999999996,1.273528562695004,1.714642819948226,1.3086252328302368,1.6874537030686232,0.9470348462437869,2.107306770003834,2.6316118742573726,1.204025658320457,3.1443372252854935,1.2950211513659489,0.3299831645537224,2.701028610651056,1.1897712198383132,1.746106780494503,1.143095213298815
2020-12-06,4.474999999999997,7.624999999999968,2.024999999999998,8.27500000000002,1.549999999999997,5.883783783783787,7.372072072072049,3.0774774774774794,9.72432432432433,1.7909909909909918,7.0,7.466666666666689,2.8,9.33333333333331,1.633333333333331,2.3090853167434076,1.416642156650721,1.273528562695004,1.48555545167456,0.5408326913195983,2.4364551321352543,1.6751050079318657,1.428959470527995,2.56526402119106,1.01932229292593,0.9899494936611701,1.746106780494503,1.143095213298815,2.3795424396766327,1.3199326582148907
2020-12-07,4.275000000000002,6.974999999999998,3.7249999999999988,9.199999999999967,2.4750000000000028,5.719819819819819,8.254954954954961,3.537837837837835,10.62612612612614,2.3396396396396377,7.0,9.1,3.733333333333331,11.433333333333309,1.8666666666666687,1.9018083499658949,2.0363877332178166,2.3445415330081074,3.3451457367355437,1.581731646013316,2.2073513466449124,2.421440965483631,1.8240166574064538,3.0011923069625976,1.5136186149693907,0.5715476066494081,2.060744202143165,2.3795424396766327,2.701028610651056,1.746106780494503
2020-12-08,5.2,7.0,2.925000000000001,7.82499999999998,1.700000000000001,6.192792792792795,9.31441441441441,2.881981981981984,11.15585585585583,2.667567567567567,7.233333333333309,7.466666666666689,5.366666666666668,10.03333333333331,3.2666666666666684,1.0148891565092208,2.592296279363147,1.3367404385294819,2.5311805546029307,0.9797958971132709,2.261336275271318,2.7342619883715433,2.025610716413725,2.7798724672505077,1.655738705185404,2.701028610651056,1.4383632673594309,1.746106780494503,1.6499158227686122,0.3299831645537224
2020-12-09,3.8499999999999996,7.20000000000001,2.700000000000002,9.175000000000031,2.1250000000000027,5.858558558558558,9.699099099099131,3.216216216216213,10.84054054054055,2.3396396396396377,5.6,13.299999999999999,3.9666666666666686,9.566666666666688,2.3333333333333313,1.289379695822764,2.7037011669191577,0.8717797887081359,3.6437446397902273,1.570628854949504,2.117642258044873,2.8836443251176047,1.2584518259733208,3.155586448497658,1.097768357002471,1.5121728296285029,1.143095213298815,0.8730533902472549,2.577250904010363,0.3299831645537224
2020-12-10,6.224999999999998,8.049999999999999,2.050000000000001,11.324999999999982,2.650000000000003,6.684684684684686,9.30810810810811,3.15315315315315,12.24684684684685,2.320720720720724,7.233333333333309,10.03333333333331,3.2666666666666684,13.299999999999999,1.8666666666666687,1.4289419162443249,2.128966885604377,0.7697402159170359,2.800334801412148,1.1124297730643509,2.0472877332554917,2.141824394309761,1.732249478517278,2.9247258998334713,1.083547486840021,1.4383632673594309,0.8730533902472549,1.837268503936089,2.491318258807308,0.8730533902472549
2020-12-11,5.500000000000003,8.324999999999967,2.7500000000000013,10.82499999999999,2.825000000000003,6.722522522522519,9.36486486486488,3.9162162162162124,13.224324324324328,2.068468468468465,7.233333333333309,9.799999999999999,5.6,14.0,3.033333333333331,1.42126704035519,2.434517405975977,1.105667219374802,2.8647643882176403,1.145371118895528,2.2300440218934705,1.643806209871581,1.293054247347681,2.6928740203374377,1.117266772887545,2.9329545209945262,0.5715476066494081,1.714642819948226,2.491318258807308,0.8730533902472549
