date,JHH_optimistic,SH_optimistic,BMC_optimistic,HCGH_optimistic,SMH_optimistic,JHH_moderate,SH_moderate,BMC_moderate,HCGH_moderate,SMH_moderate,JHH_optimistic_std,SH_optimistic_std,BMC_optimistic_std,HCGH_optimistic_std,SMH_optimistic_std,JHH_moderate_std,SH_moderate_std,BMC_moderate_std,HCGH_moderate_std,SMH_moderate_std
2021-04-21,28.04054054054052,34.905405405405425,17.15540540540541,53.7567567567567,10.50675675675676,42.727272727272805,53.7272727272727,27.27272727272729,89.1818181818184,19.72727272727268,13.254800106862383,16.342652375483112,8.192276013175261,24.683030516982072,5.865468427658399,12.37229059510653,16.653945968135144,8.926942117555253,32.72323339404426,8.038436382581372
2021-04-22,27.25000000000003,33.58108108108114,16.763513513513562,51.8851351351351,10.270270270270242,41.272727272727295,50.5454545454546,26.81818181818182,86.54545454545429,18.181818181818162,12.56181170450547,15.80199923130779,8.45846190566703,23.740647066849967,5.71892195592163,11.9583098207986,15.040100871840862,8.49723490946297,30.565938585344117,7.950545250258429
2021-04-23,26.64864864864866,32.614864864864884,16.30405405405402,49.837837837837895,10.229729729729701,38.8181818181818,48.545454545454504,24.818181818181774,83.09090909090929,16.72727272727274,12.66613135829757,15.378141633249403,8.118380301177439,23.598843033102888,5.75970091982708,11.770767936867541,13.70932866990978,6.969064983675051,27.9183290584241,7.05367232161109
2021-04-24,26.270270270270245,31.716216216216182,15.736486486486472,48.1554054054054,9.831081081081052,37.90909090909088,46.1818181818181,24.27272727272723,81.09090909090901,16.09090909090905,12.63772935079552,14.796690440740912,7.723677965444489,22.35231353859446,5.63813690719457,12.645657178141402,12.772148965145831,7.841193358463639,27.71911849278993,5.211084031758401
2021-04-25,25.37837837837842,30.56081081081083,15.175675675675652,47.2702702702702,9.51351351351353,36.99999999999997,43.09090909090909,23.18181818181818,78.09090909090911,15.727272727272712,12.254517019706807,14.02187108838034,7.55386634245799,22.18237824030454,5.362353624820739,11.107796034989342,11.753549276966503,7.2102919351231485,28.38437982676949,4.84762091410913
2021-04-26,24.662162162162154,29.608108108108112,14.635135135135144,45.2364864864865,9.331081081081052,36.45454545454546,42.99999999999999,22.45454545454545,76.4545454545455,15.45454545454546,12.38365353320877,13.506723237008961,6.9485446365211,20.960442664743542,5.34890374637906,9.07562499250718,13.87671365449214,8.94255586805626,29.26880128956323,4.5136206364001
2021-04-27,23.90540540540536,28.79729729729726,14.074324324324362,43.5405405405406,9.06756756756753,35.00000000000002,41.545454545454604,21.18181818181822,74.09090909090911,14.09090909090914,11.94431407618756,13.776776273154379,6.5848538176778195,20.70615232900796,5.04145411183428,7.94349777072877,13.39065037350934,9.0701418109444,27.61663984446826,4.39771358010135
2021-04-28,23.32432432432435,27.601351351351372,13.513513513513471,42.31081081081079,8.66891891891888,33.909090909090864,39.272727272727295,19.81818181818179,70.0909090909091,13.63636363636368,11.60495955384284,13.27277326011827,6.25077598146761,19.82676137061119,4.91296918083808,7.752293913501031,13.685632515165885,8.787628812625918,25.832564916323555,4.427181283114081
2021-04-29,22.57432432432435,26.51351351351356,13.189189189189202,41.222972972972904,8.46621621621619,32.090909090909044,38.1818181818182,19.09090909090909,66.36363636363629,12.72727272727268,11.0560471220767,12.82095934187048,6.1821161619420995,18.81196421875341,4.58635690034847,8.301983433461931,15.29478205510637,7.616945828678629,24.75813881013704,4.701810628008719
2021-04-30,21.65540540540537,25.70945945945941,12.72297297297294,40.155405405405396,8.35810810810811,30.54545454545453,36.0909090909091,17.636363636363647,61.545454545454604,12.6363636363636,10.13009599042116,11.926883711075579,5.803724762679408,17.40391300577801,4.279238580871819,8.72831350227204,13.62842970459242,7.225722763462182,23.53985605463177,4.20017301588292
